ExactMC模型计数实验结果
实例名,运行时间(秒),模型数
Darkstrand,0.005059,146795092770816000
Dataxchange,0.005173,10408830566400000
Deltacom,0.004322,21931886777794560
DeutscheTelekom,0.005044,37299620413440000
Dfn,0.005621,18572674498560000
DialtelecomCz,0.004055,10801677680640000
Digex,0.005555,49519080898560000
Easynet,0.010488,37314643517319168000
Eenet,0.004263,43268112108748800
EliBackbone,0.008255,265611362560008192000
Epoch,0.004339,3334571177615032320
Ernet,0.007209,1925835836671918080
Esnet,0.008653,803900082585600
Eunetworks,0.003523,163661783040
Evolink,0.003529,5221224736358400
Fatman,0.006718,1035064933613568000
Fccn,0.002809,8851949568000
Forthnet,0.007615,6157815502325760000000
Funet,0.00402,54103375872000
Gambia,0.007046,1562576323891691520
Garr199901,0.006927,21202436093714104320000
Garr199904,0.00727,2259899338604544000000
Garr199905,0.005317,47068938177085440
Garr200109,0.006702,240300143935488000
Garr200112,0.006142,75203798630400000
Garr200212,0.006316,101842583040000000
Garr200404,0.003812,251353912320000
Garr200902,0.009454,99003273442356841567027200
Garr200908,0.005612,152984680611840000
Garr200909,0.008826,3268058816022419865600
