ExactMC模型计数实验结果
实例名,运行时间(秒),模型数
grafo8039.65,0.003247,23133600000
grafo8186.90,0.000694,62400
grafo8187.70,0.002537,20065812480
grafo8188.62,0.002137,48683980800
grafo8189.85,0.000566,2592
grafo8190.73,0.002547,167118336000
grafo8222.84,0.004328,1407279329280
grafo8223.99,0.000852,61440
grafo8224.100,0.006124,516272962299494400
grafo8225.88,0.003033,172748094750720
grafo8226.90,0.003796,3079544832000
grid_3x3,0.005426,930886000611840
grid_4x4,0.002945,2220244992
Pacificwave,0.002095,33111244800
Packetexchange,0.000633,22400
Padi,0.000727,44928
Palmetto,0.000799,52416
Peer1,0.003531,150593126400
Pern,0.005369,87582798471168
PionierL1,0.002923,6885964800
PionierL3,0.003845,46649917440
Psinet,0.004526,72886903971840
