Instance,#cols,#rows,DLX,DXZ,D3X,DXD_S,DXD_M,IDXD_S,IDXD_M,MDLX,SharpSAT-TD,ExactMC,#sols,#Max_B,zdd_compile(s),cnf_compile(s)
Aarnet,581,2737,,,timeout,,,,,,,,,,0.082373,
Abilene,566,2590,,,timeout,,,,,,,,,,0.074333,
Abvt,556,2756,,,timeout,,,,,,,,,,0.080279,
Aconet,512,2592,,,timeout,,,,,,,,,,0.068734,
Agis,587,2554,,,timeout,,,,,,,,,,0.075494,
Ai3,536,2790,,,timeout,,,,,,,,,,0.0746,
Airtel,540,2806,,,timeout,,,,,,,,,,0.078643,
Amres,552,2828,,,timeout,,,,,,,,,,0.075115,
Ans,550,2738,,,timeout,,,,,,,,,,0.077844,
Arn,528,2773,,,timeout,,,,,,,,,,0.07822,
Arnes,564,2843,,,timeout,,,,,,,,,,0.082256,
AttMpls,551,2696,,,timeout,,,,,,,,,,0.077838,
Azrena,522,2785,,,timeout,,,,,,,,,,0.076441,
Bandcon,554,2709,,,timeout,,,,,,,,,,0.079224,
Basnet,547,2545,,,timeout,,,,,,,,,,0.070117,
Bbnplanet,558,2761,,,timeout,,,,,,,,,,0.084734,
Bellcanada,495,2458,,,timeout,,,,,,,,,,0.061775,
Bellsouth,534,2657,,,timeout,,,,,,,,,,0.06908,
Belnet2005,535,2986,,,timeout,,,,,,,,,,0.086784,
BeyondTheNetwork,565,2683,,,timeout,,,,,,,,,,0.07611,
Bics,576,2545,,,timeout,,,,,,,,,,0.072856,
Biznet,532,2671,,,timeout,,,,,,,,,,0.073715,
Bren,596,2740,,,timeout,,,,,,,,,,0.087713,
BsonetEurope,562,2793,,,timeout,,,,,,,,,,0.080269,
BtAsiaPac,518,2832,,,timeout,,,,,,,,,,0.077904,
BtEurope,533,2725,,,timeout,,,,,,,,,,0.076132,
Canerie,552,2625,,,timeout,,,,,,,,,,0.071298,
Carnet,550,3132,,,timeout,,,,,,,,,,0.088646,
Cernet,568,2677,,,timeout,,,,,,,,,,0.070243,
Cesnet1993,586,2760,,,timeout,,,,,,,,,,0.080164,
Cesnet1997,548,2788,,,timeout,,,,,,,,,,0.081864,
Chinanet,496,2716,,,timeout,,,,,,,,,,0.062097,
Cynet,606,2816,,,timeout,,,,,,,,,,0.089511,
Grena,623,2600,,,timeout,,,,,,,,,,0.087352,
Gridnet,458,2635,,,timeout,,,,,,,,,,0.061896,
Grnet,562,2713,,,timeout,,,,,,,,,,0.082235,
GtsCe,555,2896,,,timeout,,,,,,,,,,0.086446,
GtsCzechRepublic,547,2681,,,timeout,,,,,,,,,,0.075373,
Harnet,545,2615,,,timeout,,,,,,,,,,0.070056,
Heanet,592,2652,,,timeout,,,,,,,,,,0.082551,
HiberniaCanada,588,2816,,,timeout,,,,,,,,,,0.092423,
Ibm,543,2814,,,timeout,,,,,,,,,,0.074104,
Integra,531,2658,,,timeout,,,,,,,,,,0.069097,
Litnet,491,2765,,,timeout,,,,,,,,,,0.070212,
Marwan,575,2844,,,timeout,,,,,,,,,,0.077515,
Ntt,521,2986,,,timeout,,,,,,,,,,0.079153,
Oteglobe,550,2919,,,timeout,,,,,,,,,,0.082594,
Oxford,558,2687,,,timeout,,,,,,,,,,0.077076,
Rediris,557,2721,,,timeout,,,,,,,,,,0.084961,
Renater2001,531,2630,,,timeout,,,,,,,,,,0.072735,
Sago,597,2720,,,timeout,,,,,,,,,,0.083324,
Savvis,564,2679,,,timeout,,,,,,,,,,0.080061,
Surfnet,508,3038,,,timeout,,,,,,,,,,0.084864,
Syringa,520,3012,,,timeout,,,,,,,,,,0.078473,
TLex,532,2703,,,timeout,,,,,,,,,,0.072996,
Telcove,576,2596,,,timeout,,,,,,,,,,0.078002,
UniC,528,2675,,,timeout,,,,,,,,,,0.071436,
Uninet,563,2708,,,timeout,,,,,,,,,,0.084205,
Uran,537,2650,,,timeout,,,,,,,,,,0.069807,
Uunet,532,2787,,,timeout,,,,,,,,,,0.080013,
grafo113.28,914,9279,,,timeout,,,,,,,,,,0.513379,
grafo114.26,978,9095,,,timeout,,,,,,,,,,0.560186,
grafo115.30,927,9038,,,timeout,,,,,,,,,,0.499637,
grafo116.28,909,9460,,,timeout,,,,,,,,,,0.539265,
grafo200.11,946,9344,,,timeout,,,,,,,,,,0.571187,
grafo201.13,898,8914,,,timeout,,,,,,,,,,0.480031,
grafo202.13,985,9318,,,timeout,,,,,,,,,,0.585549,
grafo203.13,909,9157,,,timeout,,,,,,,,,,0.488503,
grafo204.15,960,9551,,,timeout,,,,,,,,,,0.577076,
grafo205.30,984,9058,,,timeout,,,,,,,,,,0.564215,
grafo206.12,906,9086,,,timeout,,,,,,,,,,0.502058,
grafo207.12,905,8698,,,timeout,,,,,,,,,,0.490983,
grafo208.38,949,9111,,,timeout,,,,,,,,,,0.50737,
grafo209.10,893,9339,,,timeout,,,,,,,,,,0.516894,
grafo210.10,933,9315,,,timeout,,,,,,,,,,0.543018,
grafo300.13,900,9574,,,timeout,,,,,,,,,,0.510769,
