88 88
2 29 38
2 29 30
2 4 75
2 3 5
2 4 6
2 5 7
2 6 8
2 7 12
2 10 12
2 9 38
2 12 59
3 8 9 11
2 61 62
2 28 74
2 49 67
2 24 48
2 61 64
2 57 58
2 20 22
2 19 43
2 22 80
2 19 21
3 24 26 27
2 16 23
2 44 76
2 23 44
2 23 48
2 14 48
2 1 2
2 2 31
2 30 52
2 79 80
3 52 79 88
2 36 88
2 36 87
2 34 35
2 43 76
2 1 10
2 40 46
2 39 71
2 72 73
3 47 73 82
4 20 37 70 75
3 25 26 45
2 44 77
2 39 78
2 42 74
3 16 27 28
2 15 50
2 49 57
2 54 69
2 31 33
2 54 56
2 51 53
2 56 58
2 53 55
2 18 50
2 18 55
2 11 62
2 83 84
2 13 17
2 13 59
2 64 66
2 17 63
2 66 68
2 63 65
2 15 68
2 65 67
2 51 70
2 43 69
2 40 72
2 41 71
2 41 42
2 14 47
2 3 43
2 25 37
2 45 78
2 46 77
2 32 33
2 21 32
2 82 83
2 42 81
2 60 81
2 60 85
2 84 86
2 85 87
2 35 86
2 33 34
