Instance,#cols,#rows,DLX,DXZ,D3X,DXD_S,DXD_M,IDXD_S,IDXD_M,MDLX,SharpSAT-TD,ExactMC,#sols,#Max_B,zdd_compile(s),cnf_compile(s)
Aarnet,581,2737,,,,,,5.6237,3.4568,,,,,,0.082373,0.0559
Abilene,566,2590,,,,,,12.6891,56.5224,,,,,,0.074333,0.05
Abvt,556,2756,,,,,,3.9652,2.9825,,,,,,0.080279,0.0528
Aconet,512,2592,,,,,,0.0173,0.0718,,,,,,0.068734,0.0474
Agis,587,2554,,,,,,59.9787,24.1024,,,,,,0.075494,0.0524
Ai3,536,2790,,,,,,3.8675,3.6784,,,,,,0.0746,0.0526
Airtel,540,2806,,,,,,13.2279,2.7901,,,,,,0.078643,0.0527
Amres,552,2828,,,,,,28.1630,1.1443,,,,,,0.075115,0.0543
Ans,550,2738,,,,,,11.1318,1.4221,,,,,,0.077844,0.0516
Arn,528,2773,,,,,,3.8087,5.0516,,,,,,0.07822,0.053
Arnes,564,2843,,,,,,0.1425,0.7223,,,,,,0.082256,0.0558
AttMpls,551,2696,,,,,,9.3431,1.7792,,,,,,0.077838,0.0533
Azrena,522,2785,,,,,,14.1410,3.1230,,,,,,0.076441,0.0514
Bandcon,554,2709,,,,,,16.3210,2.1822,,,,,,0.079224,0.0537
Basnet,547,2545,,,,,,1.0105,0.7314,,,,,,0.070117,0.0469
Bbnplanet,558,2761,,,,,,8.0947,2.8480,,,,,,0.084734,0.0537
Bellcanada,495,2458,,,,,,12.2629,1.1376,,,,,,0.061775,0.0432
Bellsouth,534,2657,,,,,,0.7300,1.1007,,,,,,0.06908,0.0485
Belnet2005,535,2986,,,,,,31.4743,9.8544,,,,,,0.086784,0.0574
BeyondTheNetwork,565,2683,,,,,,18.8294,7.3697,,,,,,0.07611,0.0509
Bics,576,2545,,,,,,18.2685,8.2611,,,,,,0.072856,0.0504
Biznet,532,2671,,,,,,22.2278,1.5835,,,,,,0.073715,0.0523
Bren,596,2740,,,,,,0.4328,3.6814,,,,,,0.087713,0.0556
BsonetEurope,562,2793,,,,,,110.5619,1.2638,,,,,,0.080269,0.0543
BtAsiaPac,518,2832,,,,,,7.6067,8.6200,,,,,,0.077904,0.0555
BtEurope,533,2725,,,,,,3.7207,3.0124,,,,,,0.076132,0.0512
Canerie,552,2625,,,,,,3.5503,10.5846,,,,,,0.071298,0.0507
Carnet,550,3132,,,,,,0.0194,2.6471,,,,,,0.088646,0.0617
Cernet,568,2677,,,,,,5.6543,0.6195,,,,,,0.070243,0.0531
Cesnet1993,586,2760,,,,,,8.5474,1.6604,,,,,,0.080164,0.0576
Cesnet1997,548,2788,,,,,,1.8350,7.5861,,,,,,0.081864,0.0544
Chinanet,496,2716,,,,,,0.0165,6.5795,,,,,,0.062097,0.0482
Cynet,606,2816,,,,,,22.0031,13.4974,,,,,,0.089511,0.0631
Grena,623,2600,,,,,,0.0145,0.0502,,,,,,0.087352,0.0556
Gridnet,458,2635,,,,,,4.1129,0.3457,,,,,,0.061896,0.0446
Grnet,562,2713,,,,,,9.4404,2.0290,,,,,,0.082235,0.052
GtsCe,555,2896,,,,,,10.4188,1.0640,,,,,,0.086446,0.0583
GtsCzechRepublic,547,2681,,,,,,16.7519,16.1290,,,,,,0.075373,0.0502
Harnet,545,2615,,,,,,8.0050,0.5600,,,,,,0.070056,0.0501
Heanet,592,2652,,,,,,11.8414,3.2324,,,,,,0.082551,0.0566
HiberniaCanada,588,2816,,,,,,1.3739,5.2044,,,,,,0.092423,0.0582
Ibm,543,2814,,,,,,0.0153,1.6801,,,,,,0.074104,0.0541
Integra,531,2658,,,,,,15.7374,3.5793,,,,,,0.069097,0.0497
Litnet,491,2765,,,,,,56.7460,17.0920,,,,,,0.070212,0.0486
Marwan,575,2844,,,,,,11.5763,5.1271,,,,,,0.077515,0.0568
Ntt,521,2986,,,,,,2.3111,0.1206,,,,,,0.079153,0.055
Oteglobe,550,2919,,,,,,0.3022,8.1218,,,,,,0.082594,0.0567
Oxford,558,2687,,,,,,38.1685,1.8727,,,,,,0.077076,0.0514
Rediris,557,2721,,,,,,18.1785,1.7201,,,,,,0.084961,0.0525
Renater2001,531,2630,,,,,,0.1554,2.9822,,,,,,0.072735,0.0477
Sago,597,2720,,,,,,2.7060,1.8505,,,,,,0.083324,0.057
Savvis,564,2679,,,,,,14.4210,2.9567,,,,,,0.080061,0.051
Surfnet,508,3038,,,,,,7.5781,1.9881,,,,,,0.084864,0.0551
Syringa,520,3012,,,,,,53.7928,1.6729,,,,,,0.078473,0.0578
TLex,532,2703,,,,,,6.0500,3.3761,,,,,,0.072996,0.0507
Telcove,576,2596,,,,,,9.3282,3.3436,,,,,,0.078002,0.0541
UniC,528,2675,,,,,,7.0106,0.8337,,,,,,0.071436,0.0498
Uninet,563,2708,,,,,,0.0105,4.0619,,,,,,0.084205,0.0533
Uran,537,2650,,,,,,0.0052,2.4997,,,,,,0.069807,0.0478
Uunet,532,2787,,,,,,11.6380,4.9140,,,,,,0.080013,0.0534
