ExactMC模型计数实验结果
实例名,模型数,运行时间(秒)
Aarnet,4450775,0.12063
Abilene,2030,0.003376
Abvt,7394865140,1.18878
Aconet,1197603575,2.439
Agis,694320900,0.145195
Ai3,125,0.000265
Airtel,890155,0.024716
Amres,557145680,0.012042
Ans,126875,0.00375
Arn,3526917517760,0.883014
Arnes,6332762064720,0.38334
AttMpls,1092546000,0.51605
Azrena,138864180,0.145504
Bandcon,N/A,timeout
Basnet,8,6.4e-05
Bbnplanet,617526000,0.007351
Bellcanada,58347206692483363200,0.717642
Bellsouth,20184650996115060000,0.650486
Belnet2005,173054025,0.24463
BeyondTheNetwork,2383515074439446117940,0.805403
Bics,2486336438250,0.694133
Biznet,1396941396597,0.783943
Bren,227567298816000,0.745809
BsonetEurope,986625,0.019553
BtAsiaPac,16118700,0.435503
BtEurope,903507325,0.174426
Canerie,31194708958980,1.03437
Carnet,10235394667626885000,1.28232
Cernet,21676569192375552,0.634606
Cesnet1993,125,0.000271
Cesnet1997,2250,0.000502
Chinanet,3400069956496679375,2.33712
Cynet,901599911625,19.3586
grafo113.28,876,0.000869
grafo114.26,399,0.000493
grafo115.30,3460,0.000843
grafo116.28,1195,0.001042
grafo200.11,4,5.7e-05
grafo201.13,11,0.000206
grafo202.13,11,0.000205
grafo203.13,11,0.000222
grafo204.15,8,5.4e-05
grafo205.30,3119,0.000799
grafo206.12,4,6.4e-05
grafo207.12,4,5.9e-05
grafo208.38,58650,0.016198
grafo209.10,4,6.1e-05
grafo210.10,4,5.9e-05
grafo300.13,12,0.000209
grafo301.17,8,5.8e-05
grafo302.17,8,6.1e-05
grafo303.11,4,6.1e-05
grafo304.15,8,6.1e-05
grafo305.16,8,5.9e-05
grafo306.18,25,0.000221
grafo307.13,12,0.000215
grafo308.14,12,0.000211
grafo309.26,420,0.000473
grafo310.14,12,0.000211
grafo311.16,8,6.6e-05
grafo312.27,383,0.0005
grafo316.11,4,5.6e-05
grafo317.13,12,0.000224
grafo318.20,57,0.00565
grafo319.26,331,0.00048
grafo320.35,33258,0.016463
grafo340.15,8,6.2e-05
grafo341.30,2873,0.000942
grafo342.16,8,6.4e-05
grafo343.14,12,0.000204
grafo344.36,33030,0.008936
grafo345.14,11,0.000225
grafo346.19,22,0.000217
Grena,58500,0.001241
grid_3x3,125,0.000263
grid_3x4,900,0.000481
grid_4x3,3375,0.000562
grid_4x4,931500,0.213367
Gridnet,125,0.000263
Grnet,1206801341076240,0.637796
GtsCe,N/A,timeout
GtsCzechRepublic,339301719120,0.115915
Harnet,737048340,0.764783
Heanet,8,6.4e-05
HiberniaCanada,11700,0.001164
Ibm,84375,0.000722
Integra,617526000,0.007678
Litnet,1065022897069675232,0.579206
Marwan,58500,0.001362
Ntt,N/A,timeout
Oteglobe,N/A,timeout
Oxford,8233680,0.006586
Rediris,5382000,0.442196
Renater2001,3254931000,1.27123
Sago,608400,0.002077
Savvis,253125,0.000854
Surfnet,71164601220419506800,0.935997
Syringa,287118059644701182570043571200,1.01381
Telcove,N/A,timeout
TLex,6090,0.00351
UniC,694320900,0.143009
Uninet,13520,0.001763
Uran,2341997805,0.298103
Uunet,204122642777886690000,1.11194
