SharpSAT-TD求解器实验结果
文件名,运行时间(秒),模型计数
Aarnet,1.329156575,4450775
Abilene,1.020058463,2030
Abvt,5.068883537,7394865140
Aconet,9.641070747000001,1197603575
Agis,1.38544209,694320900
Ai3,1.005808526,125
Airtel,1.17435504,890155
Amres,1.062011326,557145680
Ans,1.025600322,126875
Arn,3.916849041,3526917517760
Arnes,1.924257929,6332762064720
AttMpls,2.78591121,1092546000
Azrena,1.403331668,138864180
Bandcon,TIMEOUT,N/A
Basnet,ERROR,8
Bbnplanet,1.033634677,617526000
Bellcanada,3.40051495,58347206692483363200
Bellsouth,2.787067449,20184650996115060000
Belnet2005,1.855737097,173054025
BeyondTheNetwork,3.015707597,2383515074439446117940
Bics,3.719817667,2486336438250
Biznet,3.522187166,1396941396597
Bren,3.371020257,227567298816000
BsonetEurope,1.111254852,986625
BtAsiaPac,2.556315785,16118700
BtEurope,1.437551634,903507325
Canerie,3.962046717,31194708958980
Carnet,3.70723825,10235394667626885000
Cernet,3.197774422,21676569192375552
Cesnet1993,1.009136708,125
Cesnet1997,1.011120385,2250
Chinanet,5.603158304,3400069956496679375
Cynet,16.733220259,901599911625
grafo113.28,1.008450842,876
grafo114.26,1.006229315,399
grafo115.30,1.008360769,3460
grafo116.28,1.009190632,1195
grafo200.11,ERROR,4
grafo201.13,1.005926601,11
grafo202.13,1.005089102,11
grafo203.13,1.005075536,11
grafo204.15,ERROR,8
grafo205.30,1.007849361,3119
grafo206.12,ERROR,4
grafo207.12,ERROR,4
grafo208.38,1.020865141,58650
grafo209.10,ERROR,4
grafo210.10,ERROR,4
grafo300.13,1.005097423,12
grafo301.17,ERROR,8
grafo302.17,ERROR,8
grafo303.11,ERROR,4
grafo304.15,ERROR,8
grafo305.16,ERROR,8
grafo306.18,1.005323478,25
grafo307.13,1.005251692,12
grafo308.14,1.005572156,12
grafo309.26,1.006584732,420
grafo310.14,1.005849316,12
grafo311.16,ERROR,8
grafo312.27,1.006509439,383
grafo316.11,ERROR,4
grafo317.13,1.005071679,12
grafo318.20,1.005864662,57
grafo319.26,1.005957517,331
grafo320.35,1.017931404,33258
grafo340.15,ERROR,8
grafo341.30,1.039974218,2873
grafo342.16,ERROR,8
grafo343.14,1.00479789,12
grafo344.36,1.017194983,33030
grafo345.14,1.005248687,11
grafo346.19,1.005209783,22
Grena,1.045778838,58500
grid_3x3,1.005788793,125
grid_3x4,1.006239872,900
grid_4x3,1.006810887,3375
grid_4x4,2.504135947,931500
Gridnet,1.016851565,125
Grnet,3.004651162,1206801341076240
GtsCe,TIMEOUT,N/A
GtsCzechRepublic,1.280697306,339301719120
Harnet,3.586594298,737048340
Heanet,ERROR,8
HiberniaCanada,1.010465529,11700
Ibm,1.007650951,84375
Integra,1.040154881,617526000
Litnet,2.921691114,1065022897069675232
Marwan,1.010933893,58500
Ntt,TIMEOUT,N/A
Oteglobe,TIMEOUT,N/A
Oxford,1.032741677,8233680
Rediris,2.666635406,5382000
Renater2001,6.033691013,3254931000
Sago,1.014494722,608400
Savvis,1.040929893,253125
Surfnet,2.790354465,71164601220419506800
Syringa,5.239395692,287118059644701182570043571200
Telcove,TIMEOUT,N/A
TLex,1.05359174,6090
UniC,1.408869809,694320900
Uninet,1.012617658,13520
Uran,1.780798148,2341997805
Uunet,3.456083344,204122642777886690000
