文件名,线程数,算法耗时(秒),求解个数,最大分块数
bell-09,8,0.574655,21147,1
bell-09,16,0.569131,21147,1
bell-09,24,0.570433,21147,1
bell-10,8,2.88519,115975,1
bell-10,16,2.88294,115975,1
bell-10,24,3.04373,115975,1
doublefact-17,8,12.2532,34459425,1
doublefact-17,16,12.2425,34459425,1
doublefact-17,24,12.1225,34459425,1
doublefact-19,8,60.9019,654729075,1
doublefact-19,16,60.2437,654729075,1
doublefact-19,24,60.0331,654729075,1
kts15-ptpt-0020,8,0.919722,8,2
kts15-ptpt-0020,16,0.966323,8,2
kts15-ptpt-0020,24,0.928448,8,2
kts15-ptpt-0021,8,0.867178,72,2
kts15-ptpt-0021,16,0.873838,72,2
kts15-ptpt-0021,24,0.882793,72,2
latin7-blk-00008,8,3.09087,27072,2
latin7-blk-00008,16,3.08031,27072,2
latin7-blk-00008,24,3.1202,27072,2
latin7-blk-00009,8,3.14958,27776,2
latin7-blk-00009,16,3.16007,27776,2
latin7-blk-00009,24,3.18334,27776,2
bell-03,8,0.000319561,5,1
bell-03,16,0.000318298,5,1
bell-03,24,0.000318429,5,1
bell-04,8,0.000639862,15,1
bell-04,16,0.000558789,15,1
bell-04,24,0.00062276,15,1
bell-05,8,0.00162968,52,1
bell-05,16,0.00149509,52,1
bell-05,24,0.00265807,52,1
bell-06,8,0.00570205,203,1
bell-06,16,0.0056113,203,1
bell-06,24,0.00607258,203,1
bell-07,8,0.0253178,877,1
bell-07,16,0.0242458,877,1
bell-07,24,0.0241022,877,1
bell-08,8,0.11575,4140,1
bell-08,16,0.116219,4140,1
bell-08,24,0.118441,4140,1
bell-11,8,14.2944,678570,1
bell-11,16,14.3446,678570,1
bell-11,24,14.6666,678570,1
bell-12,8,78.6526,4213597,1
bell-12,16,77.9001,4213597,1
bell-12,24,78.198,4213597,1
doublefact-01,8,5.8571,1,1
doublefact-01,16,5.0004,1,1
doublefact-01,24,5.7307,1,1
doublefact-03,8,0.000199635,3,1
