Instance,#cols,#rows,DLX,DXZ,D3X,DXD_S,DXD_M,IDXD_S,IDXD_M,MDLX,sharpSAT-TD,ExactMC,Solutions,Max Blocks,|ZDD|,|DNNF|
Belnet2004.zdd,,,,,0.0068,,,,,,,,,,,
BtLatinAmerica.zdd,,,,,0.0046,,,,,,,,,,,
Cesnet200304.zdd,,,,,0.0071,,,,,,,,,,,
Cesnet200706.zdd,,,,,0.0028,,,,,,,,,,,
Cudi.zdd,,,,,0.0060,,,,,,,,,,,
Cwix.zdd,,,,,0.0027,,,,,,,,,,,
Digex.zdd,,,,,0.0047,,,,,,,,,,,
Evolink.zdd,,,,,0.0029,,,,,,,,,,,
Geant2001.zdd,,,,,0.0016,,,,,,,,,,,
Geant2009.zdd,,,,,0.0030,,,,,,,,,,,
Geant2010.zdd,,,,,0.0032,,,,,,,,,,,
Highwinds.zdd,,,,,0.0031,,,,,,,,,,,
Iinet.zdd,,,,,0.0018,,,,,,,,,,,
Internetmci.zdd,,,,,0.0030,,,,,,,,,,,
Intranetwork.zdd,,,,,0.0093,,,,,,,,,,,
Janetbackbone.zdd,,,,,0.0033,,,,,,,,,,,
Myren.zdd,,,,,0.0043,,,,,,,,,,,
Niif.zdd,,,,,0.0017,,,,,,,,,,,
PionierL1.zdd,,,,,0.0023,,,,,,,,,,,
PionierL3.zdd,,,,,0.0038,,,,,,,,,,,
Renater2004.zdd,,,,,0.0033,,,,,,,,,,,
Renater2006.zdd,,,,,0.0025,,,,,,,,,,,
Renater2008.zdd,,,,,0.0029,,,,,,,,,,,
Renater2010.zdd,,,,,0.0050,,,,,,,,,,,
Rnp.zdd,,,,,0.0037,,,,,,,,,,,
Roedunet.zdd,,,,,0.0044,,,,,,,,,,,
Sanet.zdd,,,,,0.0039,,,,,,,,,,,
Shentel.zdd,,,,,0.0031,,,,,,,,,,,
Sunet.zdd,,,,,0.0050,,,,,,,,,,,
grafo10000.38.zdd,,,,,0.0028,,,,,,,,,,,
grafo10002.40.zdd,,,,,0.0047,,,,,,,,,,,
grafo10003.40.zdd,,,,,0.0040,,,,,,,,,,,
grafo10004.32.zdd,,,,,0.0016,,,,,,,,,,,
grafo10005.39.zdd,,,,,0.0042,,,,,,,,,,,
grafo10007.31.zdd,,,,,0.0032,,,,,,,,,,,
grafo10009.31.zdd,,,,,0.0033,,,,,,,,,,,
grafo10010.39.zdd,,,,,0.0116,,,,,,,,,,,
grafo10011.31.zdd,,,,,0.0034,,,,,,,,,,,
grafo10012.40.zdd,,,,,0.0032,,,,,,,,,,,
grafo10013.31.zdd,,,,,0.0050,,,,,,,,,,,
grafo10014.39.zdd,,,,,0.0106,,,,,,,,,,,
grafo10015.39.zdd,,,,,0.0062,,,,,,,,,,,
grafo10016.39.zdd,,,,,0.0027,,,,,,,,,,,
grafo10018.31.zdd,,,,,0.0015,,,,,,,,,,,
grafo10019.38.zdd,,,,,0.0028,,,,,,,,,,,
grafo10020.38.zdd,,,,,0.0046,,,,,,,,,,,
grafo10021.39.zdd,,,,,0.0057,,,,,,,,,,,
grafo10022.31.zdd,,,,,0.0018,,,,,,,,,,,
grafo10023.39.zdd,,,,,0.0027,,,,,,,,,,,
grafo10024.32.zdd,,,,,0.0028,,,,,,,,,,,
grafo10025.31.zdd,,,,,0.0030,,,,,,,,,,,
grafo10026.32.zdd,,,,,0.0039,,,,,,,,,,,
grafo10027.38.zdd,,,,,0.0064,,,,,,,,,,,
grafo10029.40.zdd,,,,,0.0043,,,,,,,,,,,
grafo10030.38.zdd,,,,,0.0038,,,,,,,,,,,
grafo10031.38.zdd,,,,,0.0026,,,,,,,,,,,
grafo10032.38.zdd,,,,,0.0026,,,,,,,,,,,
grafo10033.31.zdd,,,,,0.0027,,,,,,,,,,,
grafo10034.40.zdd,,,,,0.0043,,,,,,,,,,,
grafo10035.38.zdd,,,,,0.0064,,,,,,,,,,,
grafo10036.31.zdd,,,,,0.0015,,,,,,,,,,,
grafo10037.39.zdd,,,,,0.0039,,,,,,,,,,,
grafo10038.38.zdd,,,,,0.0038,,,,,,,,,,,
grafo10040.32.zdd,,,,,0.0031,,,,,,,,,,,
grafo10041.41.zdd,,,,,0.0032,,,,,,,,,,,
grafo10042.39.zdd,,,,,0.0100,,,,,,,,,,,
grafo10043.32.zdd,,,,,0.0019,,,,,,,,,,,
grafo10044.38.zdd,,,,,0.0037,,,,,,,,,,,
grafo10045.38.zdd,,,,,0.0033,,,,,,,,,,,
grafo10046.40.zdd,,,,,0.0072,,,,,,,,,,,
grafo10047.32.zdd,,,,,0.0053,,,,,,,,,,,
grafo10048.32.zdd,,,,,0.0063,,,,,,,,,,,
grafo10049.39.zdd,,,,,0.0030,,,,,,,,,,,
grafo10051.30.zdd,,,,,0.0026,,,,,,,,,,,
grafo10052.32.zdd,,,,,0.0020,,,,,,,,,,,
grafo10053.32.zdd,,,,,0.0019,,,,,,,,,,,
grafo10054.40.zdd,,,,,0.0081,,,,,,,,,,,
grafo10055.40.zdd,,,,,0.0067,,,,,,,,,,,
