Instance,#cols,#rows,DLX,DXZ,D3X,DXD_S,DXD_M,IDXD_S,IDXD_M,MDLX,sharpSAT-TD,ExactMC,Solutions,Max Blocks,|ZDD|,|DNNF|
Belnet2004.txt,,,0.0100,,,,,,,,,,32,,,
BtLatinAmerica.txt,,,0.0102,,,,,,,,,,4,,,
Cesnet200304.txt,,,0.0076,,,,,,,,,,112,,,
Cesnet200706.txt,,,0.0032,,,,,,,,,,7,,,
Cudi.txt,,,0.0064,,,,,,,,,,7,,,
Cwix.txt,,,0.0028,,,,,,,,,,4,,,
Digex.txt,,,0.0059,,,,,,,,,,18,,,
Evolink.txt,,,0.0030,,,,,,,,,,20,,,
Geant2001.txt,,,0.0014,,,,,,,,,,15,,,
Geant2009.txt,,,0.0040,,,,,,,,,,70,,,
Geant2010.txt,,,0.0044,,,,,,,,,,24,,,
Highwinds.txt,,,0.0034,,,,,,,,,,2,,,
Iinet.txt,,,0.0019,,,,,,,,,,9,,,
Internetmci.txt,,,0.0032,,,,,,,,,,9,,,
Intranetwork.txt,,,0.0080,,,,,,,,,,4,,,
Janetbackbone.txt,,,0.0037,,,,,,,,,,3,,,
Myren.txt,,,0.0048,,,,,,,,,,10,,,
Niif.txt,,,0.0014,,,,,,,,,,4,,,
PionierL1.txt,,,0.0030,,,,,,,,,,29,,,
PionierL3.txt,,,0.0034,,,,,,,,,,16,,,
Renater2004.txt,,,0.0029,,,,,,,,,,2,,,
Renater2006.txt,,,0.0017,,,,,,,,,,2,,,
Renater2008.txt,,,0.0024,,,,,,,,,,8,,,
Renater2010.txt,,,0.0046,,,,,,,,,,8,,,
Rnp.txt,,,0.0030,,,,,,,,,,34,,,
Roedunet.txt,,,0.0045,,,,,,,,,,12,,,
Sanet.txt,,,0.0041,,,,,,,,,,4,,,
Shentel.txt,,,0.0022,,,,,,,,,,6,,,
Sunet.txt,,,0.0044,,,,,,,,,,14,,,
grafo10000.38.txt,,,0.0039,,,,,,,,,,7,,,
grafo10002.40.txt,,,0.0054,,,,,,,,,,4,,,
grafo10003.40.txt,,,0.0041,,,,,,,,,,3,,,
grafo10004.32.txt,,,0.0016,,,,,,,,,,6,,,
grafo10005.39.txt,,,0.0043,,,,,,,,,,9,,,
grafo10007.31.txt,,,0.0035,,,,,,,,,,23,,,
grafo10009.31.txt,,,0.0032,,,,,,,,,,8,,,
grafo10010.39.txt,,,0.0094,,,,,,,,,,16,,,
grafo10011.31.txt,,,0.0040,,,,,,,,,,14,,,
grafo10012.40.txt,,,0.0029,,,,,,,,,,2,,,
grafo10013.31.txt,,,0.0060,,,,,,,,,,9,,,
grafo10014.39.txt,,,0.0105,,,,,,,,,,18,,,
grafo10015.39.txt,,,0.0044,,,,,,,,,,4,,,
grafo10016.39.txt,,,0.0028,,,,,,,,,,5,,,
grafo10018.31.txt,,,0.0016,,,,,,,,,,12,,,
grafo10019.38.txt,,,0.0024,,,,,,,,,,4,,,
grafo10020.38.txt,,,0.0045,,,,,,,,,,8,,,
grafo10021.39.txt,,,0.0049,,,,,,,,,,27,,,
grafo10022.31.txt,,,0.0017,,,,,,,,,,3,,,
grafo10023.39.txt,,,0.0021,,,,,,,,,,2,,,
grafo10024.32.txt,,,0.0024,,,,,,,,,,4,,,
grafo10025.31.txt,,,0.0023,,,,,,,,,,12,,,
grafo10026.32.txt,,,0.0104,,,,,,,,,,57,,,
grafo10027.38.txt,,,0.0055,,,,,,,,,,4,,,
grafo10029.40.txt,,,0.0035,,,,,,,,,,14,,,
grafo10030.38.txt,,,0.0024,,,,,,,,,,2,,,
grafo10031.38.txt,,,0.0021,,,,,,,,,,7,,,
grafo10032.38.txt,,,0.0023,,,,,,,,,,5,,,
grafo10033.31.txt,,,0.0028,,,,,,,,,,7,,,
grafo10034.40.txt,,,0.0030,,,,,,,,,,5,,,
grafo10035.38.txt,,,0.0044,,,,,,,,,,6,,,
grafo10036.31.txt,,,0.0014,,,,,,,,,,21,,,
grafo10037.39.txt,,,0.0034,,,,,,,,,,8,,,
grafo10038.38.txt,,,0.0034,,,,,,,,,,3,,,
grafo10040.32.txt,,,0.0035,,,,,,,,,,15,,,
grafo10041.41.txt,,,0.0027,,,,,,,,,,2,,,
grafo10042.39.txt,,,0.0118,,,,,,,,,,20,,,
grafo10043.32.txt,,,0.0015,,,,,,,,,,2,,,
grafo10044.38.txt,,,0.0031,,,,,,,,,,5,,,
grafo10045.38.txt,,,0.0026,,,,,,,,,,8,,,
grafo10046.40.txt,,,0.0068,,,,,,,,,,63,,,
grafo10047.32.txt,,,0.0053,,,,,,,,,,30,,,
grafo10048.32.txt,,,0.0078,,,,,,,,,,44,,,
grafo10049.39.txt,,,0.0025,,,,,,,,,,14,,,
grafo10051.30.txt,,,0.0026,,,,,,,,,,4,,,
grafo10052.32.txt,,,0.0021,,,,,,,,,,10,,,
grafo10053.32.txt,,,0.0017,,,,,,,,,,4,,,
grafo10054.40.txt,,,0.0132,,,,,,,,,,98,,,
grafo10055.40.txt,,,0.0093,,,,,,,,,,21,,,
grafo10056.31.txt,,,0.0061,,,,,,,,,,87,,,
grafo10057.40.txt,,,0.0064,,,,,,,,,,5,,,
grafo10058.32.txt,,,0.0022,,,,,,,,,,4,,,
grafo10059.32.txt,,,0.0046,,,,,,,,,,6,,,
grafo10062.39.txt,,,0.0039,,,,,,,,,,104,,,
grafo10063.31.txt,,,0.0242,,,,,,,,,,152,,,
grafo10064.39.txt,,,0.0033,,,,,,,,,,6,,,
grafo10065.32.txt,,,0.0031,,,,,,,,,,13,,,
