Instance,#cols,#rows,DLX,DXZ,D3X,DXD_S,DXD_M,IDXD_S,IDXD_M,MDLX
Darkstrand.txt,,,0.2357,,,,,,,
Dataxchange.txt,,,69.6894,,,,,,,
Deltacom.txt,,,11.3852,,,,,,,
DeutscheTelekom.txt,,,88.9896,,,,,,,
Dfn.txt,,,120.2191,,,,,,,
DialtelecomCz.txt,,,22.0985,,,,,,,
Digex.txt,,,588.8851,,,,,,,
Easynet.txt,,,timeout,,,,,,,
Eenet.txt,,,69.8744,,,,,,,
EliBackbone.txt,,,48.2933,,,,,,,
Epoch.txt,,,17.9704,,,,,,,
Ernet.txt,,,timeout,,,,,,,
Esnet.txt,,,45.0141,,,,,,,
Eunetworks.txt,,,7.0195,,,,,,,
Evolink.txt,,,76.2660,,,,,,,
Fatman.txt,,,timeout,,,,,,,
Fccn.txt,,,97.5460,,,,,,,
Forthnet.txt,,,timeout,,,,,,,
Funet.txt,,,113.4708,,,,,,,
Gambia.txt,,,628.6208,,,,,,,
Garr199901.txt,,,139.6147,,,,,,,
Garr199904.txt,,,41.7668,,,,,,,
Garr199905.txt,,,5.6585,,,,,,,
Garr200109.txt,,,1110.1595,,,,,,,
Garr200112.txt,,,336.1713,,,,,,,
Garr200212.txt,,,1153.6984,,,,,,,
Garr200404.txt,,,52.2700,,,,,,,
Garr200902.txt,,,timeout,,,,,,,
Garr200908.txt,,,0.5437,,,,,,,
Garr200909.txt,,,timeout,,,,,,,
