Instance,#cols,#rows,DLX,DXZ,D3X,DXD_S,DXD_M,IDXD_S,IDXD_M,MDLX,sharpSAT-TD,ExactMC,Solutions,Max Blocks
Pacificwave.txt,,,0.5352,,,,,,,,,,17280,
Packetexchange.txt,,,0.8153,,,,,,,,,,22400,
Padi.txt,,,0.5498,,,,,,,,,,44928,
Palmetto.txt,,,4.3320,,,,,,,,,,52416,
Peer1.txt,,,0.3553,,,,,,,,,,24192,
Pern.txt,,,30.7635,,,,,,,,,,786240,
PionierL1.txt,,,4.4437,,,,,,,,,,132000,
PionierL3.txt,,,0.5197,,,,,,,,,,32256,
Psinet.txt,,,1.9685,,,,,,,,,,82944,
grafo8039.65.txt,,,1.4921,,,,,,,,,,25920,
grafo8186.90.txt,,,0.3012,,,,,,,,,,62400,
grafo8187.70.txt,,,127.4757,,,,,,,,,,14515200,
grafo8188.62.txt,,,0.4694,,,,,,,,,,4800,
grafo8189.85.txt,,,0.2423,,,,,,,,,,2592,
grafo8190.73.txt,,,0.2909,,,,,,,,,,5832,
grafo8222.84.txt,,,332.4487,,,,,,,,,,15724800,
grafo8223.99.txt,,,1.1565,,,,,,,,,,61440,
grafo8224.100.txt,,,2.8036,,,,,,,,,,38400,
grafo8225.88.txt,,,0.7218,,,,,,,,,,7296,
grafo8226.90.txt,,,0.4892,,,,,,,,,,48384,
grid_3x3.txt,,,75.3244,,,,,,,,,,10108800,
grid_4x4.txt,,,0.5126,,,,,,,,,,3000,
