Instance,#cols,#rows,DLX,DXZ,D3X,DXD_S,DXD_M,IDXD_S,IDXD_M,MDLX,sharpSAT-TD,ExactMC,Solutions,Max Blocks,|ZDD|,|DNNF|
grafo1000.47.txt,,,,,,,11.8938,,,,,,1177715819280,10,,1156
grafo10000.67.txt,,,,,,,4.1687,,,,,,37696,6,,287
grafo1016.59.txt,,,,,,,6.1341,,,,,,1651260,9,,422
grafo1019.93.txt,,,,,,,10.6121,,,,,,8689920,7,,752
grafo1020.65.txt,,,,,,,7.7229,,,,,,9057859,9,,531
grafo1022.27.txt,,,,,,,45.8065,,,,,,12883411288805,5,,1335
grafo1024.93.txt,,,,,,,3.6599,,,,,,2943,5,,205
grafo1031.94.txt,,,,,,,2.1381,,,,,,3567,5,,260
grafo1032.98.txt,,,,,,,2.4943,,,,,,2905,4,,261
grafo1036.44.txt,,,,,,,10.2297,,,,,,127175179,9,,685
grafo1039.45.txt,,,,,,,13.6174,,,,,,8001844,5,,708
grafo1049.58.txt,,,,,,,11.3584,,,,,,63678702,6,,676
grafo1052.100.txt,,,,,,,6.6330,,,,,,110682,7,,359
grafo1058.39.txt,,,,,,,2.3666,,,,,,33234,5,,427
grafo106.40.txt,,,,,,,4.8796,,,,,,7054236,7,,614
grafo1060.70.txt,,,,,,,4.7850,,,,,,34560,7,,263
grafo1061.96.txt,,,,,,,7.4856,,,,,,740880,8,,340
grafo1064.74.txt,,,,,,,5.2251,,,,,,2520,5,,230
grafo1068.79.txt,,,,,,,4.4022,,,,,,939600,8,,334
grafo1071.70.txt,,,,,,,3.5957,,,,,,37800,6,,301
grafo1073.12.txt,,,,,,,4.8890,,,,,,3456540,7,,529
grafo1077.66.txt,,,,,,,6.5798,,,,,,258944,6,,364
grafo1082.84.txt,,,,,,,13.3538,,,,,,976647552,10,,629
grafo1086.84.txt,,,,,,,20.2079,,,,,,282752527680,10,,911
grafo109.84.txt,,,,,,,10.8370,,,,,,236479408,6,,768
grafo1092.40.txt,,,,,,,2.2656,,,,,,1806,5,,215
grafo1093.22.txt,,,,,,,3.7644,,,,,,1750,5,,242
grafo1096.67.txt,,,,,,,16.8295,,,,,,3809935887240,8,,1127
grafo1098.82.txt,,,,,,,1.3916,,,,,,3240,4,,257
grafo1103.70.txt,,,,,,,4.9322,,,,,,133504,7,,369
grafo1113.83.txt,,,,,,,5.7153,,,,,,38440,6,,279
grafo1117.38.txt,,,,,,,4.6764,,,,,,7176,4,,273
grafo1120.53.txt,,,,,,,5.8666,,,,,,1010724,7,,471
grafo1125.57.txt,,,,,,,6.5777,,,,,,447552360,8,,854
grafo1126.98.txt,,,,,,,20.1626,,,,,,14713894974240,9,,1395
grafo1129.38.txt,,,,,,,13.7996,,,,,,227834880,10,,521
grafo1133.37.txt,,,,,,,10.4665,,,,,,1527990,9,,373
grafo1135.68.txt,,,,,,,2.3134,,,,,,18954,5,,362
grafo1140.100.txt,,,,,,,4.3806,,,,,,1015,5,,174
grafo1141.27.txt,,,,,,,2.6637,,,,,,2244,4,,251
grafo1143.95.txt,,,,,,,2.2420,,,,,,837,4,,171
grafo1149.10.txt,,,,,,,2.0621,,,,,,1023,4,,186
grafo1151.92.txt,,,,,,,1.8232,,,,,,928,5,,175
grafo1152.50.txt,,,,,,,8.6087,,,,,,122882760,10,,538
grafo1154.39.txt,,,,,,,2.2691,,,,,,127484,5,,446
grafo1157.11.txt,,,,,,,9.4683,,,,,,111974400,10,,506
grafo1163.61.txt,,,,,,,6.3926,,,,,,3032400,8,,408
grafo1170.72.txt,,,,,,,13.2708,,,,,,1235570048160000,10,,1212
grafo1171.69.txt,,,,,,,3.0392,,,,,,9324,4,,333
grafo1176.87.txt,,,,,,,9.2571,,,,,,16644608,8,,501
grafo1179.91.txt,,,,,,,32.4827,,,,,,3028174565472,10,,970
grafo118.50.txt,,,,,,,24.1923,,,,,,113064930,6,,814
grafo1180.19.txt,,,,,,,4.2691,,,,,,12015,4,,336
grafo1184.20.txt,,,,,,,3.9884,,,,,,6048,4,,270
grafo1189.47.txt,,,,,,,3.4582,,,,,,1026,4,,189
