Instance,#cols,#rows,DLX,DXZ,D3X,DXD_S,DXD_M,IDXD_S,IDXD_M,MDLX,sharpSAT-TD,ExactMC,Solutions,Max Blocks
Pacificwave.txt,,,,,,,0.0120,,,,,,17280,14
Packetexchange.txt,,,,,,,0.0119,,,,,,22400,11
Padi.txt,,,,,,,0.0122,,,,,,44928,14
Palmetto.txt,,,,,,,0.0112,,,,,,52416,12
Peer1.txt,,,,,,,0.0121,,,,,,24192,11
Pern.txt,,,,,,,0.0121,,,,,,786240,15
PionierL1.txt,,,,,,,0.0110,,,,,,132000,11
PionierL3.txt,,,,,,,0.0111,,,,,,32256,11
Psinet.txt,,,,,,,0.0116,,,,,,82944,13
grafo8039.65.txt,,,,,,,0.0122,,,,,,25920,14
grafo8186.90.txt,,,,,,,0.0112,,,,,,62400,17
grafo8187.70.txt,,,,,,,0.0121,,,,,,14515200,11
grafo8188.62.txt,,,,,,,0.0112,,,,,,4800,14
grafo8189.85.txt,,,,,,,0.0127,,,,,,2592,15
grafo8190.73.txt,,,,,,,0.0109,,,,,,5832,24
grafo8222.84.txt,,,,,,,0.0121,,,,,,15724800,12
grafo8223.99.txt,,,,,,,0.0114,,,,,,61440,17
grafo8224.100.txt,,,,,,,0.0113,,,,,,38400,15
grafo8225.88.txt,,,,,,,0.0112,,,,,,7296,11
grafo8226.90.txt,,,,,,,0.0097,,,,,,48384,13
grid_3x3.txt,,,,,,,0.0125,,,,,,10108800,18
grid_4x4.txt,,,,,,,0.0096,,,,,,3000,15
