Instance,#cols,#rows,DLX,DXZ,D3X,DXD_S,DXD_M,IDXD_S,IDXD_M,MDLX,sharpSAT-TD,ExactMC,Solutions,Max Blocks,|ZDD|,|DNNF|
grafo1000.47.txt,,,,,,27.4371,,,,,,,12134567496248400,10,,1645
grafo10000.67.txt,,,,,,4.6361,,,,,,,307020,6,,426
grafo1016.59.txt,,,,,,8.9254,,,,,,,82769256,9,,618
grafo1019.93.txt,,,,,,20.3671,,,,,,,874793712,7,,972
grafo1020.65.txt,,,,,,10.2669,,,,,,,1974212352,9,,929
grafo1022.27.txt,,,,,,72.3019,,,,,,,23715940954160,6,,1378
grafo1024.93.txt,,,,,,4.0817,,,,,,,16760,5,,307
grafo1031.94.txt,,,,,,2.5186,,,,,,,80160,5,,458
grafo1032.98.txt,,,,,,2.9020,,,,,,,31941,4,,398
grafo1036.44.txt,,,,,,23.1191,,,,,,,31787544894,9,,971
grafo1039.45.txt,,,,,,20.1935,,,,,,,19445580,5,,768
grafo1049.58.txt,,,,,,33.1971,,,,,,,1859389932,6,,903
grafo1052.100.txt,,,,,,7.9442,,,,,,,2686464,7,,543
grafo1058.39.txt,,,,,,4.2145,,,,,,,3456206,5,,678
grafo106.40.txt,,,,,,8.1115,,,,,,,5214656070,7,,967
grafo1060.70.txt,,,,,,5.0807,,,,,,,186368,7,,345
grafo1061.96.txt,,,,,,7.6208,,,,,,,18918900,8,,514
grafo1064.74.txt,,,,,,6.4819,,,,,,,64824,5,,432
grafo1068.79.txt,,,,,,4.6326,,,,,,,9971010,8,,445
grafo1071.70.txt,,,,,,4.2598,,,,,,,288640,6,,416
grafo1073.12.txt,,,,,,6.6310,,,,,,,48592032,7,,677
grafo1077.66.txt,,,,,,7.7622,,,,,,,7237680,6,,570
grafo1082.84.txt,,,,,,17.4473,,,,,,,329836688896,10,,1017
grafo1086.84.txt,,,,,,44.3553,,,,,,,53685300791088,10,,1181
grafo109.84.txt,,,,,,13.8769,,,,,,,3384094080,6,,938
grafo1092.40.txt,,,,,,2.7268,,,,,,,13140,5,,308
grafo1093.22.txt,,,,,,5.1204,,,,,,,37023,5,,467
grafo1096.67.txt,,,,,,23.2869,,,,,,,880024566756960,8,,1464
grafo1098.82.txt,,,,,,1.8883,,,,,,,66256,4,,413
grafo1103.70.txt,,,,,,6.0393,,,,,,,4353052,7,,511
grafo1113.83.txt,,,,,,6.7170,,,,,,,291720,6,,380
grafo1117.38.txt,,,,,,6.2032,,,,,,,108575,4,,477
grafo1120.53.txt,,,,,,8.7334,,,,,,,79132393,7,,672
grafo1125.57.txt,,,,,,12.5425,,,,,,,588014446250,8,,1222
grafo1126.98.txt,,,,,,42.7317,,,,,,,42431333593830440,9,,1772
grafo1129.38.txt,,,,,,16.4296,,,,,,,22964350500,10,,835
grafo1133.37.txt,,,,,,11.5946,,,,,,,42340320,9,,557
grafo1135.68.txt,,,,,,3.7549,,,,,,,846684,5,,578
grafo1140.100.txt,,,,,,5.0121,,,,,,,3692,5,,252
grafo1141.27.txt,,,,,,3.5358,,,,,,,73872,4,,482
grafo1143.95.txt,,,,,,2.3549,,,,,,,2484,4,,219
grafo1149.10.txt,,,,,,2.5699,,,,,,,5760,4,,290
grafo1151.92.txt,,,,,,2.0256,,,,,,,2592,5,,241
grafo1152.50.txt,,,,,,10.6378,,,,,,,16803158400,10,,787
grafo1154.39.txt,,,,,,4.9905,,,,,,,5112115,6,,571
grafo1157.11.txt,,,,,,11.1845,,,,,,,15137032000,10,,776
grafo1163.61.txt,,,,,,7.6067,,,,,,,97634160,8,,572
grafo1170.72.txt,,,,,,30.4035,,,,,,,107082848372677155,10,,1431
grafo1171.69.txt,,,,,,5.0140,,,,,,,638595,4,,587
grafo1176.87.txt,,,,,,12.0503,,,,,,,2127187200,8,,711
grafo1179.91.txt,,,,,,54.9661,,,,,,,88142979095424,10,,1134
grafo118.50.txt,,,,,,71.6033,,,,,,,5023149768,6,,1040
grafo1180.19.txt,,,,,,6.0777,,,,,,,829150,4,,612
grafo1184.20.txt,,,,,,4.8913,,,,,,,79350,4,,436
grafo1189.47.txt,,,,,,4.2256,,,,,,,6612,4,,333
grafo1194.58.txt,,,,,,15.1105,,,,,,,14397328578600,8,,1202
grafo1197.98.txt,,,,,,5.8129,,,,,,,664092,5,,565
grafo1199.26.txt,,,,,,2.4936,,,,,,,12692,4,,317
grafo1201.52.txt,,,,,,6.9189,,,,,,,53797120,8,,572
grafo1204.57.txt,,,,,,4.3145,,,,,,,16443,5,,361
grafo1206.20.txt,,,,,,5.4011,,,,,,,106998,5,,462
grafo1208.80.txt,,,,,,16.1884,,,,,,,50961148416,6,,1159
grafo1209.77.txt,,,,,,6.4386,,,,,,,1836912,6,,562
grafo1213.36.txt,,,,,,7.9501,,,,,,,1013467,4,,614
grafo1218.53.txt,,,,,,8.1291,,,,,,,2168045568,8,,787
grafo1221.88.txt,,,,,,6.6570,,,,,,,3145020,7,,599
grafo1222.12.txt,,,,,,3.2284,,,,,,,121770,5,,418
grafo1224.85.txt,,,,,,15.7530,,,,,,,41168511450,7,,992
grafo1226.12.txt,,,,,,8.3531,,,,,,,16450560,9,,500
grafo1227.39.txt,,,,,,6.7841,,,,,,,19290149376,8,,839
grafo1229.98.txt,,,,,,11.5887,,,,,,,2958778368,10,,694
grafo1231.66.txt,,,,,,16.6217,,,,,,,11416574400,6,,1154
grafo1233.97.txt,,,,,,4.1156,,,,,,,17653,5,,375
grafo1237.52.txt,,,,,,41.6700,,,,,,,50443093283968,9,,1208
grafo1239.92.txt,,,,,,5.9871,,,,,,,214760,6,,331
grafo124.52.txt,,,,,,9.1939,,,,,,,11418713856,10,,800
grafo1240.89.txt,,,,,,17.5792,,,,,,,2392138,5,,590
grafo1243.46.txt,,,,,,5.2930,,,,,,,101760,7,,319
grafo1245.25.txt,,,,,,5.7625,,,,,,,6524298,5,,717
grafo1246.82.txt,,,,,,15.2632,,,,,,,7003174692960,10,,1138
grafo125.20.txt,,,,,,2.6341,,,,,,,154234,6,,459
grafo1251.27.txt,,,,,,7.2947,,,,,,,3353064,5,,580
grafo1254.97.txt,,,,,,8.7783,,,,,,,1055288,5,,635
grafo1260.91.txt,,,,,,63.6904,,,,,,,31067236043504640,10,,1427
grafo1263.37.txt,,,,,,10.6454,,,,,,,1455646696,8,,783
grafo1266.82.txt,,,,,,11.9948,,,,,,,44341440,6,,745
grafo1269.48.txt,,,,,,9.5842,,,,,,,1366688854440,10,,1046
grafo127.51.txt,,,,,,12.5282,,,,,,,921191465840,6,,1089
grafo1276.38.txt,,,,,,2.9425,,,,,,,114182,5,,447
grafo128.92.txt,,,,,,5.8767,,,,,,,56871072,6,,607
grafo1280.55.txt,,,,,,5.0743,,,,,,,916124,6,,454
grafo1281.93.txt,,,,,,6.0410,,,,,,,207687480,8,,670
grafo1288.19.txt,,,,,,6.6020,,,,,,,2136420,6,,548
grafo1293.95.txt,,,,,,21.5548,,,,,,,194470391808,7,,965
grafo1299.94.txt,,,,,,10.8209,,,,,,,6085569080,9,,887
grafo1300.60.txt,,,,,,4.2343,,,,,,,3079692,6,,520
grafo1304.97.txt,,,,,,7.2539,,,,,,,4455,5,,283
grafo1310.11.txt,,,,,,6.2892,,,,,,,22881742400,8,,852
grafo1313.90.txt,,,,,,4.2936,,,,,,,153883,5,,403
grafo1315.93.txt,,,,,,9.6281,,,,,,,785631000,8,,723
grafo1320.24.txt,,,,,,2.8858,,,,,,,2730,4,,223
grafo1325.60.txt,,,,,,7.6258,,,,,,,18202053510,8,,899
grafo1327.42.txt,,,,,,2.7116,,,,,,,5759600,6,,554
grafo1329.60.txt,,,,,,7.3973,,,,,,,5570046,7,,584
grafo1332.55.txt,,,,,,7.7440,,,,,,,4621843,5,,706
grafo1333.63.txt,,,,,,16.6525,,,,,,,974561040,5,,859
grafo1334.77.txt,,,,,,5.0303,,,,,,,5940,5,,300
grafo1335.82.txt,,,,,,5.9571,,,,,,,32585328,9,,518
grafo1340.15.txt,,,,,,22.6385,,,,,,,4992843755377296,10,,1582
grafo1345.63.txt,,,,,,6.0034,,,,,,,52240500,8,,598
grafo135.11.txt,,,,,,21.0979,,,,,,,668253173112,6,,977
grafo1351.10.txt,,,,,,10.0375,,,,,,,11355171306077,8,,1214
grafo1353.87.txt,,,,,,4.0396,,,,,,,2738,4,,225
grafo1354.16.txt,,,,,,9.5159,,,,,,,79661456,6,,782
grafo1357.38.txt,,,,,,5.9606,,,,,,,45050,5,,456
grafo1359.45.txt,,,,,,10.0142,,,,,,,14786880836,9,,835
grafo1363.45.txt,,,,,,6.2639,,,,,,,288470,5,,576
grafo1364.30.txt,,,,,,5.9440,,,,,,,41869479960,10,,847
grafo1369.28.txt,,,,,,7.2665,,,,,,,7990488,6,,568
grafo1370.75.txt,,,,,,9.1739,,,,,,,6182122212,9,,871
grafo1375.99.txt,,,,,,11.8721,,,,,,,138573583500,7,,939
grafo1388.17.txt,,,,,,14.8346,,,,,,,5286368417122800,10,,1446
grafo1390.73.txt,,,,,,4.2595,,,,,,,5576,5,,246
grafo1391.96.txt,,,,,,24.1369,,,,,,,1261982674368,10,,974
grafo1393.24.txt,,,,,,3.7518,,,,,,,1596,4,,212
grafo1394.26.txt,,,,,,13.0137,,,,,,,15918823110,6,,934
grafo1398.21.txt,,,,,,3.8097,,,,,,,670268,7,,452
grafo1405.91.txt,,,,,,4.4313,,,,,,,3795,5,,248
grafo1407.50.txt,,,,,,10.9850,,,,,,,224233425900,9,,1033
grafo1408.28.txt,,,,,,8.0734,,,,,,,14944254,4,,613
grafo1411.22.txt,,,,,,6.5796,,,,,,,173416320,9,,672
grafo1412.32.txt,,,,,,12.5321,,,,,,,473502939,7,,846
grafo1415.63.txt,,,,,,15.7582,,,,,,,5491976256000,10,,1243
grafo1417.42.txt,,,,,,20.4836,,,,,,,34973328000,6,,1233
grafo142.76.txt,,,,,,10.5849,,,,,,,9259981170,9,,920
grafo1420.71.txt,,,,,,7.1851,,,,,,,14570435,7,,667
grafo1423.48.txt,,,,,,8.5900,,,,,,,2995200,6,,496
grafo1426.92.txt,,,,,,12.7481,,,,,,,33401175,6,,762
grafo143.64.txt,,,,,,5.9233,,,,,,,1627200,6,,504
grafo1430.95.txt,,,,,,11.6459,,,,,,,60762211488,8,,1004
grafo1431.29.txt,,,,,,25.5177,,,,,,,3772079768450,9,,1276
grafo1435.43.txt,,,,,,5.4727,,,,,,,28441920,9,,546
grafo1436.41.txt,,,,,,7.1037,,,,,,,120101580,6,,743
grafo1437.35.txt,,,,,,31.4791,,,,,,,8293470189192,9,,1197
grafo1441.77.txt,,,,,,5.0143,,,,,,,378200,6,,396
grafo1443.40.txt,,,,,,4.9636,,,,,,,9288,5,,277
grafo1447.35.txt,,,,,,9.1994,,,,,,,73483285536,10,,845
grafo1448.100.txt,,,,,,21.7686,,,,,,,148776195477078,9,,1532
grafo1453.29.txt,,,,,,2.7454,,,,,,,521118,7,,407
grafo146.60.txt,,,,,,23.9636,,,,,,,10702380780,6,,970
grafo1474.40.txt,,,,,,47.3829,,,,,,,1026071902750,8,,1036
grafo1475.37.txt,,,,,,5.9511,,,,,,,337722,7,,385
grafo1481.33.txt,,,,,,2.5957,,,,,,,16640,4,,341
grafo1488.42.txt,,,,,,6.1504,,,,,,,2208688,7,,446
grafo1489.74.txt,,,,,,5.2505,,,,,,,522880,7,,456
grafo1491.27.txt,,,,,,11.8815,,,,,,,27679645928,8,,975
grafo1495.67.txt,,,,,,4.5452,,,,,,,30784,4,,447
grafo1496.11.txt,,,,,,13.3231,,,,,,,52231471776,8,,962
grafo1498.61.txt,,,,,,2.9122,,,,,,,1203026,5,,495
grafo1502.73.txt,,,,,,28.5280,,,,,,,4460569201710,10,,1234
grafo1503.80.txt,,,,,,8.4012,,,,,,,4280440,7,,651
grafo1518.68.txt,,,,,,6.9202,,,,,,,1572186000,10,,689
grafo1519.73.txt,,,,,,24.5120,,,,,,,26865276480,9,,859
grafo1524.86.txt,,,,,,30.2875,,,,,,,216241657416,8,,1129
grafo153.22.txt,,,,,,12.6842,,,,,,,933382766592,8,,1106
grafo1534.94.txt,,,,,,16.9137,,,,,,,28131599160,9,,1046
grafo1537.86.txt,,,,,,35.0994,,,,,,,66168308519040000,10,,1752
grafo1538.49.txt,,,,,,7.6515,,,,,,,31377852,5,,656
grafo1540.55.txt,,,,,,5.5914,,,,,,,4520043,6,,484
grafo1542.71.txt,,,,,,10.8801,,,,,,,7536894228864,10,,1112
grafo1543.79.txt,,,,,,3.7412,,,,,,,5599426,6,,530
grafo155.75.txt,,,,,,19.8536,,,,,,,3540051900,7,,811
grafo1562.81.txt,,,,,,2.0372,,,,,,,192416,5,,421
grafo1574.100.txt,,,,,,5.8370,,,,,,,60680,5,,424
grafo1576.39.txt,,,,,,4.1614,,,,,,,734222376,9,,658
grafo1579.57.txt,,,,,,6.2605,,,,,,,30100,4,,397
grafo158.21.txt,,,,,,17.6779,,,,,,,1469381936,7,,960
grafo1580.49.txt,,,,,,6.7630,,,,,,,160468,5,,467
grafo1589.37.txt,,,,,,21.6280,,,,,,,322105725,6,,763
grafo1590.75.txt,,,,,,54.8538,,,,,,,292712668288951680,10,,1681
grafo1594.71.txt,,,,,,53.3355,,,,,,,2218183187532,6,,1314
grafo1596.16.txt,,,,,,9.9043,,,,,,,419004658212,8,,871
grafo1601.21.txt,,,,,,2.2350,,,,,,,9860,5,,314
grafo1602.72.txt,,,,,,26.3466,,,,,,,194297208000,9,,1187
grafo1603.92.txt,,,,,,13.1953,,,,,,,34173822858,9,,925
grafo1612.56.txt,,,,,,4.1081,,,,,,,77400,5,,477
grafo1613.27.txt,,,,,,13.7170,,,,,,,1300446201600,10,,1006
grafo1619.94.txt,,,,,,7.6525,,,,,,,7930519278,7,,994
grafo1624.15.txt,,,,,,12.0998,,,,,,,6042680,6,,709
grafo1625.71.txt,,,,,,7.6020,,,,,,,15755152,6,,678
grafo1626.15.txt,,,,,,41.8513,,,,,,,175123876957596,8,,1461
grafo1627.37.txt,,,,,,13.2127,,,,,,,2287733760,6,,964
grafo1628.93.txt,,,,,,18.2768,,,,,,,277971386522400,8,,1289
grafo1630.14.txt,,,,,,9.8471,,,,,,,1221322080,9,,779
grafo1631.66.txt,,,,,,9.6591,,,,,,,513072960,9,,686
grafo1635.100.txt,,,,,,7.5457,,,,,,,35363753040,8,,1013
grafo1644.67.txt,,,,,,8.0681,,,,,,,42600600,8,,632
grafo1645.78.txt,,,,,,20.9836,,,,,,,95835430416,6,,1037
grafo1648.100.txt,,,,,,7.6490,,,,,,,938895,4,,575
grafo1655.32.txt,,,,,,3.9245,,,,,,,22542,5,,366
grafo1657.22.txt,,,,,,9.5195,,,,,,,967835544,8,,755
grafo166.10.txt,,,,,,12.7245,,,,,,,869421420,7,,859
grafo1662.43.txt,,,,,,5.8176,,,,,,,120941436,8,,599
grafo1675.96.txt,,,,,,1.7413,,,,,,,3074,5,,256
grafo1679.85.txt,,,,,,12.6716,,,,,,,1358064,4,,625
grafo1682.90.txt,,,,,,7.0089,,,,,,,966269304,9,,738
grafo1684.38.txt,,,,,,14.7526,,,,,,,734856300885,10,,1075
grafo1688.46.txt,,,,,,8.9967,,,,,,,7790781852,10,,791
grafo1691.57.txt,,,,,,6.6424,,,,,,,149100,7,,329
grafo1692.85.txt,,,,,,9.4153,,,,,,,13274827200,10,,777
