Instance,#cols,#rows,DLX,DXZ,D3X,DXD_S,DXD_M,IDXD_S,IDXD_M,MDLX,sharpSAT-TD,ExactMC,Solutions,Max Blocks
Darkstrand.txt,,,,,,0.0074,,,,,,,17280,25
Dataxchange.txt,,,,,,0.0069,,,,,,,9144576,20
Deltacom.txt,,,,,,0.0065,,,,,,,544320,19
DeutscheTelekom.txt,,,,,,0.0079,,,,,,,3870720,18
Dfn.txt,,,,,,0.0079,,,,,,,5248800,19
DialtelecomCz.txt,,,,,,0.0073,,,,,,,622080,22
Digex.txt,,,,,,0.0086,,,,,,,31933440,24
Easynet.txt,,,,,,0.0099,,,,,,,72576000,17
Eenet.txt,,,,,,0.0071,,,,,,,1354752,24
EliBackbone.txt,,,,,,0.0082,,,,,,,3096576,20
Epoch.txt,,,,,,0.0072,,,,,,,331776,19
Ernet.txt,,,,,,0.0092,,,,,,,51978240,17
Esnet.txt,,,,,,0.0097,,,,,,,645120,18
Eunetworks.txt,,,,,,0.0088,,,,,,,93312,23
Evolink.txt,,,,,,0.0077,,,,,,,8467200,17
Fatman.txt,,,,,,0.0085,,,,,,,232243200,19
Fccn.txt,,,,,,0.0082,,,,,,,17418240,22
Forthnet.txt,,,,,,0.0091,,,,,,,36495360,17
Funet.txt,,,,,,0.0088,,,,,,,5971968,19
Gambia.txt,,,,,,0.0076,,,,,,,17280000,25
Garr199901.txt,,,,,,0.0106,,,,,,,29030400,21
Garr199904.txt,,,,,,0.0089,,,,,,,1622016,21
Garr199905.txt,,,,,,0.0075,,,,,,,165888,18
Garr200109.txt,,,,,,0.0082,,,,,,,139968000,18
Garr200112.txt,,,,,,0.0089,,,,,,,8294400,20
Garr200212.txt,,,,,,0.0105,,,,,,,65536000,25
Garr200404.txt,,,,,,0.0081,,,,,,,1404000,19
Garr200902.txt,,,,,,0.0094,,,,,,,1839366144,19
Garr200908.txt,,,,,,0.0074,,,,,,,46080,22
Garr200909.txt,,,,,,0.0100,,,,,,,33251917824,15
