Instance,#cols,#rows,DLX,DXZ,D3X,DXD_S,DXD_M,IDXD_S,IDXD_M,MDLX,sharpSAT-TD,ExactMC,Solutions,Max Blocks,|ZDD|,|DNNF|
AsnetAm.txt,,,,2.6553,,,,,,,,,1.871863e+111,,4848,
Belnet2004.txt,,,,0.0009,,,,,,,,,32,,64,
BtLatinAmerica.txt,,,,0.0004,,,,,,,,,4,,26,
BtNorthAmerica.txt,,,,2.4817,,,,,,,,,8.334664e+107,,4804,
Cesnet200304.txt,,,,0.0005,,,,,,,,,112,,70,
Cesnet200706.txt,,,,0.0003,,,,,,,,,7,,36,
Cesnet201006.txt,,,,66.5702,,,,,,,,,1.147732e+50,,2886,
Colt.txt,,,,30.0191,,,,,,,,,4.892239e+50,,2914,
Columbus.txt,,,,1.0921,,,,,,,,,7.056544e+101,,4910,
Cudi.txt,,,,0.0011,,,,,,,,,7,,52,
Cwix.txt,,,,0.0003,,,,,,,,,4,,28,
DeutscheTelekom.txt,,,,7.4216,,,,,,,,,4.962214e+26,,1414,
Dfn.txt,,,,2.6534,,,,,,,,,7.460919e+107,,5114,
DialtelecomCz.txt,,,,16.5168,,,,,,,,,7.733590e+35,,2208,
Digex.txt,,,,0.0028,,,,,,,,,18,,74,
Esnet.txt,,,,1.4345,,,,,,,,,1.143503e+97,,4728,
Evolink.txt,,,,0.0004,,,,,,,,,20,,62,
Forthnet.txt,,,,3.5047,,,,,,,,,1.557742e+33,,1782,
Garr200902.txt,,,,2.5778,,,,,,,,,2.436049e+125,,5856,
Garr200908.txt,,,,0.6397,,,,,,,,,1.988516e+99,,4244,
Garr200909.txt,,,,22.5523,,,,,,,,,1.339364e+29,,1714,
Garr201001.txt,,,,12.4195,,,,,,,,,8.261816e+123,,5304,
Garr201005.txt,,,,1.0750,,,,,,,,,2.082855e+102,,4688,
Garr201007.txt,,,,3.0108,,,,,,,,,1.506478e+122,,5588,
Garr201008.txt,,,,3.3663,,,,,,,,,1.600743e+115,,5374,
Garr201010.txt,,,,2.1375,,,,,,,,,3.509272e+115,,5312,
Garr201102.txt,,,,1.8147,,,,,,,,,2.840955e+102,,4680,
Garr201104.txt,,,,3.4279,,,,,,,,,4.320560e+109,,4958,
Garr201105.txt,,,,1.8699,,,,,,,,,2.237675e+112,,5166,
Garr201108.txt,,,,3.4030,,,,,,,,,9.750020e+112,,5060,
Garr201109.txt,,,,2.9358,,,,,,,,,8.832239e+117,,5608,
Garr201110.txt,,,,1.6406,,,,,,,,,3.550412e+106,,4662,
Garr201201.txt,,,,2.3119,,,,,,,,,2.107478e+106,,5070,
Geant2001.txt,,,,0.0002,,,,,,,,,15,,32,
Geant2009.txt,,,,0.0012,,,,,,,,,70,,62,
Geant2010.txt,,,,0.0010,,,,,,,,,24,,48,
Geant2012.txt,,,,13.0281,,,,,,,,,5.009544e+36,,2018,
Highwinds.txt,,,,0.0003,,,,,,,,,2,,22,
Iij.txt,,,,1.6550,,,,,,,,,1.129601e+116,,5046,
Iinet.txt,,,,0.0002,,,,,,,,,9,,38,
Internetmci.txt,,,,0.0004,,,,,,,,,9,,46,
Interoute.txt,,,,17.1035,,,,,,,,,7.693206e+40,,2294,
Intranetwork.txt,,,,0.0011,,,,,,,,,4,,32,
Iris.txt,,,,26.8732,,,,,,,,,4.323666e+52,,2784,
Janetbackbone.txt,,,,0.0005,,,,,,,,,3,,22,
Latnet.txt,,,,2.8794,,,,,,,,,2.993661e+120,,5596,
Missouri.txt,,,,1.5199,,,,,,,,,3.486530e+110,,4864,
Myren.txt,,,,0.0007,,,,,,,,,10,,44,
Niif.txt,,,,0.0002,,,,,,,,,4,,26,
Ntelos.txt,,,,1.9775,,,,,,,,,3.378507e+21,,1234,
Palmetto.txt,,,,62.7299,,,,,,,,,3.675663e+113,,5030,
