Instance,#cols,#rows,DLX,DXZ,D3X,DXD_S,DXD_M,IDXD_S,IDXD_M,MDLX
Darkstrand.txt,,,,0.0363,,,,,,
Dataxchange.txt,,,,0.0403,,,,,,
Deltacom.txt,,,,0.0328,,,,,,
DeutscheTelekom.txt,,,,0.0476,,,,,,
Dfn.txt,,,,0.0478,,,,,,
DialtelecomCz.txt,,,,0.0469,,,,,,
Digex.txt,,,,0.0603,,,,,,
Easynet.txt,,,,0.0627,,,,,,
Eenet.txt,,,,0.0420,,,,,,
EliBackbone.txt,,,,0.0442,,,,,,
Epoch.txt,,,,0.0380,,,,,,
Ernet.txt,,,,0.0590,,,,,,
Esnet.txt,,,,0.0580,,,,,,
Eunetworks.txt,,,,0.0487,,,,,,
Evolink.txt,,,,0.0665,,,,,,
Fatman.txt,,,,0.0474,,,,,,
Fccn.txt,,,,0.0427,,,,,,
Forthnet.txt,,,,0.0565,,,,,,
Funet.txt,,,,0.0434,,,,,,
Gambia.txt,,,,0.0584,,,,,,
Garr199901.txt,,,,0.0489,,,,,,
Garr199904.txt,,,,0.0727,,,,,,
Garr199905.txt,,,,0.0654,,,,,,
Garr200109.txt,,,,0.0679,,,,,,
Garr200112.txt,,,,0.1496,,,,,,
Garr200212.txt,,,,0.0658,,,,,,
Garr200404.txt,,,,0.0660,,,,,,
Garr200902.txt,,,,0.0608,,,,,,
Garr200908.txt,,,,0.0484,,,,,,
Garr200909.txt,,,,0.0690,,,,,,
