Instance,#cols,#rows,DLX,DXZ,D3X,DXD_S,DXD_M,IDXD_S,IDXD_M,MDLX,sharpSAT-TD,ExactMC,Solutions,Max Blocks
Pacificwave.txt,,,,0.0171,,,,,,,,,17280,
Packetexchange.txt,,,,0.0179,,,,,,,,,22400,
Padi.txt,,,,0.0137,,,,,,,,,44928,
Palmetto.txt,,,,0.0188,,,,,,,,,52416,
Peer1.txt,,,,0.0167,,,,,,,,,24192,
Pern.txt,,,,0.0194,,,,,,,,,786240,
PionierL1.txt,,,,0.0156,,,,,,,,,132000,
PionierL3.txt,,,,0.0304,,,,,,,,,32256,
Psinet.txt,,,,0.0261,,,,,,,,,82944,
grafo8039.65.txt,,,,0.0282,,,,,,,,,25920,
grafo8186.90.txt,,,,0.0185,,,,,,,,,62400,
grafo8187.70.txt,,,,0.0170,,,,,,,,,14515200,
grafo8188.62.txt,,,,0.0189,,,,,,,,,4800,
grafo8189.85.txt,,,,0.0157,,,,,,,,,2592,
grafo8190.73.txt,,,,0.0235,,,,,,,,,5832,
grafo8222.84.txt,,,,0.0346,,,,,,,,,15724800,
grafo8223.99.txt,,,,0.0171,,,,,,,,,61440,
grafo8224.100.txt,,,,0.0292,,,,,,,,,38400,
grafo8225.88.txt,,,,0.0189,,,,,,,,,7296,
grafo8226.90.txt,,,,0.0162,,,,,,,,,48384,
grid_3x3.txt,,,,0.0316,,,,,,,,,10108800,
grid_4x4.txt,,,,0.0148,,,,,,,,,3000,
