Instance,#cols,#rows,DLX,DXZ,D3X,DXD_S,DXD_M,IDXD_S,IDXD_M,MDLX,sharpSAT-TD,ExactMC,Solutions,Max Blocks,|ZDD|,|DNNF|
Aarnet.txt,,,,,,,,,4.8040,,,,53067357700,8,,37626
Abilene.txt,,,,,,,,,0.3749,,,,921600,10,,251
Abvt.txt,,,,,,,,,0.1770,,,,39600000,12,,447
Aconet.txt,,,,,,,,,5.0046,,,,4613900,4,,22499
Agis.txt,,,,,,,,,0.5159,,,,701220,9,,337
Ai3.txt,,,,,,,,,0.7916,,,,543750,8,,322
Airtel.txt,,,,,,,,,0.2246,,,,1903000000,16,,363
Amres.txt,,,,,,,,,0.4183,,,,3064320,10,,307
Ans.txt,,,,,,,,,1.1624,,,,17550,6,,246
Arn.txt,,,,,,,,,0.2350,,,,4368000,13,,222
Arnes.txt,,,,,,,,,0.2161,,,,192000000,16,,267
Arpanet19723.txt,,,,,,,,,0.4780,,,,983040,11,,245
AsnetAm.txt,,,,,,,,,10.8952,,,,1.871354e+111,20,,540917
AttMpls.txt,,,,,,,,,0.2762,,,,242715000,12,,948
Azrena.txt,,,,,,,,,0.1700,,,,1000000,12,,194
Bandcon.txt,,,,,,,,,0.1737,,,,44400000,14,,298
Basnet.txt,,,,,,,,,1.2446,,,,2632500,8,,458
Bbnplanet.txt,,,,,,,,,0.9297,,,,1650,4,,229
Bellcanada.txt,,,,,,,,,0.5666,,,,775,5,,170
Bellsouth.txt,,,,,,,,,0.2382,,,,1188000000,16,,306
Belnet2003.txt,,,,,,,,,0.2297,,,,624850120000,14,,1078
Belnet2004.txt,,,,,,,,,0.0457,,,,32,6,,34
Belnet2005.txt,,,,,,,,,1.5266,,,,96656,5,,2995
Belnet2006.txt,,,,,,,,,3.6494,,,,9535000,6,,17990
Belnet2007.txt,,,,,,,,,0.7322,,,,702,5,,165
Belnet2010.txt,,,,,,,,,0.2907,,,,22360800,14,,237
BeyondTheNetwork.txt,,,,,,,,,0.5775,,,,650,4,,149
Bics.txt,,,,,,,,,0.2304,,,,198000000,15,,286
Biznet.txt,,,,,,,,,0.4991,,,,921600,11,,234
Bren.txt,,,,,,,,,0.8884,,,,422500,8,,300
BsonetEurope.txt,,,,,,,,,0.2992,,,,3080000,13,,232
