ExactMC模型计数实验结果
实例名,运行时间(秒),模型数
Aarnet,206.421,53067357700
Abilene,6.02346,921600
Abvt,2.11454,39600000
Aconet,89.6894,4613800
Agis,10.3118,701220
Ai3,11.6439,543750
Airtel,6.4344,1903000000
Amres,6.97172,3064320
Ans,9.24435,17550
Arn,2.36021,4368000
Arnes,4.76398,192000000
Arpanet19723,10.0397,983040
AttMpls,4.00815,242715000
Azrena,3.08163,1000000
Bandcon,3.15884,44400000
Basnet,17.228,2632500
Bbnplanet,4.88788,1650
Bellcanada,5.70395,775
Bellsouth,4.3772,1188000000
Belnet2003,4.93901,624850120000
Belnet2005,20.0436,96656
Belnet2006,38.1961,9535000
Belnet2007,6.01327,702
Belnet2010,3.49638,22360800
BeyondTheNetwork,6.26592,650
Bics,3.7347,198000000
Biznet,6.78675,921600
Bren,15.179,422500
BsonetEurope,2.34928,3080000
BtAsiaPac,7.61027,17233920
BtEurope,73.8027,2209305
Canerie,10.7254,15625
Carnet,27.528,21735000
Cernet,17.2815,421875
Cesnet1993,17.1805,1056600
Cesnet1997,4.82786,110000000
Cesnet1999,216.061,183517875
Cesnet200511,8.72349,12794880
Cesnet200603,5.37358,604800000
Chinanet,4.7165,211200000
Cogentco,9.01493,17879040
CrlNetworkServices,7.54603,8451840
Cynet,3.49157,202800000
Deltacom,13.7064,296383950
Eenet,4.61168,144000000
EliBackbone,15.2243,2320000
Epoch,8.53809,15625
Eunetworks,11.7174,4116875
Fatman,6.17366,1094400
Fccn,7.82173,1600
Garr200109,30.4466,1703765000
Garr200112,3.08446,7381000
Garr200212,61.2941,80905591800
Garr200404,4.90018,10000000
Garr200912,4.32317,17303000
Garr201003,3.90399,12100000
Garr201004,8.08562,625
Garr201012,10.6324,783
Garr201101,4.21394,10000000
Garr201103,9.48744,1440000
Garr201107,7.17581,1749600
Garr201111,144.72,132420625
Garr201112,84.6577,3346460
Gblnet,5.97539,625
Getnet,26.8196,3625000
Globalcenter,14.8773,431926
Globenet,9.8743,22400
grafo120.40,11.8365,3286
grafo121.20,3.37589,13000000
grafo124.28,502.397,33926375
grafo125.32,2.62563,1320000
grafo126.22,5.58142,689700000
grafo127.21,21.6407,6482025
grafo128.35,6.50995,2995200
grafo142.33,5.28377,211200000
grafo143.29,6.64415,1152
grafo144.12,3.19056,284544000
grafo150.31,29.0073,1397687500
grafo159.24,9.067,16900
grafo161.31,17.0147,75600
grafo162.24,3.08644,89812800
grafo166.10,4.75493,20000000
grafo167.22,6.83483,1566720
