Instance,#cols,#rows,DLX,DXZ,D3X,DXD_S,DXD_M,IDXD_S,IDXD_M,MDLX,sharpSAT-TD,ExactMC,Solutions,Max Blocks,|ZDD|,|DNNF|
grafo1000.47.txt,,,,,,,,,0.4356,,,,1497704256,10,,575
grafo10000.67.txt,,,,,,,,,0.1703,,,,15625,6,,230
grafo1016.59.txt,,,,,,,,,0.3319,,,,438750,9,,315
grafo1019.93.txt,,,,,,,,,0.6411,,,,660100,7,,464
grafo1020.65.txt,,,,,,,,,0.2783,,,,561875,9,,327
grafo1022.27.txt,,,,,,,,,3.7826,,,,11268864420840,4,,1283
grafo1024.93.txt,,,,,,,,,0.2134,,,,775,5,,158
grafo1031.94.txt,,,,,,,,,0.1181,,,,728,4,,154
grafo1032.98.txt,,,,,,,,,0.1514,,,,975,4,,167
grafo1036.44.txt,,,,,,,,,0.4568,,,,20481250,9,,522
grafo1039.45.txt,,,,,,,,,1.2161,,,,4942100,4,,634
grafo1049.58.txt,,,,,,,,,0.6927,,,,21912800,6,,565
grafo1052.100.txt,,,,,,,,,0.2739,,,,18200,7,,243
grafo1058.39.txt,,,,,,,,,0.1390,,,,3360,5,,258
grafo106.40.txt,,,,,,,,,0.2518,,,,31958,7,,270
grafo1060.70.txt,,,,,,,,,0.2361,,,,16250,7,,234
grafo1061.96.txt,,,,,,,,,0.2320,,,,390625,8,,306
grafo1064.74.txt,,,,,,,,,0.2611,,,,756,5,,159
grafo1068.79.txt,,,,,,,,,0.1748,,,,406250,8,,310
grafo1071.70.txt,,,,,,,,,0.1626,,,,15625,6,,236
grafo1073.12.txt,,,,,,,,,0.2612,,,,407000,7,,436
grafo1077.66.txt,,,,,,,,,0.2766,,,,23125,6,,234
grafo1082.84.txt,,,,,,,,,0.3651,,,,15031250,10,,378
grafo1086.84.txt,,,,,,,,,1.0578,,,,72227700000,10,,800
grafo109.84.txt,,,,,,,,,0.7012,,,,53136750,6,,659
grafo1092.40.txt,,,,,,,,,0.1423,,,,754,5,,159
grafo1093.22.txt,,,,,,,,,0.2271,,,,675,5,,161
grafo1096.67.txt,,,,,,,,,1.3062,,,,48225600000,8,,911
grafo1098.82.txt,,,,,,,,,0.0927,,,,702,4,,163
grafo1103.70.txt,,,,,,,,,0.1938,,,,19375,7,,243
grafo1113.83.txt,,,,,,,,,0.2243,,,,16250,6,,232
grafo1117.38.txt,,,,,,,,,0.2148,,,,806,4,,163
grafo1120.53.txt,,,,,,,,,0.2382,,,,105850,7,,318
grafo1125.57.txt,,,,,,,,,0.2861,,,,2096250,8,,386
grafo1126.98.txt,,,,,,,,,1.2128,,,,64749808500,9,,903
grafo1129.38.txt,,,,,,,,,0.3575,,,,10920000,10,,370
grafo1133.37.txt,,,,,,,,,0.3276,,,,421875,9,,322
grafo1135.68.txt,,,,,,,,,0.1599,,,,1050,5,,172
grafo1140.100.txt,,,,,,,,,0.2406,,,,650,5,,149
grafo1141.27.txt,,,,,,,,,0.1736,,,,750,4,,165
