Instance,#cols,#rows,DLX,DXZ,D3X,DXD_S,DXD_M,IDXD_S,IDXD_M,MDLX,sharpSAT-TD,ExactMC,Solutions,Max Blocks,|ZDD|,|DNNF|
Aarnet.txt,,,,,,,,,0.9633,,,,53067357700,8,,861
Abilene.txt,,,,,,,,,0.0965,,,,921600,10,,251
Abvt.txt,,,,,,,,,0.0587,,,,39600000,12,,246
Aconet.txt,,,,,,,,,0.9986,,,,4613900,4,,629
Agis.txt,,,,,,,,,0.1371,,,,701220,9,,336
Ai3.txt,,,,,,,,,0.1910,,,,543750,8,,318
Airtel.txt,,,,,,,,,0.0919,,,,1903000000,16,,304
Amres.txt,,,,,,,,,0.1247,,,,3064320,10,,284
Ans.txt,,,,,,,,,0.2503,,,,17550,6,,243
Arn.txt,,,,,,,,,0.0753,,,,4368000,13,,220
Arnes.txt,,,,,,,,,0.0777,,,,192000000,16,,267
Arpanet19723.txt,,,,,,,,,0.1425,,,,983040,11,,245
AttMpls.txt,,,,,,,,,0.0845,,,,242715000,12,,324
Azrena.txt,,,,,,,,,0.0691,,,,1000000,12,,194
Bandcon.txt,,,,,,,,,0.0639,,,,44400000,14,,281
Basnet.txt,,,,,,,,,0.2750,,,,2632500,8,,371
Bbnplanet.txt,,,,,,,,,0.1949,,,,1650,4,,197
Bellcanada.txt,,,,,,,,,0.1310,,,,775,5,,167
Bellsouth.txt,,,,,,,,,0.0914,,,,1188000000,16,,296
Belnet2003.txt,,,,,,,,,0.0718,,,,624850120000,14,,454
Belnet2005.txt,,,,,,,,,0.3123,,,,96656,5,,440
Belnet2006.txt,,,,,,,,,0.7574,,,,9535000,6,,533
Belnet2007.txt,,,,,,,,,0.1648,,,,702,5,,165
Belnet2010.txt,,,,,,,,,0.0772,,,,22360800,14,,237
BeyondTheNetwork.txt,,,,,,,,,0.1306,,,,650,4,,149
Bics.txt,,,,,,,,,0.0686,,,,198000000,15,,262
Biznet.txt,,,,,,,,,0.1261,,,,921600,11,,234
Bren.txt,,,,,,,,,0.2202,,,,422500,8,,300
BsonetEurope.txt,,,,,,,,,0.0760,,,,3080000,13,,217
BtAsiaPac.txt,,,,,,,,,0.1195,,,,17233920,11,,340
BtEurope.txt,,,,,,,,,0.6218,,,,2209305,4,,579
Canerie.txt,,,,,,,,,0.2424,,,,15625,7,,224
Carnet.txt,,,,,,,,,0.2907,,,,21735000,8,,521
Cernet.txt,,,,,,,,,0.2586,,,,421875,9,,311
Cesnet1993.txt,,,,,,,,,0.3888,,,,1056600,7,,451
Cesnet1997.txt,,,,,,,,,0.0984,,,,110000000,16,,234
Cesnet1999.txt,,,,,,,,,1.4061,,,,183517875,7,,712
Cesnet200511.txt,,,,,,,,,0.1334,,,,12794880,11,,339
Cesnet200603.txt,,,,,,,,,0.0891,,,,604800000,16,,319
Chinanet.txt,,,,,,,,,0.0763,,,,211200000,16,,246
