Instance,#cols,#rows,DLX,DXZ,D3X,DXD_S,DXD_M,IDXD_S,IDXD_M,MDLX,sharpSAT-TD,ExactMC,Solutions,Max Blocks
Pacificwave.txt,,,,,,,,,0.0051,,,,17280,14
Packetexchange.txt,,,,,,,,,0.0046,,,,22400,11
Padi.txt,,,,,,,,,0.0060,,,,44928,14
Palmetto.txt,,,,,,,,,0.0049,,,,52416,12
Peer1.txt,,,,,,,,,0.0047,,,,24192,11
Pern.txt,,,,,,,,,0.0060,,,,786240,15
PionierL1.txt,,,,,,,,,0.0051,,,,132000,11
PionierL3.txt,,,,,,,,,0.0056,,,,32256,11
Psinet.txt,,,,,,,,,0.0044,,,,82944,13
grafo8039.65.txt,,,,,,,,,0.0050,,,,25920,14
grafo8186.90.txt,,,,,,,,,0.0043,,,,62400,17
grafo8187.70.txt,,,,,,,,,0.0059,,,,14515200,11
grafo8188.62.txt,,,,,,,,,0.0047,,,,4800,14
grafo8189.85.txt,,,,,,,,,0.0047,,,,2592,15
grafo8190.73.txt,,,,,,,,,0.0045,,,,5832,24
grafo8222.84.txt,,,,,,,,,0.0053,,,,15724800,12
grafo8223.99.txt,,,,,,,,,0.0051,,,,61440,17
grafo8224.100.txt,,,,,,,,,0.0048,,,,38400,15
grafo8225.88.txt,,,,,,,,,0.0047,,,,7296,11
grafo8226.90.txt,,,,,,,,,0.0054,,,,48384,13
grid_3x3.txt,,,,,,,,,0.0054,,,,10108800,18
grid_4x4.txt,,,,,,,,,0.0045,,,,3000,15
