Instance,#cols,#rows,DLX,DXZ,D3X,DXD_S,DXD_M,IDXD_S,IDXD_M,MDLX,sharpSAT-TD,ExactMC,Solutions,Max Blocks,|ZDD|,|DNNF|
Aarnet.txt,,,,,,,,12.5106,,,,,715926758251680,8,,1430
Abilene.txt,,,,,,,,0.6517,,,,,92063400,10,,448
Abvt.txt,,,,,,,,0.3665,,,,,1490924373120,12,,513
Aconet.txt,,,,,,,,5.5513,,,,,48610438,5,,797
Agis.txt,,,,,,,,1.2698,,,,,3098099832,9,,881
Ai3.txt,,,,,,,,0.9185,,,,,889510040,8,,759
Airtel.txt,,,,,,,,0.5300,,,,,22976753239440,16,,507
Amres.txt,,,,,,,,0.7473,,,,,3342669120,10,,542
Ans.txt,,,,,,,,1.7302,,,,,107318925,6,,786
Arn.txt,,,,,,,,0.4857,,,,,438575993856,13,,540
Arnes.txt,,,,,,,,0.3593,,,,,7035421536000,16,,477
Arpanet19723.txt,,,,,,,,0.5981,,,,,126242688,11,,383
AttMpls.txt,,,,,,,,0.5527,,,,,147836471640,12,,508
Azrena.txt,,,,,,,,0.3064,,,,,90810720,12,,278
Bandcon.txt,,,,,,,,0.3652,,,,,15106653000,14,,458
Basnet.txt,,,,,,,,2.6404,,,,,33488119236,8,,974
Bbnplanet.txt,,,,,,,,1.7415,,,,,11352492,6,,741
Bellcanada.txt,,,,,,,,0.7087,,,,,66368,5,,438
Bellsouth.txt,,,,,,,,0.6521,,,,,523231311854160,16,,641
Belnet2003.txt,,,,,,,,0.5271,,,,,4224889686420480,14,,676
Belnet2005.txt,,,,,,,,2.8082,,,,,9301946,6,,729
Belnet2006.txt,,,,,,,,5.8233,,,,,248311140,6,,732
Belnet2007.txt,,,,,,,,0.4544,,,,,6390,5,,273
Belnet2010.txt,,,,,,,,0.4071,,,,,2305424249856,14,,510
BeyondTheNetwork.txt,,,,,,,,0.3660,,,,,5840,4,,254
Bics.txt,,,,,,,,0.3351,,,,,7190830719072,15,,476
Biznet.txt,,,,,,,,0.5872,,,,,94080000,11,,391
Bren.txt,,,,,,,,1.0768,,,,,23992983,8,,561
BsonetEurope.txt,,,,,,,,0.4364,,,,,8170016400,13,,461
BtAsiaPac.txt,,,,,,,,0.8911,,,,,2262013200,11,,556
BtEurope.txt,,,,,,,,4.2054,,,,,259281742,6,,996
Canerie.txt,,,,,,,,1.0032,,,,,1406790,7,,496
Carnet.txt,,,,,,,,2.4782,,,,,8315380080,8,,872
Cernet.txt,,,,,,,,1.0509,,,,,15824952,9,,517
Cesnet1993.txt,,,,,,,,3.2088,,,,,1752860340,7,,951
Cesnet1997.txt,,,,,,,,0.4316,,,,,14144919360,16,,332
Cesnet1999.txt,,,,,,,,11.3267,,,,,399480161072,7,,1197
Cesnet200511.txt,,,,,,,,1.0251,,,,,200196622080,11,,758
Cesnet200603.txt,,,,,,,,0.5686,,,,,3537462537200,16,,519
Chinanet.txt,,,,,,,,0.3659,,,,,7084900105920,16,,438
Cogentco.txt,,,,,,,,0.8849,,,,,8704631936,11,,620
CrlNetworkServices.txt,,,,,,,,1.4392,,,,,364060666368,11,,870
Cynet.txt,,,,,,,,0.3751,,,,,409503276000,16,,412
Deltacom.txt,,,,,,,,1.1377,,,,,56101734000,11,,677
Eenet.txt,,,,,,,,0.4718,,,,,10353002121000,16,,537
EliBackbone.txt,,,,,,,,2.6562,,,,,19670915220,9,,927
Epoch.txt,,,,,,,,0.6822,,,,,4566920,6,,535
Eunetworks.txt,,,,,,,,1.4625,,,,,758834510,7,,729
Fatman.txt,,,,,,,,0.5854,,,,,1449283584,11,,507
Fccn.txt,,,,,,,,1.8370,,,,,286396,4,,545
Garr200109.txt,,,,,,,,2.3320,,,,,160352428275,9,,934
Garr200112.txt,,,,,,,,0.4192,,,,,143056073160,12,,441
Garr200212.txt,,,,,,,,6.4487,,,,,54270161836800,9,,1342
Garr200404.txt,,,,,,,,0.3926,,,,,6899256000,14,,362
Garr200912.txt,,,,,,,,0.4596,,,,,11466982800,15,,394
Garr201003.txt,,,,,,,,0.3682,,,,,2096827600,14,,337
Garr201004.txt,,,,,,,,0.8544,,,,,47520,4,,508
Garr201012.txt,,,,,,,,1.3130,,,,,121673,4,,529
Garr201101.txt,,,,,,,,0.3955,,,,,3826468800,15,,350
Garr201103.txt,,,,,,,,0.6118,,,,,1090510560,11,,468
Garr201107.txt,,,,,,,,0.4752,,,,,368352544,10,,436
Garr201111.txt,,,,,,,,6.7864,,,,,1634696700,7,,874
Garr201112.txt,,,,,,,,3.2463,,,,,76373590,5,,872
Gblnet.txt,,,,,,,,0.4643,,,,,5778,5,,275
Getnet.txt,,,,,,,,3.6625,,,,,16357985280,8,,998
Globalcenter.txt,,,,,,,,1.9571,,,,,14280903,4,,669
Globenet.txt,,,,,,,,1.0467,,,,,97909408,6,,655
Grena.txt,,,,,,,,1.7277,,,,,15793958320,8,,794
Gridnet.txt,,,,,,,,0.4296,,,,,1672,5,,210
Grnet.txt,,,,,,,,0.7496,,,,,3501959741280,15,,551
GtsCe.txt,,,,,,,,1.1907,,,,,98160,5,,520
GtsCzechRepublic.txt,,,,,,,,0.5911,,,,,127081500,11,,394
GtsHungary.txt,,,,,,,,1.0549,,,,,147630758352,11,,783
GtsPoland.txt,,,,,,,,0.3046,,,,,11263309200,15,,340
GtsSlovakia.txt,,,,,,,,0.8942,,,,,94930,5,,489
Harnet.txt,,,,,,,,1.4791,,,,,979533,5,,556
Heanet.txt,,,,,,,,3.9650,,,,,37353532710,7,,1132
HiberniaCanada.txt,,,,,,,,0.3033,,,,,34877232000,12,,456
HiberniaGlobal.txt,,,,,,,,0.5967,,,,,29076173626500,12,,611
HurricaneElectric.txt,,,,,,,,0.4897,,,,,2252001752,15,,334
Ibm.txt,,,,,,,,0.4515,,,,,1049680159920,16,,460
Ilan.txt,,,,,,,,0.8063,,,,,292278666240,10,,737
Integra.txt,,,,,,,,1.0611,,,,,258744687,9,,674
Intellifiber.txt,,,,,,,,1.2475,,,,,25111395,6,,663
Internode.txt,,,,,,,,0.3696,,,,,198322828704,16,,389
Ion.txt,,,,,,,,0.6403,,,,,9552303487076064,14,,813
IowaStatewideFiberMap.txt,,,,,,,,0.3685,,,,,696725744,12,,319
Janetlense.txt,,,,,,,,0.6258,,,,,400283904,11,,446
Kdl.txt,,,,,,,,1.2212,,,,,472350,5,,592
KentmanApr2007.txt,,,,,,,,10.4660,,,,,6684617942,5,,763
KentmanAug2005.txt,,,,,,,,0.6687,,,,,57886,4,,420
KentmanJan2011.txt,,,,,,,,0.8357,,,,,511548526944,11,,718
Kreonet.txt,,,,,,,,0.4669,,,,,94262897574144,16,,585
LambdaNet.txt,,,,,,,,19.6755,,,,,2846620175616,6,,1095
Layer42.txt,,,,,,,,0.6472,,,,,4239910896,11,,522
Litnet.txt,,,,,,,,0.4686,,,,,21836267712,14,,376
Marwan.txt,,,,,,,,0.9887,,,,,2550240,6,,565
Mren.txt,,,,,,,,0.6164,,,,,682562650,11,,511
NetworkUsa.txt,,,,,,,,0.4420,,,,,2451339264000,16,,477
Nordu1997.txt,,,,,,,,0.4073,,,,,281917440000,16,,422
Nsfnet.txt,,,,,,,,0.5696,,,,,2796943566690,14,,604
Ntt.txt,,,,,,,,1.3601,,,,,14676120,6,,671
Oteglobe.txt,,,,,,,,0.3225,,,,,1164124710,13,,347
Oxford.txt,,,,,,,,0.8252,,,,,4198392,6,,509
Quest.txt,,,,,,,,1.5093,,,,,101883054,7,,620
RedBestel.txt,,,,,,,,0.5460,,,,,4100911360,11,,550
Rediris.txt,,,,,,,,1.1818,,,,,304768803900,10,,781
Renater2001.txt,,,,,,,,0.5880,,,,,2260440000,10,,559
Restena.txt,,,,,,,,3.4256,,,,,4669086672,6,,842
Reuna.txt,,,,,,,,1.7348,,,,,1538028000,9,,866
RoedunetFibre.txt,,,,,,,,0.7832,,,,,358878,6,,387
Sago.txt,,,,,,,,1.2129,,,,,6856704,6,,629
