Instance,#cols,#rows,DLX,DXZ,D3X,DXD_S,DXD_M,IDXD_S,IDXD_M,MDLX,sharpSAT-TD,ExactMC,Solutions,Max Blocks
Pacificwave.txt,,,,,,,,0.0019,,,,,17280,14
Packetexchange.txt,,,,,,,,0.0019,,,,,22400,11
Padi.txt,,,,,,,,0.0017,,,,,44928,14
Palmetto.txt,,,,,,,,0.0017,,,,,52416,12
Peer1.txt,,,,,,,,0.0020,,,,,24192,11
Pern.txt,,,,,,,,0.0023,,,,,786240,15
PionierL1.txt,,,,,,,,0.0018,,,,,132000,11
PionierL3.txt,,,,,,,,0.0021,,,,,32256,11
Psinet.txt,,,,,,,,0.0023,,,,,82944,13
grafo8039.65.txt,,,,,,,,0.0026,,,,,25920,14
grafo8186.90.txt,,,,,,,,0.0019,,,,,62400,17
grafo8187.70.txt,,,,,,,,0.0023,,,,,14515200,11
grafo8188.62.txt,,,,,,,,0.0020,,,,,4800,14
grafo8189.85.txt,,,,,,,,0.0019,,,,,2592,15
grafo8190.73.txt,,,,,,,,0.0020,,,,,5832,24
grafo8222.84.txt,,,,,,,,0.0022,,,,,15724800,12
grafo8223.99.txt,,,,,,,,0.0019,,,,,61440,17
grafo8224.100.txt,,,,,,,,0.0021,,,,,38400,15
grafo8225.88.txt,,,,,,,,0.0023,,,,,7296,11
grafo8226.90.txt,,,,,,,,0.0018,,,,,48384,13
grid_3x3.txt,,,,,,,,0.0022,,,,,10108800,18
grid_4x4.txt,,,,,,,,0.0020,,,,,3000,15
