Instance,#cols,#rows,DLX,DXZ,D3X,DXD_S,DXD_M,IDXD_S,IDXD_M,MDLX,sharpSAT-TD,ExactMC,Solutions,Max Blocks,|ZDD|,|DNNF|
Aarnet.txt,,,,,,,,,,18.5906,,,53067357700,8,,
Abilene.txt,,,,,,,,,,0.2680,,,921600,10,,
Abvt.txt,,,,,,,,,,0.1737,,,39600000,12,,
Aconet.txt,,,,,,,,,,14.2336,,,4613800,4,,
Agis.txt,,,,,,,,,,0.4623,,,701220,9,,
Ai3.txt,,,,,,,,,,0.6891,,,543750,8,,
Airtel.txt,,,,,,,,,,0.1982,,,1903000000,16,,
Amres.txt,,,,,,,,,,0.3596,,,3064320,10,,
Ans.txt,,,,,,,,,,1.0807,,,17550,6,,
Arn.txt,,,,,,,,,,0.2474,,,4368000,13,,
Arnes.txt,,,,,,,,,,0.1501,,,192000000,16,,
Arpanet19723.txt,,,,,,,,,,0.3613,,,983040,11,,
AsnetAm.txt,,,,,,,,,,timeout,,,,,,
AttMpls.txt,,,,,,,,,,0.2548,,,242715000,12,,
Azrena.txt,,,,,,,,,,0.1450,,,1000000,12,,
Bandcon.txt,,,,,,,,,,0.1694,,,44400000,14,,
Basnet.txt,,,,,,,,,,1.0890,,,2632500,8,,
Bbnplanet.txt,,,,,,,,,,0.8066,,,1650,4,,
Bellcanada.txt,,,,,,,,,,0.4758,,,775,5,,
Bellsouth.txt,,,,,,,,,,0.2167,,,1188000000,16,,
Belnet2003.txt,,,,,,,,,,0.2107,,,624850120000,14,,
Belnet2004.txt,,,,,,,,,,0.0124,,,32,6,,
Belnet2005.txt,,,,,,,,,,1.6532,,,96656,5,,
Belnet2006.txt,,,,,,,,,,4.3507,,,9535000,6,,
Belnet2007.txt,,,,,,,,,,0.6609,,,702,5,,
Belnet2010.txt,,,,,,,,,,0.2121,,,22360800,14,,
BeyondTheNetwork.txt,,,,,,,,,,0.5060,,,650,4,,
Bics.txt,,,,,,,,,,0.1585,,,198000000,15,,
Biznet.txt,,,,,,,,,,0.3446,,,921600,11,,
Bren.txt,,,,,,,,,,0.7935,,,422500,8,,
BsonetEurope.txt,,,,,,,,,,0.2103,,,3080000,13,,
BtAsiaPac.txt,,,,,,,,,,0.3185,,,17233920,11,,
BtEurope.txt,,,,,,,,,,5.6380,,,2209305,4,,
BtLatinAmerica.txt,,,,,,,,,,0.0081,,,4,8,,
BtNorthAmerica.txt,,,,,,,,,,timeout,,,,,,
