Instance,#cols,#rows,DLX,DXZ,D3X,DXD_S,DXD_M,IDXD_S,IDXD_M,MDLX,sharpSAT-TD,ExactMC,Solutions,Max Blocks
Darkstrand.txt,,,,,,,,,,0.0064,,,17280,25
Dataxchange.txt,,,,,,,,,,0.0062,,,9144576,20
Deltacom.txt,,,,,,,,,,0.0061,,,544320,19
DeutscheTelekom.txt,,,,,,,,,,0.0066,,,3870720,18
Dfn.txt,,,,,,,,,,0.0063,,,5248800,19
DialtelecomCz.txt,,,,,,,,,,0.0060,,,622080,22
Digex.txt,,,,,,,,,,0.0064,,,31933440,24
Easynet.txt,,,,,,,,,,0.0066,,,72576000,17
Eenet.txt,,,,,,,,,,0.0061,,,1354752,24
EliBackbone.txt,,,,,,,,,,0.0065,,,3096576,20
Epoch.txt,,,,,,,,,,0.0062,,,331776,19
Ernet.txt,,,,,,,,,,0.0071,,,51978240,17
Esnet.txt,,,,,,,,,,0.0061,,,645120,18
Eunetworks.txt,,,,,,,,,,0.0071,,,93312,23
Evolink.txt,,,,,,,,,,0.0064,,,8467200,17
Fatman.txt,,,,,,,,,,0.0061,,,232243200,19
Fccn.txt,,,,,,,,,,0.0061,,,17418240,22
Forthnet.txt,,,,,,,,,,0.0065,,,36495360,17
Funet.txt,,,,,,,,,,0.0063,,,5971968,19
Gambia.txt,,,,,,,,,,0.0065,,,17280000,25
Garr199901.txt,,,,,,,,,,0.0068,,,29030400,21
Garr199904.txt,,,,,,,,,,0.0062,,,1622016,21
Garr199905.txt,,,,,,,,,,0.0124,,,165888,18
Garr200109.txt,,,,,,,,,,0.0095,,,139968000,18
Garr200112.txt,,,,,,,,,,0.0062,,,8294400,20
Garr200212.txt,,,,,,,,,,0.0066,,,65536000,25
Garr200404.txt,,,,,,,,,,0.0062,,,1404000,19
Garr200902.txt,,,,,,,,,,0.0070,,,1839366144,19
Garr200908.txt,,,,,,,,,,0.0059,,,46080,22
Garr200909.txt,,,,,,,,,,0.0068,,,33251917824,15
