Instance,#cols,#rows,DLX,DXZ,D3X,DXD_S,DXD_M,IDXD_S,IDXD_M,MDLX,SharpSAT-TD,ExactMC,#sols,#Max_B,zdd_compile(s),cnf_compile(s)
Aarnet,253,2401,,,timeout,,,,,,,,,,0.140724,
Abilene,502,1977,,,,,,,,,,,,,0.282439,
Abvt,512,1543,,,,,,,,,,,,,0.190142,
Aconet,177,1361,,,61.2709,,,,,,,,,,0.065642,
Agis,322,2221,,,,,,,,,,,,,0.170904,
Ai3,432,2191,,,,,,,,,,,,,0.295454,
Airtel,857,2208,,,,,,,,,,,,,0.554343,
Amres,543,1983,,,,,,,,,,,,,0.338792,
Ans,262,1713,,,,,,,,,,,,,0.113837,
Arn,573,1875,,,,,,,,,,,,,0.237181,
Arnes,877,1966,,,,,,,,,,,,,0.517279,
Arpanet19723,651,2229,,,timeout,,,,,,,,,,0.558707,
AttMpls,645,1604,,,,,,,,,,,,,0.300346,
Azrena,612,1491,,,,,,,,,,,,,0.266986,
Bandcon,614,1828,,,timeout,,,,,,,,,,0.24087,
Basnet,416,2565,,,,,,,,,,,,,0.370869,
Bbnplanet,144,1214,,,11.1165,,,,,,,,,,0.03902,
Bellcanada,270,1301,,,5.7311,,,,,,,,,,0.113903,
Bellsouth,780,2287,,,,,,,,,,,,,0.468347,
Belnet2003,655,1791,,,,,,,,,,,,,0.270479,
Belnet2005,170,1289,,,,,,,,,,,,,0.04572,
Belnet2006,278,1737,,,,,,,,,,,,,0.141667,
Belnet2007,334,1249,,,,,,,,,,,,,0.180098,
Belnet2010,711,1828,,,,,,,,,,,,,0.357515,
BeyondTheNetwork,228,1077,,,,,,,,,,,,,0.105291,
Bics,741,1896,,,,,,,,,,,,,0.345655,
Biznet,636,2180,,,,,,,,,,,,,0.434778,
Bren,409,2571,,,,,,,,,,,,,0.404727,
BsonetEurope,484,1918,,,,,,,,,,,,,0.203573,
BtAsiaPac,573,2146,,,,,,,,,,,,,0.371427,
BtEurope,130,1466,,,,,,,,,,,,,0.042374,
Canerie,376,1966,,,,,,,,,,,,,0.299422,
Carnet,444,2843,,,,,,,,,,,,,0.466655,
Cernet,565,2615,,,,,,,,,,,,,0.535296,
Cesnet1993,359,2196,,,,,,,,,,,,,0.239525,
Cesnet1997,803,2296,,,timeout,,,,,,,,,,0.559793,
Cesnet1999,352,2383,,,,,,,,,,,,,0.248389,
Cesnet200511,497,2368,,,,,,,,,,,,,0.358277,
Cesnet200603,713,2175,,,,,,,,,,,,,0.374335,
Chinanet,797,2039,,,timeout,,,,,,,,,,0.441682,
Cogentco,577,1899,,,,,,,,,,,,,0.321674,
CrlNetworkServices,501,2361,,,timeout,,,,,,,,,,0.3111,
Cynet,790,2172,,,,,,,,,,,,,0.440806,
Deltacom,552,2304,,,,,,,,,,,,,0.393383,
Eenet,849,2218,,,,,,,,,,,,,0.504721,
EliBackbone,386,2246,,,,,,,,,,,,,0.246005,
Epoch,350,1593,,,,,,,,,,,,,0.179674,
Eunetworks,405,1868,,,,,,,,,,,,,0.264862,
Fatman,522,2201,,,,,,,,,,,,,0.340601,
Fccn,166,1470,,,,,,,,,,,,,0.084233,
Garr200109,447,2261,,,,,,,,,,,,,0.263339,
Garr200112,616,1769,,,,,,,,,,,,,0.329182,
Garr200212,313,2638,,,,,,,,,,,,,0.179248,
Garr200404,774,1932,,,,,,,,,,,,,0.451758,
Garr200912,864,2052,,,timeout,,,,,,,,,,0.555417,
Garr201003,711,1746,,,,,,,,,,,,,0.35879,
Garr201004,238,1334,,,,,,,,,,,,,0.114607,
Garr201012,177,1507,,,,,,,,,,,,,0.093368,
Garr201101,829,2011,,,timeout,,,,,,,,,,0.504355,
Garr201103,628,2058,,,,,,,,,,,,,0.468957,
Garr201107,578,1747,,,,,,,,,,,,,0.356276,
Garr201111,394,1951,,,,,,,,,,,,,0.223641,
Garr201112,203,1413,,,,,,,,,,,,,0.062353,
Gblnet,274,1305,,,,,,,,,,,,,0.132603,
Getnet,443,3066,,,timeout,,,,,,,,,,0.542351,
Globalcenter,186,1083,,,,,,,,,,,,,0.040131,
Globenet,285,1832,,,,,,,,,,,,,0.185559,
Grena,381,1903,,,,,,,,,,,,,0.21879,
Gridnet,202,1268,,,,,,,,,,,,,0.092926,
Grnet,818,2275,,,timeout,,,,,,,,,,0.58388,
GtsCe,217,1276,,,,,,,,,,,,,0.073388,
GtsCzechRepublic,617,2129,,,timeout,,,,,,,,,,0.426933,
GtsHungary,551,1984,,,,,,,,,,,,,0.261169,
GtsPoland,865,1795,,,,,,,,,,,,,0.493142,
GtsSlovakia,265,1208,,,,,,,,,,,,,0.102795,
Harnet,272,1510,,,,,,,,,,,,,0.13053,
Heanet,273,1995,,,timeout,,,,,,,,,,0.123559,
HiberniaCanada,649,1565,,,,,,,,,,,,,0.283197,
HiberniaGlobal,488,1591,,,,,,,,,,,,,0.17633,
HurricaneElectric,803,2144,,,timeout,,,,,,,,,,0.546806,
Ibm,797,2143,,,,,,,,,,,,,0.511904,
Ilan,504,2070,,,timeout,,,,,,,,,,0.312327,
Integra,417,2347,,,timeout,,,,,,,,,,0.307132,
Intellifiber,283,1966,,,,,,,,,,,,,0.16953,
Internode,868,2090,,,,,,,,,,,,,0.516795,
Ion,555,2055,,,timeout,,,,,,,,,,0.24001,
IowaStatewideFiberMap,636,1772,,,,,,,,,,,,,0.33248,
Janetlense,597,2136,,,,,,,,,,,,,0.399522,
Kdl,202,1229,,,,,,,,,,,,,0.082733,
KentmanApr2007,227,1269,,,1120.6881,,,,,,,,,,0.076227,
KentmanAug2005,174,1011,,,,,,,,,,,,,0.040142,
KentmanJan2011,600,2148,,,timeout,,,,,,,,,,0.402029,
Kreonet,895,2168,,,,,,,,,,,,,0.566061,
LambdaNet,246,1759,,,,,,,,,,,,,0.095144,
Layer42,644,2044,,,timeout,,,,,,,,,,0.457884,
Litnet,710,2185,,,,,,,,,,,,,0.508675,
Marwan,351,1944,,,,,,,,,,,,,0.270204,
Mren,488,2105,,,timeout,,,,,,,,,,0.291525,
NetworkUsa,777,2244,,,,,,,,,,,,,0.482822,
Nordu1997,825,2176,,,,,,,,,,,,,0.505791,
Nsfnet,786,2080,,,,,,,,,,,,,0.422072,
Ntt,317,1926,,,,,,,,,,,,,0.181977,
Oteglobe,581,1730,,,timeout,,,,,,,,,,0.239281,
Oxford,280,1800,,,380.2660,,,,,,,,,,0.168184,
Quest,333,1762,,,,,,,,,,,,,0.187607,
RedBestel,511,1860,,,,,,,,,,,,,0.27375,
Rediris,483,2259,,,,,,,,,,,,,0.315238,
Renater2001,483,2106,,,,,,,,,,,,,0.280647,
Restena,238,1100,,,,,,,,,,,,,0.049574,
Reuna,492,2878,,,timeout,,,,,,,,,,0.502427,
RoedunetFibre,357,1925,,,,,,,,,,,,,0.274688,
Sago,318,2134,,,,,,,,,,,,,0.263249,
Savvis,425,2217,,,589.9649,,,,,,,,,,0.364885,
Singaren,569,1853,,,,,,,,,,,,,0.328179,
Surfnet,184,1019,,,,,,,,,,,,,0.043263,
SwitchL3,213,1310,,,124.2760,,,,,,,,,,0.089435,
Syringa,383,1814,,,,,,,,,,,,,0.262725,
TLex,683,2029,,,,,,,,,,,,,0.330899,
Telcove,699,1802,,,,,,,,,,,,,0.372529,
Ulaknet,466,1713,,,,,,,,,,,,,0.192479,
UniC,481,1721,,,timeout,,,,,,,,,,0.170542,
Uninet,671,1957,,,,,,,,,,,,,0.328066,
Uninett2010,165,1000,,,,,,,,,,,,,0.044482,
Uninett2011,460,2582,,,,,,,,,,,,,0.421576,
Uran,905,2151,,,,,,,,,,,,,0.601346,
UsCarrier,581,1908,,,,,,,,,,,,,0.391386,
Uunet,821,1945,,,,,,,,,,,,,0.454677,
VtlWavenet2011,620,1755,,,,,,,,,,,,,0.258922,
WideJpn,313,2051,,,,,,,,,,,,,0.222277,
Xeex,798,1905,,,,,,,,,,,,,0.361302,
York,450,1856,,,,,,,,,,,,,0.23036,
Zamren,620,1448,,,,,,,,,,,,,0.209737,
grafo120.40,236,1665,,,,,,,,,,,,,0.105916,
grafo121.20,794,1726,,,timeout,,,,,,,,,,0.366475,
grafo124.28,227,1403,,,,,,,,,,,,,0.090533,
grafo125.32,575,1754,,,timeout,,,,,,,,,,0.269355,
grafo126.22,837,2102,,,,,,,,,,,,,0.54837,
grafo127.21,409,2596,,,,,,,,,,,,,0.3308,
grafo128.35,416,2131,,,timeout,,,,,,,,,,0.226545,
grafo142.33,888,2367,,,,,,,,,,,,,0.669769,
grafo143.29,192,1283,,,,,,,,,,,,,0.070275,
grafo144.12,576,1899,,,,,,,,,,,,,0.237143,
grafo150.31,434,2152,,,,,,,,,,,,,0.298705,
grafo159.24,317,2046,,,,,,,,,,,,,0.202714,
grafo161.31,287,2039,,,,,,,,,,,,,0.164942,
grafo162.24,594,1723,,,,,,,,,,,,,0.251292,
grafo166.10,811,2162,,,,,,,,,,,,,0.51628,
grafo167.22,492,2022,,,,,,,,,,,,,0.266831,
grafo173.26,508,2152,,,,,,,,,,,,,0.295537,
grafo174.27,318,1281,,,,,,,,,,,,,0.159562,
