SharpSAT-TD求解器实验结果
文件名,运行时间(秒),模型计数
grafo10000.67,74.751002374,15625
grafo1000.47,261.736557211,1497704256
grafo1016.59,84.03808770800001,438750
grafo1019.93,230.598716706,660100
grafo1020.65,199.397183454,561875
grafo1022.27,239.137944773,11268864420840
grafo1024.93,51.083812187,775
grafo1031.94,82.610199294,728
grafo1032.98,28.502513285,975
grafo1036.44,194.760245478,20481250
grafo1039.45,106.945343212,4942100
grafo1049.58,171.504236843,21912800
grafo1052.100,82.476515408,18200
grafo1058.39,96.064943063,3360
grafo1060.70,75.23082295499999,16250
grafo1061.96,242.222732381,390625
grafo106.40,176.423048423,31958
grafo1064.74,175.672473778,756
grafo1068.79,165.086997996,406250
grafo1071.70,44.090970481,15625
grafo1073.12,162.172638474,407000
grafo1077.66,200.069751459,23125
grafo1082.84,218.526637962,15031250
grafo1086.84,335.116896939,72215550000
grafo1092.40,24.384594017,754
grafo1093.22,172.229134734,675
grafo1096.67,273.358973737,48225600000
grafo109.84,240.424095931,53136750
grafo1098.82,58.531505201,702
grafo1103.70,215.546178105,19375
grafo1113.83,73.13195351900001,16250
grafo1117.38,38.479932671,806
grafo1120.53,94.52118843,105850
grafo1125.57,165.199342736,2096250
grafo1126.98,314.468811622,64749808500
grafo1129.38,243.100187479,10920000
grafo1133.37,144.984838626,421875
grafo1135.68,48.918568391,1050
grafo1140.100,47.191579314,650
grafo1141.27,75.614018032,750
grafo1143.95,43.730840902,625
grafo1149.10,39.552423442,625
grafo1151.92,33.228883211,625
grafo1152.50,245.263071615,15000000
grafo1154.39,61.485354402,20900
grafo1157.11,111.830236632,11375000
grafo1163.61,137.583719458,473200
grafo1170.72,258.361537805,140118745905000
grafo1171.69,73.981011908,750
grafo1176.87,225.757531943,945000
grafo1179.91,357.554035724,1395932400000
grafo1180.19,76.625031303,925
grafo1184.20,46.905722712,825
grafo118.50,304.285931175,13857750
grafo1189.47,25.73512752,625
grafo1194.58,218.271146049,2932485075
grafo1197.98,23.201177079,1026
grafo1199.26,38.408988719,650
grafo1201.52,85.02909148099999,406250
grafo1204.57,172.094093898,702
grafo1206.20,172.822464297,4950
grafo1208.80,292.346021142,148680
grafo1209.77,186.770453755,17500
grafo1213.36,151.38210775,30925
grafo1218.53,124.140687349,742500
grafo1221.88,188.915142289,17550
grafo1222.12,22.226282949,676
grafo1224.85,204.753864427,554352750
grafo1226.12,96.395148937,421875
grafo1227.39,191.458087642,882000
grafo1229.98,266.120928704,10875000
grafo1231.66,163.135768625,330372
grafo1233.97,132.704759905,650
grafo1237.52,253.200146413,102996083125
grafo1239.92,80.00897332300001,15625
grafo1240.89,242.188321447,345825
grafo1243.46,87.77362816900001,16250
grafo1245.25,49.026393992,2697
grafo124.52,260.635417832,12090000
grafo1246.82,210.808751711,303552000
grafo1251.27,101.554549804,79900
grafo125.20,149.935458829,780
grafo1254.97,176.15791355,5700
grafo1260.91,310.442328766,870962028300
grafo1263.37,212.880211293,620000
grafo1266.82,175.725890948,18225
grafo1269.48,215.611660856,25853750
grafo127.51,211.633855435,3536655183
grafo1276.38,27.128226578,775
grafo1280.55,53.501075951,17500
grafo1281.93,198.575796056,421875
grafo1288.19,213.400571707,18750
grafo128.92,117.590047613,106875
grafo1293.95,123.268470921,18596893700
grafo1299.94,140.469580908,2929500
grafo1300.60,183.857638703,16900
grafo1304.97,55.017543064,625
grafo1310.11,124.60555008,4316650
grafo1313.90,48.515885842,3475
grafo1315.93,80.89513103500001,473850
grafo1320.24,39.131508534,625
grafo1325.60,125.483655903,4823000
grafo1327.42,100.580724667,22308
grafo1329.60,195.810187762,16900
grafo1332.55,119.702632099,1053
grafo1333.63,299.95229489,7994675
grafo1334.77,38.920168369,700
grafo1335.82,196.505352552,422500
grafo1340.15,243.768885919,17942118750
grafo1345.63,188.420522988,406250
grafo1351.10,220.187050898,575771800
grafo135.11,143.503550549,38405630175
grafo1353.87,44.269466528,650
grafo1354.16,208.707633047,22680
grafo1357.38,34.593815642,650
grafo1359.45,201.681527299,1597050
grafo1363.45,54.505655991,900
grafo1364.30,196.734196385,20250000
grafo1369.28,192.424212632,23125
grafo1370.75,196.151960569,587250
grafo1375.99,254.090659326,2439692500
grafo1388.17,283.745445159,3248301600
grafo1390.73,41.698236848,625
grafo1391.96,198.114961686,903515625
grafo1393.24,31.663458698,650
grafo1394.26,109.511098732,90212200
grafo1398.21,201.156665918,16250
grafo1405.91,51.493345048,676
grafo1407.50,209.83484162,1441300
grafo1408.28,129.188652802,7095000
grafo1411.22,203.64651834,406250
grafo1412.32,230.496502218,3073250
grafo1415.63,149.335871332,39057200
grafo1417.42,206.068620369,3652950
grafo1420.71,196.531435956,20300
grafo1423.48,85.42147104,19375
grafo1426.92,185.45397354,2416800
grafo142.76,249.632071304,1434375
grafo1430.95,255.564902475,23892500
grafo1431.29,260.195373363,1205075000
grafo1435.43,198.990135139,390625
grafo1436.41,188.206299755,21700
grafo143.64,54.020014033,17550
grafo1437.35,336.418841213,44771030000
grafo1441.77,180.356090524,16250
grafo1443.40,43.128191726,625
grafo1447.35,230.648722082,18375000
grafo1448.100,196.057023345,129406352
grafo1453.29,194.704127547,16875
grafo146.60,297.782040286,2843596
grafo1474.40,295.503370352,11478442500
grafo1475.37,94.010922202,15625
grafo1481.33,40.806897003,675
grafo1488.42,199.900288118,19375
grafo1489.74,70.214525743,16250
grafo1491.27,246.138887657,8343750
grafo1495.67,54.928360172,625
grafo1496.11,205.751157668,809375
grafo1498.61,44.562718229,1333
grafo1502.73,263.25171474,16976100000
grafo1503.80,57.139203885,18125
grafo1518.68,211.164167617,12150000
grafo1519.73,266.376102657,506218750
grafo1524.86,281.030663458,567562500
grafo153.22,124.915800722,835830060
grafo1534.94,206.199950543,742500
grafo1537.86,297.359244846,71147686500
grafo1538.49,156.600600735,2418925
grafo1540.55,182.909083118,30625
grafo1542.71,218.194426254,31590000
grafo1543.79,128.31815833,31875
grafo155.75,261.524020223,629375
grafo1562.81,104.443860776,729
grafo1574.100,176.086897745,750
grafo1576.39,76.25218574500001,8157500
grafo1579.57,170.224880544,725
grafo1580.49,105.22572206,30400
grafo158.21,314.579196504,10775700
grafo1589.37,75.86178475299999,134198375
grafo1590.75,321.908179104,1169797701330
grafo1594.71,246.227019733,4442668000
grafo1596.16,124.011433036,403601250
grafo1601.21,26.009217616,702
grafo1602.72,219.579053191,23968750
grafo1603.92,173.234943214,3675000
grafo1612.56,52.951877986,702
grafo1613.27,279.859061549,9570703125
grafo1619.94,179.234991454,52528
grafo1624.15,55.110071331,1369
grafo1625.71,205.210206653,18125
grafo1626.15,335.98974137,644016745450
grafo1627.37,203.859518668,385020
grafo1628.93,271.047180558,16451358000
grafo1630.14,79.556177881,612500
grafo1631.66,70.16361261900001,578125
grafo1635.100,196.143913895,677970
grafo1644.67,107.142073724,437500
grafo1645.78,134.115543363,1612330000
grafo1648.100,132.950920375,11925
grafo1655.32,49.502052002,675
grafo1657.22,171.469252404,1250000
grafo166.10,99.11570422,3204500
grafo1662.43,63.020759843,438750
grafo1675.96,15.701685822,650
grafo1679.85,149.035347325,90740
grafo1682.90,86.787939012,484375
grafo1684.38,232.012863488,14880000
grafo1688.46,225.149561104,12234375
grafo1691.57,108.080298775,16250
grafo1692.85,122.537714728,10875000
grafo1694.47,191.443752162,686628000
grafo1704.38,664.0525732,53724924920550
grafo1708.84,119.980062717,9000000
grafo1712.23,189.15025899,153400
grafo1722.39,283.945665378,376082151250
grafo1723.91,246.947920079,90567258375
grafo1724.16,114.360613079,139375
grafo1725.10,194.583329688,1300
grafo1727.23,132.063828889,625
grafo1730.14,178.02057508,16900
