Instance,4_threads_time,4_threads_solutions,4_threads_max_blocks,8_threads_time,8_threads_solutions,8_threads_max_blocks,16_threads_time,16_threads_solutions,16_threads_max_blocks
Aarnet.txt,11.0138,1.384565e+101,20,10.6182,1.384565e+101,20,10.6817,1.384565e+101,20
Abilene.txt,18.4228,7.323410e+88,20,14.3608,7.323410e+88,20,13.1900,7.323410e+88,20
Abvt.txt,14.5587,3.443469e+103,20,13.7194,3.443469e+103,20,12.6720,3.443469e+103,20
Aconet.txt,16.8100,2.418300e+103,20,16.8315,2.418300e+103,20,16.3160,2.418300e+103,20
Agis.txt,30.8025,2.431217e+91,20,30.1098,2.431217e+91,20,23.0703,2.431217e+91,20
Ai3.txt,17.4480,7.392238e+108,20,16.8118,7.392238e+108,20,14.1670,7.392238e+108,20
Airtel.txt,32.3160,1.580019e+112,20,26.0839,1.580019e+112,20,25.4521,1.580019e+112,20
Amres.txt,23.1445,1.128934e+111,20,21.8709,1.128934e+111,20,21.5074,1.128934e+111,20
Ans.txt,36.1076,4.041681e+108,20,33.9503,4.041681e+108,20,34.5760,4.041681e+108,20
Arn.txt,26.6463,1.266133e+109,20,24.2197,1.266133e+109,20,21.9391,1.266133e+109,20
Arnes.txt,22.1761,9.755150e+110,20,18.4604,9.755150e+110,20,18.1953,9.755150e+110,20
AttMpls.txt,14.8076,2.702121e+98,20,12.9536,2.702121e+98,20,13.3944,2.702121e+98,20
Azrena.txt,19.9210,2.345656e+116,20,18.5797,2.345656e+116,20,16.0456,2.345656e+116,20
Bandcon.txt,20.4711,2.561682e+104,20,19.8789,2.579598e+104,20,20.2073,2.561682e+104,20
Basnet.txt,7.1889,3.193520e+91,20,7.7680,3.193520e+91,20,7.0629,3.193520e+91,20
Bbnplanet.txt,15.2016,7.944415e+105,20,13.6666,7.944415e+105,20,11.6878,7.944415e+105,20
Bellcanada.txt,5.2828,2.586665e+100,20,5.4495,2.586665e+100,20,4.9862,2.586665e+100,20
Bellsouth.txt,15.4304,2.528684e+103,20,13.9900,2.528684e+103,20,12.3585,2.528684e+103,20
BeyondTheNetwork.txt,19.1645,8.616707e+100,20,18.4614,8.616707e+100,20,16.0792,8.616707e+100,20
Biznet.txt,19.7935,3.231761e+111,20,16.7105,3.231761e+111,20,17.0984,3.231761e+111,20
Darkstrand.txt,0.0092,17280,25,0.0090,17280,25,0.0109,17280,25
Dataxchange.txt,0.0079,9144576,20,0.0087,9144576,20,0.0107,9144576,20
Deltacom.txt,0.0081,544320,19,0.0083,544320,19,0.0106,544320,19
DeutscheTelekom.txt,0.0096,3870720,18,0.0103,3870720,18,0.0119,3870720,18
Dfn.txt,0.0095,5248800,19,0.0097,5248800,19,0.0132,5248800,19
DialtelecomCz.txt,0.0088,622080,22,0.0098,622080,22,0.0110,622080,22
Digex.txt,0.0096,31933440,24,0.0104,31933440,24,0.0118,31933440,24
Easynet.txt,0.0109,72576000,17,0.0114,72576000,17,0.0124,72576000,17
Eenet.txt,0.0085,1354752,24,0.0095,1354752,24,0.0101,1354752,24
EliBackbone.txt,0.0084,3096576,20,0.0092,3096576,20,0.0106,3096576,20
Epoch.txt,0.0080,331776,19,0.0083,331776,19,0.0095,331776,19
Ernet.txt,0.0097,51978240,17,0.0104,51978240,17,0.0112,51978240,17
Esnet.txt,0.0097,645120,18,0.0105,645120,18,0.0126,645120,18
Eunetworks.txt,0.0101,93312,23,0.0107,93312,23,0.0126,93312,23
Evolink.txt,0.0081,8467200,17,0.0088,8467200,17,0.0109,8467200,17
Pacificwave.txt,0.0067,17280,14,0.0070,17280,14,0.0092,17280,14
Packetexchange.txt,0.0067,22400,11,0.0073,22400,11,0.0085,22400,11
grafo8039.65.txt,0.0082,25920,14,0.0090,25920,14,0.0097,25920,14
grafo8186.90.txt,0.0057,62400,17,0.0067,62400,17,0.0080,62400,17
grafo8187.70.txt,0.0084,14515200,11,0.0095,14515200,11,0.0097,14515200,11
grafo8188.62.txt,0.0074,4800,14,0.0079,4800,14,0.0089,4800,14
grafo8189.85.txt,0.0064,2592,15,0.0076,2592,15,0.0086,2592,15
grafo8190.73.txt,0.0074,5832,24,0.0086,5832,24,0.0089,5832,24
grafo8222.84.txt,0.0075,15724800,12,0.0083,15724800,12,0.0093,15724800,12
grafo8223.99.txt,0.0064,61440,17,0.0075,61440,17,0.0085,61440,17
grafo8224.100.txt,0.0072,38400,15,0.0079,38400,15,0.0089,38400,15
grafo8225.88.txt,0.0071,7296,11,0.0078,7296,11,0.0091,7296,11
grafo8226.90.txt,0.0065,48384,13,0.0075,48384,13,0.0097,48384,13
grid_3x3.txt,0.0073,10108800,18,0.0087,10108800,18,0.0107,10108800,18
grid_4x4.txt,0.0065,3000,15,0.0068,3000,15,0.0081,3000,15
