Instance,2_threads_time,2_threads_solutions,2_threads_max_blocks,4_threads_time,4_threads_solutions,4_threads_max_blocks,8_threads_time,8_threads_solutions,8_threads_max_blocks
Aarnet.txt,0.8800,53067357700,8,0.8923,53067357700,8,0.9078,53067357700,8
Abilene.txt,0.0575,921600,10,0.0597,921600,10,0.0612,921600,10
Abvt.txt,0.0341,39600000,12,0.0348,39600000,12,0.0308,39600000,12
Aconet.txt,0.9404,4613900,4,0.9407,4613900,4,0.9404,4613900,4
Agis.txt,0.1015,701220,9,0.1048,701220,9,0.1027,701220,9
Ai3.txt,0.1444,543750,8,0.1474,543750,8,0.1457,543750,8
Airtel.txt,0.0367,1903000000,16,0.0388,1903000000,16,0.0359,1903000000,16
Amres.txt,0.0810,3064320,10,0.0786,3064320,10,0.0790,3064320,10
Ans.txt,0.2206,17550,6,0.2210,17550,6,0.2241,17550,6
Arn.txt,0.0421,4368000,13,0.0435,4368000,13,0.0500,4368000,13
Arnes.txt,0.0301,192000000,16,0.0301,192000000,16,0.0339,192000000,16
Arpanet19723.txt,0.0863,983040,11,0.0880,983040,11,0.0835,983040,11
AttMpls.txt,0.0515,242715000,12,0.0530,242715000,12,0.0504,242715000,12
Azrena.txt,0.0319,1000000,12,0.0294,1000000,12,0.0313,1000000,12
Bandcon.txt,0.0262,44400000,14,0.0254,44400000,14,0.0248,44400000,14
Basnet.txt,0.2260,2632500,8,0.2260,2632500,8,0.2258,2632500,8
Bbnplanet.txt,0.1726,1650,4,0.1806,1650,4,0.1749,1650,4
Bellcanada.txt,0.1019,775,5,0.1017,775,5,0.1029,775,5
Bellsouth.txt,0.0408,1188000000,16,0.0467,1188000000,16,0.0424,1188000000,16
Belnet2003.txt,0.0366,624850120000,14,0.0366,624850120000,14,0.0363,624850120000,14
Belnet2005.txt,0.2880,96656,5,0.2883,96656,5,0.3006,96656,5
Belnet2006.txt,0.6974,9535000,6,0.6961,9535000,6,0.6975,9535000,6
Belnet2007.txt,0.1242,702,5,0.1278,702,5,0.1255,702,5
Belnet2010.txt,0.0439,22360800,14,0.0429,22360800,14,0.0430,22360800,14
BeyondTheNetwork.txt,0.1056,650,4,0.1028,650,4,0.1010,650,4
Bics.txt,0.0270,198000000,15,0.0288,198000000,15,0.0294,198000000,15
Biznet.txt,0.0782,921600,11,0.0778,921600,11,0.0800,921600,11
Bren.txt,0.1652,422500,8,0.1612,422500,8,0.1597,422500,8
