Instance,4_threads_time,4_threads_solutions,4_threads_max_blocks,8_threads_time,8_threads_solutions,8_threads_max_blocks,16_threads_time,16_threads_solutions,16_threads_max_blocks
Aarnet.txt,173.2533,3.110180e+99,20,172.6637,3.110180e+99,20,171.1286,3.110180e+99,20
Abilene.txt,timeout,,,timeout,,,timeout,,
Abvt.txt,342.1599,3.715396e+101,20,338.7354,3.715396e+101,20,341.8617,3.715396e+101,20
Aconet.txt,828.7217,2.082855e+102,20,805.8469,2.082855e+102,20,827.4724,2.082855e+102,20
Agis.txt,743.5713,5.195285e+90,20,736.3100,5.195285e+90,20,736.7418,5.195285e+90,20
Ai3.txt,timeout,,,timeout,,,timeout,,
Airtel.txt,timeout,,,timeout,,,timeout,,
Amres.txt,261.9621,7.500673e+109,20,264.8763,7.500673e+109,20,262.4673,7.500673e+109,20
Ans.txt,timeout,,,timeout,,,timeout,,
Arn.txt,177.2617,1.484146e+108,20,183.4857,1.484146e+108,20,176.8133,1.484146e+108,20
Arnes.txt,542.0095,7.943402e+108,20,547.6618,7.943402e+108,20,547.3065,7.943402e+108,20
AttMpls.txt,115.4890,6.140485e+96,20,115.1762,6.140485e+96,20,110.6972,6.140485e+96,20
Azrena.txt,60.4432,3.509128e+115,20,62.2319,3.509128e+115,20,63.5336,3.509128e+115,20
Bandcon.txt,158.8034,7.455141e+101,20,161.0148,7.455141e+101,20,156.9554,7.455141e+101,20
Basnet.txt,99.3135,2.480711e+89,20,96.0093,2.480711e+89,20,98.0689,2.480711e+89,20
Bbnplanet.txt,355.5354,1.215335e+104,20,354.6376,1.215335e+104,20,354.6006,1.215335e+104,20
Bellcanada.txt,974.5408,1.988516e+99,20,981.7861,1.988516e+99,20,975.5476,1.988516e+99,20
Bellsouth.txt,21.3055,7.056458e+101,20,21.8579,7.056458e+101,20,22.4675,7.056458e+101,20
BeyondTheNetwork.txt,timeout,,,timeout,,,timeout,,
Biznet.txt,1170.8109,4.320592e+109,20,1175.9739,4.320592e+109,20,1181.0715,4.320592e+109,20
Darkstrand.txt,0.0068,17280,25,0.0066,17280,25,0.0065,17280,25
Dataxchange.txt,0.0095,9144576,20,0.0063,9144576,20,0.0063,9144576,20
Deltacom.txt,0.0060,544320,19,0.0064,544320,19,0.0063,544320,19
DeutscheTelekom.txt,0.0068,3870720,18,0.0066,3870720,18,0.0085,3870720,18
Dfn.txt,0.0065,5248800,19,0.0090,5248800,19,0.0088,5248800,19
DialtelecomCz.txt,0.0111,622080,22,0.0111,622080,22,0.0114,622080,22
Digex.txt,0.0101,31933440,24,0.0119,31933440,24,0.0096,31933440,24
Easynet.txt,0.0070,72576000,17,0.0090,72576000,17,0.0064,72576000,17
Eenet.txt,0.0065,1354752,24,0.0063,1354752,24,0.0066,1354752,24
EliBackbone.txt,0.0065,3096576,20,0.0062,3096576,20,0.0061,3096576,20
Epoch.txt,0.0090,331776,19,0.0060,331776,19,0.0067,331776,19
Ernet.txt,0.0070,51978240,17,0.0068,51978240,17,0.0065,51978240,17
Esnet.txt,0.0062,645120,18,0.0065,645120,18,0.0071,645120,18
Eunetworks.txt,0.0064,93312,23,0.0075,93312,23,0.0065,93312,23
Evolink.txt,0.0079,8467200,17,0.0063,8467200,17,0.0064,8467200,17
Pacificwave.txt,0.0052,17280,14,0.0053,17280,14,0.0052,17280,14
Packetexchange.txt,0.0052,22400,11,0.0051,22400,11,0.0058,22400,11
grafo8039.65.txt,0.0054,25920,14,0.0054,25920,14,0.0084,25920,14
grafo8186.90.txt,0.0059,62400,17,0.0057,62400,17,0.0070,62400,17
grafo8187.70.txt,0.0057,14515200,11,0.0055,14515200,11,0.0076,14515200,11
grafo8188.62.txt,0.0056,4800,14,0.0054,4800,14,0.0055,4800,14
grafo8189.85.txt,0.0061,2592,15,0.0055,2592,15,0.0055,2592,15
grafo8190.73.txt,0.0064,5832,24,0.0059,5832,24,0.0074,5832,24
grafo8222.84.txt,0.0062,15724800,12,0.0058,15724800,12,0.0057,15724800,12
grafo8223.99.txt,0.0058,61440,17,0.0057,61440,17,0.0057,61440,17
grafo8224.100.txt,0.0057,38400,15,0.0056,38400,15,0.0052,38400,15
grafo8225.88.txt,0.0054,7296,11,0.0054,7296,11,0.0054,7296,11
grafo8226.90.txt,0.0061,48384,13,0.0056,48384,13,0.0055,48384,13
grid_3x3.txt,0.0059,10108800,18,0.0059,10108800,18,0.0056,10108800,18
grid_4x4.txt,0.0055,3000,15,0.0053,3000,15,0.0054,3000,15
