Instance,1_threads_time,1_threads_solutions,1_threads_max_blocks,2_threads_time,2_threads_solutions,2_threads_max_blocks,4_threads_time,4_threads_solutions,4_threads_max_blocks,8_threads_time,8_threads_solutions,8_threads_max_blocks
AsnetAm.txt,0.9438,20064184773096211440000,,0.9446,20064184773096211440000,,0.9614,20064184773096211440000,,0.9560,20064184773096211440000,
AttMpls.txt,0.0247,138690000,,0.0247,138690000,,0.0264,138690000,,0.0269,138690000,
Bellcanada.txt,1.1493,1366309453307994000,,1.1511,1366309453307994000,,1.2007,1366309453307994000,,1.2011,1366309453307994000,
Bellsouth.txt,0.2080,794988832250372760,,0.2075,794988832250372760,,0.1339,794988832250372760,,0.1386,794988832250372760,
BeyondTheNetwork.txt,0.3595,7960497608448,,0.3586,7960497608448,,0.1580,7960497608448,,0.1603,7960497608448,
BtNorthAmerica.txt,0.0172,17798747645952,,0.0172,17798747645952,,0.0112,17798747645952,,0.0133,17798747645952,
Cernet.txt,0.0106,13037563816704,,0.0104,13037563816704,,0.0056,13037563816704,,0.0067,13037563816704,
Cesnet200706.txt,0.2077,14399767872,,0.2076,14399767872,,0.2146,14399767872,,0.2178,14399767872,
Cesnet201006.txt,0.0077,61223500800,,0.0077,61223500800,,0.0050,61223500800,,0.0055,61223500800,
Chinanet.txt,0.0037,7691190,,0.0036,7691190,,0.0025,7691190,,0.0028,7691190,
Cogentco.txt,timeout,,,timeout,,,timeout,,,timeout,,
Colt.txt,timeout,,,timeout,,,timeout,,,timeout,,
Columbus.txt,0.5490,7165051704986651567,,0.5475,7165051704986651567,,0.2746,7165051704986651567,,0.2853,7165051704986651567,
Cudi.txt,0.1459,9995373489286260,,0.1463,9995373489286260,,0.0595,9995373489286260,,0.0670,9995373489286260,
Deltacom.txt,0.7362,3951934041188949052559872439407542961305600,,0.7337,3951934041188949052559872439407542961305600,,0.7077,3951934041188949052559872439407542961305600,,0.6994,3951934041188949052559872439407542961305600,
DeutscheTelekom.txt,0.0147,1569482805945600,,0.0148,1569482805945600,,0.0092,1569482805945600,,0.0095,1569482805945600,
Dfn.txt,0.0777,164585098635804000,,0.0778,164585098635804000,,0.0678,164585098635804000,,0.0698,164585098635804000,
DialtelecomCz.txt,8.6371,20368774221577457181929824667570199495600,,8.6338,20368774221577457181929824667570199495600,,6.1221,20368774221577457181929824667570199495600,,6.1270,20368774221577457181929824667570199495600,
Esnet.txt,timeout,,,timeout,,,timeout,,,timeout,,
Forthnet.txt,0.6425,29464511615072976,,0.6430,29464511615072976,,0.6779,29464511615072976,,0.6762,29464511615072976,
Garr200902.txt,0.0252,7824905716064400,,0.0252,7824905716064400,,0.0185,7824905716064400,,0.0196,7824905716064400,
Garr200908.txt,0.0233,463471976167200,,0.0233,463471976167200,,0.0101,463471976167200,,0.0112,463471976167200,
Garr200909.txt,0.0129,622464874416000,,0.0128,622464874416000,,0.0066,622464874416000,,0.0074,622464874416000,
Garr200912.txt,0.0407,2122763494916064,,0.0408,2122763494916064,,0.0319,2122763494916064,,0.0313,2122763494916064,
Garr201001.txt,0.0164,4162117365182599680,,0.0164,4162117365182599680,,0.0101,4162117365182599680,,0.0106,4162117365182599680,
Garr201003.txt,0.0506,39991147739136,,0.0506,39991147739136,,0.0475,39991147739136,,0.0496,39991147739136,
Garr201004.txt,6.2360,2825001498839593800,,6.2356,2825001498839593800,,6.2998,2825001498839593800,,6.3138,2825001498839593800,
Garr201005.txt,0.0405,7087148919474624,,0.0403,7087148919474624,,0.0351,7087148919474624,,0.0355,7087148919474624,
Garr201007.txt,0.3972,5336270947998010944,,0.3960,5336270947998010944,,0.3529,5336270947998010944,,0.3578,5336270947998010944,
Garr201008.txt,0.0432,388166930756280,,0.0431,388166930756280,,0.0311,388166930756280,,0.0328,388166930756280,
Garr201010.txt,2.0725,148027474414443820,,2.0747,148027474414443820,,1.2074,148027474414443820,,1.2394,148027474414443820,
Garr201012.txt,0.0751,97131756402639000,,0.0753,97131756402639000,,0.0455,97131756402639000,,0.0480,97131756402639000,
Garr201101.txt,17.9732,2733651895783360,,17.9783,2733651895783360,,17.8967,2733651895783360,,17.9092,2733651895783360,
Garr201102.txt,0.0566,289823452468285680,,0.0566,289823452468285680,,0.0328,289823452468285680,,0.0345,289823452468285680,
Garr201103.txt,0.1300,188664499520640000,,0.1300,188664499520640000,,0.1112,188664499520640000,,0.1138,188664499520640000,
Garr201104.txt,0.1796,16136087602223714400,,0.1798,16136087602223714400,,0.1210,16136087602223714400,,0.1256,16136087602223714400,
Garr201105.txt,0.1334,1513246451090613120,,0.1325,1513246451090613120,,0.1252,1513246451090613120,,0.1278,1513246451090613120,
Garr201107.txt,0.1454,936844463116800,,0.1446,936844463116800,,0.1138,936844463116800,,0.1154,936844463116800,
Garr201108.txt,0.0594,12012866735768260800,,0.0592,12012866735768260800,,0.0461,12012866735768260800,,0.0459,12012866735768260800,
Garr201109.txt,0.1648,132270243712681500,,0.1646,132270243712681500,,0.1288,132270243712681500,,0.1302,132270243712681500,
Garr201110.txt,0.0563,14056537029740766,,0.0564,14056537029740766,,0.0481,14056537029740766,,0.0495,14056537029740766,
Garr201111.txt,0.1448,5792755250563929648,,0.1447,5792755250563929648,,0.1399,5792755250563929648,,0.1415,5792755250563929648,
Garr201112.txt,3.6051,374638307489310900,,3.6122,374638307489310900,,3.6269,374638307489310900,,3.6432,374638307489310900,
Garr201201.txt,0.0743,503920288213159104,,0.0740,503920288213159104,,0.0505,503920288213159104,,0.0562,503920288213159104,
Geant2009.txt,0.1817,405899646567480,,0.1817,405899646567480,,0.1896,405899646567480,,0.1901,405899646567480,
Geant2010.txt,0.0929,49350233892960,,0.0927,49350233892960,,0.0608,49350233892960,,0.0641,49350233892960,
Geant2012.txt,0.0408,8453062741836,,0.0408,8453062741836,,0.0189,8453062741836,,0.0204,8453062741836,
Globenet.txt,0.9359,3614360512588884541440,,0.9372,3614360512588884541440,,0.8128,3614360512588884541440,,0.8132,3614360512588884541440,
GtsCe.txt,timeout,,,timeout,,,timeout,,,timeout,,
HiberniaGlobal.txt,1.0891,2074561928035084800000,,1.0869,2074561928035084800000,,0.9913,2074561928035084800000,,0.9915,2074561928035084800000,
