Instance,1_threads_time,1_threads_solutions,1_threads_max_blocks,2_threads_time,2_threads_solutions,2_threads_max_blocks,4_threads_time,4_threads_solutions,4_threads_max_blocks,8_threads_time,8_threads_solutions,8_threads_max_blocks
AsnetAm.txt,1.1465,20064184773096211440000,7,1.1503,20064184773096211440000,7,0.6697,20064184773096211440000,7,0.6660,20064184773096211440000,7
AttMpls.txt,0.1635,138690000,6,0.1636,138690000,6,0.0133,138690000,6,0.0144,138690000,6
Bellcanada.txt,0.9648,1366309453307994000,7,0.9633,1366309453307994000,7,0.7663,1366309453307994000,7,0.7728,1366309453307994000,7
Bellsouth.txt,316.3642,991776867396686280,10,316.0009,991776867396686280,10,0.1033,794988832250372760,5,0.1061,794988832250372760,5
BeyondTheNetwork.txt,19.6636,7960497608448,9,19.8651,7960497608448,9,0.1336,7960497608448,3,0.1363,7960497608448,3
BtNorthAmerica.txt,0.3265,17798747645952,8,0.3252,17798747645952,8,0.0071,17798747645952,6,0.0080,17798747645952,6
Cernet.txt,0.3469,13037563816704,6,0.3459,13037563816704,6,0.0044,13037563816704,6,0.0053,13037563816704,6
Cesnet200706.txt,0.6461,14399767872,5,0.6466,14399767872,5,0.1148,14399767872,3,0.1182,14399767872,3
Cesnet201006.txt,0.2657,61223500800,5,0.2653,61223500800,5,0.0039,61223500800,5,0.0044,61223500800,5
Chinanet.txt,0.1620,9709128,4,0.1621,9709128,4,0.0018,7691190,4,0.0020,7691190,4
Cogentco.txt,timeout,,,timeout,,,timeout,,,timeout,,
Colt.txt,timeout,,,timeout,,,timeout,,,timeout,,
Columbus.txt,2.6149,7165051704986651567,6,2.6146,7165051704986651567,6,0.1251,7165051704986651567,4,0.1271,7165051704986651567,4
Cudi.txt,0.3557,9995373489286260,5,0.3550,9995373489286260,5,0.0393,9995373489286260,4,0.0442,9995373489286260,4
Deltacom.txt,0.7965,3951934041188949052559872439407542961305600,13,0.7951,3951934041188949052559872439407542961305600,13,0.2786,3951934041188949052559872439407542961305600,13,0.2813,3951934041188949052559872439407542961305600,13
DeutscheTelekom.txt,0.2178,1569482805945600,7,0.2176,1569482805945600,7,0.0069,1569482805945600,7,0.0073,1569482805945600,7
Dfn.txt,0.7440,168220106949232800,6,0.7430,168220106949232800,6,0.0408,164585098635804000,6,0.0426,164585098635804000,6
DialtelecomCz.txt,83.2236,20631404115811925258683046579736751590000,12,82.6089,20631404115811925258683046579736751590000,12,2.3980,20368774221577457181929824667570199495600,7,2.4609,20368774221577457181929824667570199495600,7
Esnet.txt,timeout,,,timeout,,,timeout,,,timeout,,
Forthnet.txt,0.5289,29464511615072976,6,0.5284,29464511615072976,6,0.2317,29464511615072976,6,0.2303,29464511615072976,6
Garr200902.txt,1.1945,7824905716064400,7,1.1952,7824905716064400,7,0.0128,7824905716064400,7,0.0142,7824905716064400,7
Garr200908.txt,0.7430,463471976167200,8,0.7435,463471976167200,8,0.0079,463471976167200,6,0.0091,463471976167200,6
Garr200909.txt,0.6793,622464874416000,8,0.6781,622464874416000,8,0.0054,622464874416000,7,0.0063,622464874416000,7
Garr200912.txt,0.7371,2122763494916064,6,0.7367,2122763494916064,6,0.0195,2122763494916064,6,0.0207,2122763494916064,6
Garr201001.txt,0.2259,4162117365182599680,8,0.2259,4162117365182599680,8,0.0064,4162117365182599680,8,0.0073,4162117365182599680,8
Garr201003.txt,0.4286,39991147739136,6,0.4289,39991147739136,6,0.0291,39991147739136,6,0.0300,39991147739136,6
Garr201004.txt,190.3956,2825001498839593800,7,190.9782,2825001498839593800,7,5.0406,2825001498839593800,4,5.0540,2825001498839593800,4
Garr201005.txt,0.5986,7087148919474624,6,0.5989,7087148919474624,6,0.0181,7087148919474624,6,0.0191,7087148919474624,6
Garr201007.txt,9.6495,5336270947998010944,6,9.5636,5336270947998010944,6,0.2268,5336270947998010944,5,0.2285,5336270947998010944,5
Garr201008.txt,3.6503,388166930756280,5,3.6472,388166930756280,5,0.0219,388166930756280,5,0.0224,388166930756280,5
Garr201010.txt,4.6367,148027474414443820,6,4.6227,148027474414443820,6,0.7906,148027474414443820,4,0.7941,148027474414443820,4
Garr201012.txt,2.3839,97131756402639000,6,2.3806,97131756402639000,6,0.0252,97131756402639000,6,0.0273,97131756402639000,6
Garr201101.txt,timeout,,,timeout,,,15.9103,2733651895783360,3,16.0149,2733651895783360,3
Garr201102.txt,0.9274,289823452468285680,6,0.9284,289823452468285680,6,0.0212,289823452468285680,6,0.0226,289823452468285680,6
Garr201103.txt,16.0628,188664499520640000,10,15.8216,188664499520640000,10,0.0783,188664499520640000,6,0.0805,188664499520640000,6
Garr201104.txt,0.7819,16136087602223714400,6,0.7844,16136087602223714400,6,0.0804,16136087602223714400,6,0.0844,16136087602223714400,6
Garr201105.txt,1.2861,1513246451090613120,6,1.2885,1513246451090613120,6,0.0737,1513246451090613120,6,0.0753,1513246451090613120,6
Garr201107.txt,15.8880,936844463116800,9,15.8680,936844463116800,9,0.0657,936844463116800,5,0.0690,936844463116800,5
Garr201108.txt,3.5561,12012866735768260800,7,3.5631,12012866735768260800,7,0.0277,12012866735768260800,7,0.0294,12012866735768260800,7
Garr201109.txt,11.4844,132270243712681500,7,11.5776,132270243712681500,7,0.0950,132270243712681500,5,0.0973,132270243712681500,5
Garr201110.txt,15.7056,14056537029740766,9,15.5579,14056537029740766,9,0.0346,14056537029740766,6,0.0363,14056537029740766,6
Garr201111.txt,1.0509,5792755250563929648,7,1.0529,5792755250563929648,7,0.0794,5792755250563929648,7,0.0836,5792755250563929648,7
Garr201112.txt,63.0689,374638307489310900,7,62.6656,374638307489310900,7,2.7390,374638307489310900,4,2.7501,374638307489310900,4
Garr201201.txt,3.6577,503920288213159104,8,3.5937,503920288213159104,8,0.0360,503920288213159104,6,0.0388,503920288213159104,6
Geant2009.txt,0.3012,405899646567480,5,0.3007,405899646567480,5,0.0955,405899646567480,5,0.0965,405899646567480,5
