Instance,1_threads_time,1_threads_solutions,1_threads_max_blocks,2_threads_time,2_threads_solutions,2_threads_max_blocks,4_threads_time,4_threads_solutions,4_threads_max_blocks,8_threads_time,8_threads_solutions,8_threads_max_blocks
Aarnet.txt,1.7560,53067357700,8,1.4367,53067357700,8,1.4240,53067357700,8,1.2838,53067357700,8
Abilene.txt,0.2467,921600,10,0.2333,921600,10,0.1918,921600,10,0.1339,921600,10
Abvt.txt,0.1321,39600000,12,0.1064,39600000,12,0.0697,39600000,12,0.0502,39600000,12
Aconet.txt,1.5959,4613900,4,1.5903,4613900,4,1.4965,4613900,4,1.4936,4613900,4
Agis.txt,0.4343,701220,9,0.3225,701220,9,0.3232,701220,9,0.2425,701220,9
Ai3.txt,0.4224,543750,8,0.4108,543750,8,0.2949,543750,8,0.1806,543750,8
Airtel.txt,0.1892,1903000000,16,0.1185,1903000000,16,0.0712,1903000000,16,0.0443,1903000000,16
Amres.txt,0.3014,3064320,10,0.1763,3064320,10,0.1445,3064320,10,0.1412,3064320,10
Ans.txt,0.5057,17550,6,0.3206,17550,6,0.3167,17550,6,0.3191,17550,6
Arn.txt,0.1696,4368000,13,0.1400,4368000,13,0.0917,4368000,13,0.0799,4368000,13
Arnes.txt,0.1505,192000000,16,0.0976,192000000,16,0.0612,,,0.0501,192000000,16
Arpanet19723.txt,0.3320,983040,11,0.2521,983040,11,0.2175,983040,11,0.1704,983040,11
AttMpls.txt,0.1693,242715000,12,0.1394,242715000,12,0.1124,242715000,12,0.1064,242715000,12
Azrena.txt,0.1243,1000000,12,0.1069,1000000,12,0.0687,1000000,12,0.0510,1000000,12
Bandcon.txt,0.1314,44400000,14,0.0832,44400000,14,0.0594,44400000,14,0.0320,,
Basnet.txt,0.6679,2632500,8,0.6586,2632500,8,0.3977,2632500,8,0.3228,2632500,8
Bbnplanet.txt,0.3344,1650,4,0.3307,1650,4,0.2541,1650,4,0.2534,1650,4
Bellcanada.txt,0.2482,775,5,0.2396,775,5,0.2331,775,5,0.1494,775,5
Bellsouth.txt,0.2123,1188000000,16,0.1345,1188000000,16,0.0759,1188000000,16,0.0543,1188000000,16
Belnet2003.txt,0.1735,624850120000,14,0.1249,624850120000,14,0.0822,624850120000,14,0.0783,624850120000,14
Belnet2005.txt,0.5570,96656,5,0.5544,96656,5,0.4405,96656,5,0.4417,96656,5
Belnet2006.txt,1.3749,9535000,6,1.3612,9535000,6,1.2837,9535000,6,1.1185,9535000,6
Belnet2007.txt,0.2515,702,5,0.1806,702,5,0.1770,702,5,0.1735,702,5
Belnet2010.txt,0.1656,22360800,14,0.1404,22360800,14,0.0726,22360800,14,0.0635,22360800,14
BeyondTheNetwork.txt,0.2395,650,4,0.2394,650,4,0.1389,650,4,0.1409,650,4
Bics.txt,0.1363,198000000,15,0.1061,198000000,15,0.0643,198000000,15,0.0561,198000000,15
Biznet.txt,0.2829,921600,11,0.1595,921600,11,0.1561,921600,11,0.0879,921600,11
Bren.txt,0.6027,422500,8,0.4279,422500,8,0.3249,422500,8,0.2216,422500,8
BsonetEurope.txt,0.1783,3080000,13,0.1144,3080000,13,0.1099,3080000,13,0.0743,3080000,13
BtAsiaPac.txt,0.3136,17233920,11,0.2547,17233920,11,0.2041,17233920,11,0.1809,17233920,11
BtEurope.txt,1.0140,2209305,4,1.0016,2209305,4,0.8795,2209305,4,0.8805,2209305,4
Canerie.txt,0.4897,15625,7,0.4838,15625,7,0.3345,15625,7,0.2292,15625,7
Carnet.txt,0.8634,21735000,8,0.8584,21735000,8,0.5169,21735000,8,0.2683,21735000,8
Cernet.txt,0.5965,421875,9,0.3911,421875,9,0.2565,421875,9,0.2552,421875,9
Cesnet1993.txt,0.9432,1056600,7,0.9288,1056600,7,0.7595,1056600,7,0.4913,1056600,7
Cesnet1997.txt,0.2132,110000000,16,0.1317,110000000,16,0.0959,110000000,16,0.0768,110000000,16
Cesnet1999.txt,2.4941,183517875,7,2.4812,183517875,7,2.3010,183517875,7,2.1104,183517875,7
Cesnet200511.txt,0.3775,12794880,11,0.3665,12794880,11,0.2273,12794880,11,0.1486,12794880,11
Cesnet200603.txt,0.1919,604800000,16,0.1474,604800000,16,0.0960,604800000,16,0.0654,604800000,16
Chinanet.txt,0.1629,211200000,16,0.0984,211200000,16,0.0719,211200000,16,0.0556,211200000,16
Cogentco.txt,0.3029,17879040,11,0.2716,17879040,11,0.1470,17879040,11,0.1464,17879040,11
CrlNetworkServices.txt,0.4657,8451840,11,0.3154,8451840,11,0.3063,8451840,11,0.1906,8451840,11
Cynet.txt,0.1824,202800000,16,0.1041,202800000,16,0.0900,202800000,16,0.0610,202800000,16
Deltacom.txt,0.4309,296383950,11,0.3458,296383950,11,0.3131,296383950,11,0.2558,296383950,11
Eenet.txt,0.1970,144000000,16,0.1133,144000000,16,0.0698,144000000,16,0.0651,,
EliBackbone.txt,0.5791,2320000,9,0.5208,2320000,9,0.2682,2320000,9,0.3016,2320000,9
Epoch.txt,0.2907,15625,6,0.1987,15625,6,0.1977,15625,6,0.1298,15625,6
Eunetworks.txt,0.5255,4116875,7,0.3700,4116875,7,0.3690,4116875,7,0.2475,4116875,7
Fatman.txt,0.2913,1094400,11,0.1686,1094400,11,0.1650,1094400,11,0.1140,1094400,11
Fccn.txt,0.5516,1600,4,0.5458,1600,4,0.3670,1600,4,0.3674,1600,4
Garr200109.txt,0.5870,1703765000,9,0.5182,1703765000,9,0.4413,1703765000,9,0.3723,1703765000,9
Garr200112.txt,0.1633,7381000,12,0.1321,7381000,12,0.0765,7381000,12,0.0650,7381000,12
Garr200212.txt,1.5794,81321915600,9,1.4387,81321915600,9,0.9147,81321915600,9,0.9230,81321915600,9
Garr200404.txt,0.1674,10000000,14,0.1349,10000000,14,0.0704,10000000,14,0.0675,10000000,14
Garr200912.txt,0.1906,17303000,15,0.1092,17303000,15,0.0667,17303000,15,0.0554,17303000,15
Garr201003.txt,0.1475,12100000,14,0.0960,12100000,14,0.0640,12100000,14,0.0549,12100000,14
Garr201004.txt,0.3305,625,4,0.3258,625,4,0.2010,625,4,0.2015,625,4
Garr201012.txt,0.4394,783,4,0.4361,783,4,0.2921,783,4,0.2934,783,4
Garr201101.txt,0.1712,10000000,15,0.1312,10000000,15,0.0798,10000000,15,0.0442,10000000,15
Garr201103.txt,0.2962,1440000,11,0.2163,1440000,11,0.1555,1440000,11,0.1540,1440000,11
Garr201107.txt,0.2157,1749600,10,0.1881,1749600,10,0.1313,1749600,10,0.1090,1749600,10
Garr201111.txt,1.8115,132501250,7,1.7158,132501250,7,1.7094,132501250,7,1.5959,132501250,7
Garr201112.txt,1.0024,3346460,4,0.9890,3346460,4,0.8715,3346460,4,0.8779,3346460,4
Gblnet.txt,0.2715,625,5,0.2608,625,5,0.2608,625,5,0.1864,625,5
Getnet.txt,1.2766,3625000,8,0.7241,3625000,8,0.6331,3625000,8,0.5613,,
Globalcenter.txt,0.4000,431926,4,0.3976,431926,4,0.3365,431926,4,0.3410,431926,4
Globenet.txt,0.4732,22400,6,0.4688,22400,6,0.2920,22400,6,0.2234,22400,6
Grena.txt,0.4437,24316875,8,0.4393,24316875,8,0.2907,24316875,8,0.1694,24316875,8
Gridnet.txt,0.2624,625,5,0.2608,625,5,0.2573,625,5,0.2090,625,5
Grnet.txt,0.2581,30250000,15,0.1575,30250000,15,0.1217,30250000,15,0.0891,30250000,15
GtsCe.txt,0.3574,650,5,0.3552,650,5,0.2904,650,5,0.2912,650,5
GtsCzechRepublic.txt,0.2917,1547595,11,0.1934,1547595,11,0.1839,1547595,11,0.1423,1547595,11
GtsHungary.txt,0.3536,56871936,11,0.3377,56871936,11,0.1980,56871936,11,0.1761,56871936,11
GtsPoland.txt,0.1467,17600000,15,0.0867,17600000,15,0.0667,17600000,15,0.0523,17600000,15
GtsSlovakia.txt,0.3559,756,5,0.2928,756,5,0.2914,756,5,0.2909,756,5
Harnet.txt,0.4289,1075,5,0.4236,1075,5,0.4234,1075,5,0.2434,1075,5
Heanet.txt,0.9387,17055450,7,0.5547,17055450,7,0.5484,17055450,7,0.4788,17055450,7
HiberniaCanada.txt,0.1207,36036000,12,0.1089,36036000,12,0.0688,36036000,12,0.0547,,
HiberniaGlobal.txt,0.1635,3241555200,12,0.1552,3241555200,12,0.0984,3241555200,12,0.0769,3241555200,12
HurricaneElectric.txt,0.2192,12000000,15,0.1699,12000000,15,0.1154,12000000,15,0.0736,,
Ibm.txt,0.1966,1082400000,16,0.1217,1082400000,16,0.1188,1082400000,16,0.0810,1082400000,16
Ilan.txt,0.3059,50388000,10,0.2905,50388000,10,0.1635,50388000,10,0.1111,,
Integra.txt,0.4959,523125,9,0.4130,523125,9,0.3472,523125,9,0.2091,523125,9
Intellifiber.txt,0.4402,24050,6,0.4271,24050,6,0.2988,24050,6,0.2005,24050,6
Internode.txt,0.1710,110000000,16,0.0936,110000000,16,0.0849,110000000,16,0.0580,110000000,16
Ion.txt,0.1866,401601200,14,0.1139,401601200,14,0.1117,401601200,14,0.0815,401601200,14
IowaStatewideFiberMap.txt,0.1595,1100000,12,0.1135,1100000,12,0.0762,1100000,12,0.0538,1100000,12
Janetlense.txt,0.2926,1244160,11,0.2776,1244160,11,0.1319,1244160,11,0.1320,1244160,11
Kdl.txt,0.3241,775,4,0.3183,775,4,0.2372,775,4,0.2385,775,4
KentmanApr2007.txt,4.0845,3907926100,5,4.0570,3907926100,5,4.0600,3907926100,5,3.2151,,
KentmanAug2005.txt,0.1596,756,4,0.1542,756,4,0.1115,756,4,0.1120,756,4
KentmanJan2011.txt,0.3012,3481920,11,0.2410,3481920,11,0.2067,3481920,11,0.1680,3481920,11
Kreonet.txt,0.1776,702000000,16,0.1166,702000000,16,0.0765,702000000,16,0.0572,702000000,16
LambdaNet.txt,6.1122,50668090200,6,6.0603,50668090200,6,6.0092,50668090200,6,5.8542,50668090200,6
Layer42.txt,0.2939,1248480,11,0.2562,1248480,11,0.1616,1248480,11,0.1452,1248480,11
Litnet.txt,0.2197,10000000,14,0.1688,10000000,14,0.1015,10000000,14,0.0939,10000000,14
Marwan.txt,0.4349,16250,6,0.2439,16250,6,0.2432,16250,6,0.2171,16250,6
Mren.txt,0.2987,1789952,11,0.2238,1789952,11,0.1409,1789952,11,0.1383,1789952,11
NetworkUsa.txt,0.1876,1058200000,16,0.1056,1058200000,16,0.0894,1058200000,16,0.0618,1058200000,16
Nordu1997.txt,0.1776,154000000,16,0.1253,154000000,16,0.0804,154000000,16,0.0636,154000000,16
Nsfnet.txt,0.1874,39270000,14,0.1381,39270000,14,0.0898,39270000,14,0.0586,39270000,14
Ntt.txt,0.4927,26000,6,0.3742,26000,6,0.3731,26000,6,0.2725,26000,6
Oteglobe.txt,0.1482,2560000,13,0.0906,2560000,13,0.0864,2560000,13,0.0627,2560000,13
Oxford.txt,0.4238,22100,6,0.4199,22100,6,0.2496,22100,6,0.2075,22100,6
Quest.txt,0.4993,1418300,7,0.4906,1418300,7,0.3045,1418300,7,0.2315,1418300,7
RedBestel.txt,0.2037,1827840,11,0.1792,1827840,11,0.1437,1827840,11,0.0922,1827840,11
Rediris.txt,0.4058,226746000,10,0.3225,226746000,10,0.2583,226746000,10,0.2251,226746000,10
