Instance,1_threads_time,1_threads_solutions,1_threads_max_blocks,2_threads_time,2_threads_solutions,2_threads_max_blocks,4_threads_time,4_threads_solutions,4_threads_max_blocks,8_threads_time,8_threads_solutions,8_threads_max_blocks
AsnetAm.txt,3.1666,20064184773096211440000,7,3.1509,20064184773096211440000,7,3.1633,20064184773096211440000,7,3.1541,20064184773096211440000,7
AttMpls.txt,0.0424,138690000,6,0.0425,138690000,6,0.0426,138690000,6,0.0428,138690000,6
Bellcanada.txt,5.4607,1366309453307994000,7,5.4945,1366309453307994000,7,5.4973,1366309453307994000,7,5.4879,1366309453307994000,7
Bellsouth.txt,0.4565,794988832250372760,5,0.4489,794988832250372760,5,0.2736,794988832250372760,5,0.1977,794988832250372760,5
BeyondTheNetwork.txt,0.9715,7960497608448,3,0.5884,7960497608448,3,0.4234,7960497608448,3,0.4235,7960497608448,3
BtNorthAmerica.txt,0.0200,17798747645952,6,0.0151,17798747645952,6,0.0099,17798747645952,6,0.0098,17798747645952,6
Cernet.txt,0.0115,13037563816704,6,0.0085,13037563816704,6,0.0067,13037563816704,6,0.0069,13037563816704,6
Cesnet200706.txt,0.6709,14399767872,3,0.6747,14399767872,3,0.6688,14399767872,3,0.6703,14399767872,3
Cesnet201006.txt,0.0097,61223500800,5,0.0091,61223500800,5,0.0069,61223500800,5,0.0070,61223500800,5
Chinanet.txt,0.0027,7691190,4,0.0023,7691190,4,0.0018,7691190,4,0.0019,7691190,4
Cogentco.txt,timeout,,,timeout,,,timeout,,,timeout,,
Colt.txt,timeout,,,timeout,,,timeout,,,timeout,,
Columbus.txt,9.2859,7165051704986651567,4,8.4808,7165051704986651567,4,6.9429,7165051704986651567,4,6.9387,7165051704986651567,4
Cudi.txt,0.3125,9995373489286260,4,0.2057,9995373489286260,4,0.1344,9995373489286260,4,0.1393,9995373489286260,4
Deltacom.txt,11.5533,3951934041188949052559872439407542961305600,13,11.5976,3951934041188949052559872439407542961305600,13,11.5394,3951934041188949052559872439407542961305600,13,11.5455,3951934041188949052559872439407542961305600,13
DeutscheTelekom.txt,0.0158,1569482805945600,7,0.0122,1569482805945600,7,0.0098,1569482805945600,7,0.0109,1569482805945600,7
Dfn.txt,0.0919,164585098635804000,6,0.0637,164585098635804000,6,0.0640,164585098635804000,6,0.0610,164585098635804000,6
DialtelecomCz.txt,199.1215,20368774221577457181929824667570199495600,7,125.8772,20368774221577457181929824667570199495600,7,122.2784,20368774221577457181929824667570199495600,7,117.0374,20368774221577457181929824667570199495600,7
Esnet.txt,timeout,,,timeout,,,timeout,,,timeout,,
Forthnet.txt,21.4273,29464511615072976,6,21.6832,29464511615072976,6,21.7353,29464511615072976,6,21.8700,29464511615072976,6
Garr200902.txt,0.0366,7824905716064400,7,0.0309,7824905716064400,7,0.0305,7824905716064400,7,0.0320,7824905716064400,7
Garr200908.txt,0.0327,463471976167200,6,0.0266,463471976167200,6,0.0177,463471976167200,6,0.0171,463471976167200,6
Garr200909.txt,0.0152,622464874416000,7,0.0087,622464874416000,7,0.0082,622464874416000,7,0.0085,622464874416000,7
Garr200912.txt,0.0506,2122763494916064,6,0.0367,2122763494916064,6,0.0347,2122763494916064,6,0.0317,2122763494916064,6
Garr201001.txt,0.0213,4162117365182599680,8,0.0170,4162117365182599680,8,0.0131,4162117365182599680,8,0.0135,4162117365182599680,8
Garr201003.txt,0.0885,39991147739136,6,0.0872,39991147739136,6,0.0862,39991147739136,6,0.0863,39991147739136,6
Garr201004.txt,22.2811,2825001498839593800,4,22.3886,2825001498839593800,4,22.0539,2825001498839593800,4,22.1078,2825001498839593800,4
Garr201005.txt,0.0761,7087148919474624,6,0.0687,7087148919474624,6,0.0655,7087148919474624,6,0.0661,7087148919474624,6
Garr201007.txt,1.5464,5336270947998010944,5,1.5466,5336270947998010944,5,1.4180,5336270947998010944,5,1.3935,5336270947998010944,5
Garr201008.txt,0.0649,388166930756280,5,0.0577,388166930756280,5,0.0544,388166930756280,5,0.0418,388166930756280,5
Garr201010.txt,9.1280,148027474414443820,4,9.1361,148027474414443820,4,8.2909,148027474414443820,4,8.3111,148027474414443820,4
Garr201012.txt,0.1506,97131756402639000,6,0.1094,97131756402639000,6,0.0990,97131756402639000,6,0.0992,97131756402639000,6
Garr201101.txt,53.3437,2733651895783360,3,53.5377,2733651895783360,3,50.1270,2733651895783360,3,50.1650,2733651895783360,3
Garr201102.txt,0.1153,289496337962113800,6,0.1070,289496337962113800,6,0.1058,289496337962113800,6,0.0776,289496337962113800,6
Garr201103.txt,0.1946,188664499520640000,6,0.1912,188664499520640000,6,0.1858,188664499520640000,6,0.1704,188664499520640000,6
Garr201104.txt,0.3614,16136087602223714400,6,0.3603,16136087602223714400,6,0.3111,16136087602223714400,6,0.2495,16136087602223714400,6
Garr201105.txt,0.3113,1513246451090613120,6,0.3090,1513246451090613120,6,0.2948,1513246451090613120,6,0.2903,1513246451090613120,6
Garr201107.txt,0.7182,936844463116800,5,0.7215,936844463116800,5,0.7166,936844463116800,5,0.6789,936844463116800,5
Garr201108.txt,0.0885,12012866735768260800,7,0.0661,12012866735768260800,7,0.0635,12012866735768260800,7,0.0648,12012866735768260800,7
Garr201109.txt,0.2942,132270243712681500,5,0.2818,132270243712681500,5,0.2590,132270243712681500,5,0.1980,132270243712681500,5
Garr201110.txt,0.0913,14056537029740766,6,0.0836,14056537029740766,6,0.0818,14056537029740766,6,0.0809,14056537029740766,6
Garr201111.txt,0.3055,5792755250563929648,7,0.2815,5792755250563929648,7,0.2786,5792755250563929648,7,0.2885,5792755250563929648,7
Garr201112.txt,11.0847,374638307489310900,4,10.9450,374638307489310900,4,10.7760,374638307489310900,4,10.7717,374638307489310900,4
Garr201201.txt,0.1153,503920288213159104,6,0.0964,503920288213159104,6,0.0965,503920288213159104,6,0.0574,503920288213159104,6
Geant2009.txt,0.8539,405899646567480,5,0.8564,405899646567480,5,0.8529,405899646567480,5,0.8583,405899646567480,5
Geant2010.txt,0.2144,49350233892960,4,0.1388,49350233892960,4,0.1328,49350233892960,4,0.1339,49350233892960,4
Geant2012.txt,0.0774,8453062741836,4,0.0489,8453062741836,4,0.0411,8453062741836,4,0.0417,8453062741836,4
Globenet.txt,3.7827,3614360512588884541440,5,1.9355,3614360512588884541440,5,1.9322,3614360512588884541440,5,1.9367,3614360512588884541440,5
GtsCe.txt,timeout,,,timeout,,,timeout,,,timeout,,
HiberniaGlobal.txt,10.2018,2074561928035084800000,5,10.1682,2074561928035084800000,5,9.9468,2074561928035084800000,5,9.9162,2074561928035084800000,5
Highwinds.txt,0.0084,2620625,5,0.0084,2620625,5,0.0084,2620625,5,0.0085,2620625,5
Iij.txt,4.8622,74717787200,3,4.8957,74717787200,3,4.8992,74717787200,3,4.9074,74717787200,3
Intellifiber.txt,timeout,,,timeout,,,timeout,,,timeout,,
Internode.txt,0.5182,656798976200400,4,0.4179,656798976200400,4,0.4158,656798976200400,4,0.4185,656798976200400,4
Interoute.txt,0.2781,92298128982085591042551065289360000,12,0.1491,92298128982085591042551065289360000,12,0.1316,92298128982085591042551065289360000,12,0.1129,92298128982085591042551065289360000,12
Intranetwork.txt,0.0251,33747703235280000,7,0.0193,33747703235280000,7,0.0120,33747703235280000,7,0.0130,33747703235280000,7
Ion.txt,timeout,,,timeout,,,timeout,,,timeout,,
Iris.txt,0.0102,71342977305600000,8,0.0060,71342977305600000,8,0.0052,71342977305600000,8,0.0032,71342977305600000,8
Kdl.txt,timeout,,,timeout,,,timeout,,,timeout,,
Latnet.txt,0.2689,304291353642490026193920,8,0.2508,304291353642490026193920,8,0.2175,304291353642490026193920,8,0.2160,304291353642490026193920,8
Missouri.txt,0.0958,57105820983404196432000,8,0.0864,57105820983404196432000,8,0.0689,57105820983404196432000,8,0.0652,57105820983404196432000,8
Ntelos.txt,0.0300,12204588447222183936,8,0.0249,12204588447222183936,8,0.0218,12204588447222183936,8,0.0166,12204588447222183936,8
Ntt.txt,0.0211,8386993056,4,0.0139,8386993056,4,0.0137,8386993056,4,0.0144,8386993056,4
Oteglobe.txt,1.4925,58932142778298816678592512000,8,1.4008,58932142778298816678592512000,8,1.3723,58932142778298816678592512000,8,1.0816,58932142778298816678592512000,8
Palmetto.txt,0.0117,873985074811200,7,0.0080,873985074811200,7,0.0067,873985074811200,7,0.0065,873985074811200,7
Pern.txt,0.0688,768839913291780,5,0.0449,768839913291780,5,0.0410,768839913291780,5,0.0411,768839913291780,5
PionierL3.txt,0.3552,11411355795840,4,0.3506,11411355795840,4,0.3420,11411355795840,4,0.3418,11411355795840,4
RedBestel.txt,3.2229,1619510434492756271902713446400,8,3.0405,1619510434492756271902713446400,8,3.0125,1619510434492756271902713446400,8,2.9883,1619510434492756271902713446400,8
Renater2010.txt,0.0180,54096125107736880,7,0.0112,54096125107736880,7,0.0084,54096125107736880,7,0.0064,54096125107736880,7
RoedunetFibre.txt,0.0104,621254814919200,7,0.0063,621254814919200,7,0.0051,621254814919200,7,0.0059,621254814919200,7
Sinet.txt,0.7832,15071837050368,4,0.7660,15071837050368,4,0.6591,15071837050368,4,0.6577,15071837050368,4
Surfnet.txt,2.0518,3342855333091997118,5,1.9880,3342855333091997118,5,1.9840,3342855333091997118,5,1.9805,3342855333091997118,5
Switch.txt,0.7105,2279438093318474291882336,7,0.5842,2279438093318474291882336,7,0.5640,2279438093318474291882336,7,0.5764,2279438093318474291882336,7
