Instance,#cols,#rows,DXD_T1,Solutions,Max Blocks,|ZDD|,|DNNF|
AsnetAm.txt,83,17209,220.3816,10940176835337547967924371034466868710630875677480103542870936241337139500367104,15,,21808
AttMpls.txt,43,3818,8.8193,332079085047889148852050485582652086278656000,7,,4944
Bellcanada.txt,79,10336,564.0499,21734494071839738913800372841092339928806213887682976,6,,37684
Bellsouth.txt,92,7366,39.6895,25499846072471603994198597758742212232593756141300827054153268206047828847968750000000000000000000000,23,,19067
BeyondTheNetwork.txt,54,22189,606.5178,2295287706099684505114490054400,7,,22795
BtNorthAmerica.txt,48,21971,599.3215,77832850131400759213277281147715111455060618217472,7,,27184
Cernet.txt,38,9564,78.1742,999911045595155186882207018646590760,7,,8744
Cesnet200706.txt,33,7618,32.9939,26379159737915280007275994063063067339520,7,,9545
Cesnet201006.txt,40,4525,9.5475,80299268806739645462729470199902374912,9,,4085
Chinanet.txt,41,10731,50.0881,176727991793056467571205005439579591987494173900,10,,10773
Cogentco.txt,197,4568,TO,,,,
Colt.txt,142,9260,991.3506,1689163681250005833547215512283891717896679964994070256658525395487885885518711535450845316906609600,9,,191409
Columbus.txt,87,13380,188.3147,5090009455158177059209193331838145145990297840,10,,12302
Cudi.txt,88,6257,30.6956,98887636113082547323646407045739194489389917934081369993997279669055703758187244382982871449600,15,,7683
Deltacom.txt,82,14172,692.0050,1281700296008735372858250382438130552640,9,,9952
DeutscheTelekom.txt,76,11986,1183.0792,830092987687112518055852931366741759752919843750000000000,11,,53944
Dfn.txt,58,6748,621.2904,52708983971456817471099323712565054699137671799041662076197844057507161465336462002221118240,5,,535160
DialtelecomCz.txt,200,11332,1199.7087,150613714105720391095453664020662786243696345146138543367067615803011599351747477939078717990517939704097645666746368,41,,86316
Esnet.txt,55,11716,122.1243,102339557612778829053460458922240934506659840,17,,14262
Forthnet.txt,66,3953,19.5146,546450507006957294468261464125560707481600,13,,3979
Garr200902.txt,51,7717,70.7893,144954582223854446917895755730894050587033600,7,,9607
Garr200908.txt,51,5685,22.7200,149557807934502940246059184369284846005760,9,,5712
Garr200909.txt,53,6924,85.6125,1015814853378741778651688378867374211652608030036700,12,,9880
Garr200912.txt,54,16655,313.0104,302484739320686513198704378660573950216000000,9,,13855
Garr201001.txt,53,8063,74.0288,492173555273235782445110509807618914159532391081780400,15,,9530
Garr201003.txt,54,17774,275.9346,4638858188061670631035222623544784343959242100869939200,8,,15857
Garr201004.txt,54,18136,384.0414,1379038779832011838688761591791769248162786698487398400,14,,19917
Garr201005.txt,53,5444,29.4378,2293097254697450131457776011042855581295873607716000000,13,,8010
Garr201007.txt,53,17345,494.4349,39747929163012952611440662382722282096715815018884000,7,,22196
Garr201008.txt,53,9366,93.4548,441017805172365879603264736562302156800,15,,8721
Garr201010.txt,55,12866,196.9879,215075245475688008898001197069296849560769377861632,13,,12228
Garr201012.txt,55,14952,326.6728,2988224155251923877291845483530704354380312412422257413980160,10,,22294
Garr201101.txt,55,15690,484.7238,573317548987789097336271960547973429726112,10,,16739
Garr201102.txt,57,14448,155.1774,1033590414327575680675386997247699230337689791329716392796160000,14,,14839
Garr201103.txt,60,12479,187.7678,2147459890664978716183667828077727376557650326161719296000,16,,15974
Garr201104.txt,64,16525,299.2005,909510916109358425971111718400000,10,,12397
Garr201105.txt,64,18850,631.8775,1487141964678119852732414161820029822087541329161798471707622574080,11,,30839
Garr201107.txt,64,7145,143.4144,5517758818636015254504835994479401091772350800,5,,13572
Garr201108.txt,64,6962,53.6622,483513403404754255153502412978375508469243230663666040832000000000,16,,8769
Garr201109.txt,64,16755,889.4255,5771080089975474743530695183060166656,7,,17812
Garr201110.txt,64,7380,49.9357,70827947477273144207346637473284640342509260800000,10,,8165
Garr201111.txt,63,3785,26.5962,217033881231731069977192965857031193110773760000,15,,5407
Garr201112.txt,65,4258,35.4851,18280671064677937442888167436526553379132166550703285867361024,26,,7155
Garr201201.txt,66,15242,452.3425,36795491472742327066416773771513905534902959150926762201912934400,9,,33549
