Instance,#cols,#rows,DLX,Solutions,Max Blocks,|ZDD|,|DNNF|
AsnetAm.txt,,,TO,,,,
AttMpls.txt,34,124,13.4413,138690000,,,
Bellcanada.txt,,,TO,,,,
Bellsouth.txt,,,TO,,,,
BeyondTheNetwork.txt,,,TO,,,,
BtNorthAmerica.txt,,,TO,,,,
Cernet.txt,,,TO,,,,
Cesnet200706.txt,,,TO,,,,
Cesnet201006.txt,,,TO,,,,
Chinanet.txt,34,135,2.5058,7691190,,,
Cogentco.txt,,,TO,,,,
Colt.txt,,,TO,,,,
Columbus.txt,,,TO,,,,
Cudi.txt,,,TO,,,,
Deltacom.txt,,,TO,,,,
DeutscheTelekom.txt,,,TO,,,,
Dfn.txt,,,TO,,,,
DialtelecomCz.txt,,,TO,,,,
Esnet.txt,,,TO,,,,
Forthnet.txt,,,TO,,,,
Garr200902.txt,,,TO,,,,
Garr200908.txt,,,TO,,,,
Garr200909.txt,,,TO,,,,
Garr200912.txt,,,TO,,,,
Garr201001.txt,,,TO,,,,
Garr201003.txt,,,TO,,,,
Garr201004.txt,,,TO,,,,
Garr201005.txt,,,TO,,,,
Garr201007.txt,,,TO,,,,
Garr201008.txt,,,TO,,,,
Garr201010.txt,,,TO,,,,
Garr201012.txt,,,TO,,,,
Garr201101.txt,,,TO,,,,
Garr201102.txt,,,TO,,,,
Garr201103.txt,,,TO,,,,
Garr201104.txt,,,TO,,,,
Garr201105.txt,,,TO,,,,
Garr201107.txt,,,TO,,,,
Garr201108.txt,,,TO,,,,
Garr201109.txt,,,TO,,,,
Garr201110.txt,,,TO,,,,
Garr201111.txt,,,TO,,,,
Garr201112.txt,,,TO,,,,
Garr201201.txt,,,TO,,,,
Geant2009.txt,,,TO,,,,
Geant2010.txt,,,TO,,,,
Geant2012.txt,,,TO,,,,
Globenet.txt,,,TO,,,,
GtsCe.txt,,,TO,,,,
HiberniaGlobal.txt,,,TO,,,,
Highwinds.txt,29,123,0.7630,2620625,,,
Iij.txt,,,TO,,,,
Intellifiber.txt,,,TO,,,,
Internode.txt,,,TO,,,,
Interoute.txt,,,TO,,,,
Intranetwork.txt,,,TO,,,,
Ion.txt,,,TO,,,,
Iris.txt,,,TO,,,,
Kdl.txt,339,187759,0.2992 (WARNING: 0 solutions),0,,,
Latnet.txt,,,TO,,,,
Missouri.txt,,,TO,,,,
Ntelos.txt,,,TO,,,,
Ntt.txt,,,TO,,,,
Oteglobe.txt,,,TO,,,,
Palmetto.txt,,,TO,,,,
Pern.txt,,,TO,,,,
PionierL3.txt,,,TO,,,,
RedBestel.txt,,,TO,,,,
Renater2010.txt,,,TO,,,,
RoedunetFibre.txt,,,TO,,,,
Sinet.txt,,,TO,,,,
Surfnet.txt,,,TO,,,,
Switch.txt,,,TO,,,,
SwitchL3.txt,,,TO,,,,
Syringa.txt,,,TO,,,,
TataNld.txt,,,TO,,,,
Telcove.txt,,,TO,,,,
Tinet.txt,,,TO,,,,
Tw.txt,,,TO,,,,
Ulaknet.txt,,,TO,,,,
Uninett2010.txt,,,TO,,,,
Uninett2011.txt,,,TO,,,,
UsCarrier.txt,,,TO,,,,
UsSignal.txt,,,TO,,,,
Uunet.txt,,,TO,,,,
VtlWavenet2008.txt,,,TO,,,,
VtlWavenet2011.txt,,,TO,,,,
bell-06.ec,6,63,0.0000,203,,,
bell-07.ec,7,127,0.0001,877,,,
bell-08.ec,8,255,0.0006,4140,,,
bell-09.ec,9,511,0.0039,21147,,,
bell-10.ec,10,1023,0.0256,115975,,,
bell-11.ec,11,2047,0.1586,678570,,,
bell-12.ec,12,4095,1.1718,4213597,,,
delta.txt,126,1194,0.5295,78,,,
dominoes_10x10.txt,,,TO,,,,
dominoes_10x12.txt,,,TO,,,,
dominoes_12x12.txt,,,TO,,,,
dominoes_8x10.txt,80,142,205.8423,1031151241,,,
dominoes_8x8.txt,64,112,2.5495,12988816,,,
doublefact-09.ec,10,45,0.0001,945,,,
doublefact-11.ec,12,66,0.0011,10395,,,
doublefact-13.ec,14,91,0.0144,135135,,,
doublefact-15.ec,16,120,0.2175,2027025,,,
doublefact-17.ec,18,153,3.7067,34459425,,,
doublefact-19.ec,20,190,75.6346,654729075,,,
doublefact-21.ec,,,TO,,,,
doublefact-23.ec,,,TO,,,,
doublefact-25.ec,,,TO,,,,
doublefact-27.ec,,,TO,,,,
doublefact-29.ec,,,TO,,,,
exotic_fives.txt,72,2440,112.0518,31520,,,
grafo10006.98.txt,,,TO,,,,
grafo10017.96.txt,,,TO,,,,
grafo10072.97.txt,,,TO,,,,
grafo10084.97.txt,,,TO,,,,
grafo10093.98.txt,,,TO,,,,
grafo10099.94.txt,,,TO,,,,
grafo10100.99.txt,,,TO,,,,
grafo10105.93.txt,,,TO,,,,
grafo10112.98.txt,,,TO,,,,
grafo10113.94.txt,,,TO,,,,
grafo10116.100.txt,,,TO,,,,
grafo10124.100.txt,,,TO,,,,
grafo10126.98.txt,,,TO,,,,
grafo10129.99.txt,,,TO,,,,
grafo10130.97.txt,,,TO,,,,
grafo10146.97.txt,,,TO,,,,
grafo10151.94.txt,,,TO,,,,
grafo10153.100.txt,,,TO,,,,
grafo10156.97.txt,,,TO,,,,
grafo10160.96.txt,,,TO,,,,
grafo10161.99.txt,,,TO,,,,
grafo10162.93.txt,,,TO,,,,
grafo10164.98.txt,,,TO,,,,
grafo10171.99.txt,,,TO,,,,
grafo10173.97.txt,,,TO,,,,
grafo10175.99.txt,,,TO,,,,
grafo10176.97.txt,,,TO,,,,
grafo10179.97.txt,,,TO,,,,
grafo10184.100.txt,,,TO,,,,
grafo10195.99.txt,,,TO,,,,
grafo10203.97.txt,,,TO,,,,
grafo10204.100.txt,,,TO,,,,
grafo10205.97.txt,,,TO,,,,
grafo10207.98.txt,,,TO,,,,
grafo10209.99.txt,,,TO,,,,
grafo10215.93.txt,,,TO,,,,
grafo10218.99.txt,,,TO,,,,
grafo10220.97.txt,,,TO,,,,
grafo10223.100.txt,,,TO,,,,
grafo10237.100.txt,,,TO,,,,
grafo10244.99.txt,,,TO,,,,
grafo10250.100.txt,,,TO,,,,
grafo10259.100.txt,,,TO,,,,
grafo10262.100.txt,,,TO,,,,
grafo10265.100.txt,,,TO,,,,
grafo10266.94.txt,,,TO,,,,
grafo10269.99.txt,,,TO,,,,
grafo10273.97.txt,,,TO,,,,
grafo10275.97.txt,,,TO,,,,
grafo10288.95.txt,,,TO,,,,
grafo10291.93.txt,,,TO,,,,
grafo10292.100.txt,,,TO,,,,
grafo10293.99.txt,,,TO,,,,
grafo10297.98.txt,,,TO,,,,
grafo10298.97.txt,,,TO,,,,
grafo10303.96.txt,,,TO,,,,
grafo10305.100.txt,,,TO,,,,
grafo10318.98.txt,,,TO,,,,
grafo10325.96.txt,,,TO,,,,
grafo10327.97.txt,,,TO,,,,
grafo10339.95.txt,,,TO,,,,
grafo10346.97.txt,,,TO,,,,
grafo10351.97.txt,,,TO,,,,
grafo10353.99.txt,,,TO,,,,
grafo10354.99.txt,,,TO,,,,
grafo10359.95.txt,,,TO,,,,
grafo10362.94.txt,,,TO,,,,
grafo10365.97.txt,,,TO,,,,
grafo10369.100.txt,,,TO,,,,
grafo10382.94.txt,,,TO,,,,
grafo10383.99.txt,,,TO,,,,
grafo10387.97.txt,,,TO,,,,
grafo10388.95.txt,,,TO,,,,
grafo10393.96.txt,,,TO,,,,
grafo10405.97.txt,,,TO,,,,
grafo10409.96.txt,,,TO,,,,
grafo10416.96.txt,,,TO,,,,
grafo10418.100.txt,,,TO,,,,
grafo10420.97.txt,,,TO,,,,
grafo10421.99.txt,,,TO,,,,
grafo10426.100.txt,,,TO,,,,
grafo10432.99.txt,,,TO,,,,
grafo10434.98.txt,,,TO,,,,
grafo10436.95.txt,,,TO,,,,
grafo10441.98.txt,,,TO,,,,
grafo10444.100.txt,,,TO,,,,
grafo10445.94.txt,,,TO,,,,
grafo10446.95.txt,,,TO,,,,
grafo10452.94.txt,,,TO,,,,
grafo10453.97.txt,,,TO,,,,
grafo10467.100.txt,,,TO,,,,
grafo10469.100.txt,,,TO,,,,
grafo10474.94.txt,,,TO,,,,
grafo10484.99.txt,,,TO,,,,
grafo10488.98.txt,,,TO,,,,
grafo10489.95.txt,,,TO,,,,
grafo10491.97.txt,,,TO,,,,
grafo10492.96.txt,,,TO,,,,
grafo10496.98.txt,,,TO,,,,
grafo10501.96.txt,,,TO,,,,
grafo10502.91.txt,,,TO,,,,
grafo10508.100.txt,,,TO,,,,
grafo10516.94.txt,,,TO,,,,
grafo10522.99.txt,,,TO,,,,
grafo10523.97.txt,,,TO,,,,
grafo10532.99.txt,,,TO,,,,
grafo10533.100.txt,,,TO,,,,
grafo10534.100.txt,,,TO,,,,
grafo10536.99.txt,,,TO,,,,
grafo10537.95.txt,,,TO,,,,
grafo10538.100.txt,,,TO,,,,
grafo10547.94.txt,,,TO,,,,
grafo10549.99.txt,,,TO,,,,
grafo10552.96.txt,,,TO,,,,
grafo10560.95.txt,,,TO,,,,
grafo10575.99.txt,,,TO,,,,
grafo10577.100.txt,,,TO,,,,
grafo10578.96.txt,,,TO,,,,
grafo10586.100.txt,,,TO,,,,
grafo10589.93.txt,,,TO,,,,
grafo10592.98.txt,,,TO,,,,
grafo10596.99.txt,,,TO,,,,
grafo10603.100.txt,,,TO,,,,
grafo10608.93.txt,,,TO,,,,
grafo10624.91.txt,,,TO,,,,
grafo10626.100.txt,,,TO,,,,
grafo10630.94.txt,,,TO,,,,
grafo10632.100.txt,,,TO,,,,
grafo10633.100.txt,,,TO,,,,
grafo10634.96.txt,,,TO,,,,
grafo10635.95.txt,,,TO,,,,
grafo10637.94.txt,,,TO,,,,
grafo10638.100.txt,,,TO,,,,
grafo10644.100.txt,,,TO,,,,
grafo10646.100.txt,,,TO,,,,
grafo10648.98.txt,,,TO,,,,
grafo10650.98.txt,,,TO,,,,
