Instance,#cols,#rows,DXZ,Solutions,Max Blocks,|ZDD|,|DNNF|
AsnetAm.txt,102,928,0.3301,20064184773096211440000,,281910,
AttMpls.txt,34,124,0.0012,138690000,,2087,
Bellcanada.txt,85,934,0.0609,1366309453307994000,,37327,
Bellsouth.txt,84,678,0.0104,794988832250372760,,8613,
BeyondTheNetwork.txt,75,928,0.0228,7960497608448,,18014,
BtNorthAmerica.txt,55,250,0.0009,17798747645952,,1518,
Cernet.txt,56,237,0.0006,13037563816704,,1039,
Cesnet200706.txt,42,283,0.0091,14399767872,,14412,
Cesnet201006.txt,41,188,0.0004,61223500800,,767,
Chinanet.txt,34,135,0.0002,7691190,,271,
Cogentco.txt,349,22725,,,,,
Colt.txt,264,10901,,,,,
Columbus.txt,125,715,1.6678,7165052741677388207,,934487,
Cudi.txt,71,468,0.0189,9995373489286260,,24056,
Deltacom.txt,193,955,0.0578,3951934041188949052559872439407542961305600,,51709,
DeutscheTelekom.txt,68,283,0.0009,1569482805945600,,1427,
Dfn.txt,93,394,0.0036,164585098635804000,,4957,
DialtelecomCz.txt,246,1810,11.6186,20366989272352555948677506647823731884000,,4420922,
Esnet.txt,115,8971,4.9314,2404212918172947720,,107704,
Forthnet.txt,84,414,0.0491,29464511615072976,,49552,
Garr200902.txt,70,305,0.0013,7824905716064400,,2109,
Garr200908.txt,67,312,0.0019,463471976167200,,3066,
Garr200909.txt,73,272,0.0007,622464874416000,,1155,
Garr200912.txt,69,374,0.0022,2122763494916064,,3360,
Garr201001.txt,82,333,0.0010,4162117365182599680,,1589,
Garr201003.txt,72,313,0.0024,39991147739136,,3839,
Garr201004.txt,92,2459,0.4635,2825001498839593800,,120936,
Garr201005.txt,81,319,0.0028,7087148919474624,,4429,
Garr201007.txt,85,643,0.0187,5336270947998010944,,20124,
Garr201008.txt,69,352,0.0021,388166930756280,,3291,
Garr201010.txt,93,1682,0.2056,148027474414443820,,120278,
Garr201012.txt,83,376,0.0039,97131756402639000,,6113,
Garr201101.txt,83,4082,1.4235,2733651895783360,,136146,
Garr201102.txt,74,389,0.0045,289496337962113800,,7041,
Garr201103.txt,93,607,0.0115,188664499520640000,,12693,
Garr201104.txt,91,583,0.0200,16136087602223714400,,25862,
Garr201105.txt,78,464,0.0067,1513246451090613120,,9462,
Garr201107.txt,91,499,0.0066,936844463116800,,8384,
Garr201108.txt,84,404,0.0030,12012866735768260800,,4382,
Garr201109.txt,89,561,0.0114,132270243712681500,,12628,
Garr201110.txt,78,413,0.0031,14056537029740766,,3766,
Garr201111.txt,86,463,0.0064,5792755250563929648,,8949,
Garr201112.txt,89,1483,0.2169,374638307489310900,,71770,
Garr201201.txt,78,489,0.0036,503920288213159104,,4446,
Geant2009.txt,55,322,0.0094,405899646567480,,14484,
Geant2010.txt,68,378,0.0044,49350233892960,,6390,
Geant2012.txt,62,312,0.0020,8453062741836,,3109,
Globenet.txt,127,1176,0.1283,3614360512588884541440,,82090,
GtsCe.txt,267,7003,,,,,
HiberniaGlobal.txt,105,851,0.2678,2074561928035084800000,,158122,
Highwinds.txt,29,123,0.0004,2620625,,633,
Iij.txt,48,352,0.0388,74717787200,,43085,
Intellifiber.txt,139,10057,51.8025,110051733253260230790546816,,6253348,
Internode.txt,66,473,0.0097,656798976200400,,13343,
Interoute.txt,152,766,0.0073,92298128982085591042551065289360000,,9954,
Intranetwork.txt,73,337,0.0011,33747703235280000,,1933,
Ion.txt,,,TO,,,,
Iris.txt,82,278,0.0008,71342977305600000,,1226,
Kdl.txt,339,187759,0.3197 (WARNING: 0 solutions),0,,0,
Latnet.txt,106,501,0.0049,304291353642490026193920,,6876,
Missouri.txt,109,430,0.0028,57105820983404196432000,,4419,
Ntelos.txt,78,370,0.0010,12204588447222183936,,1740,
Ntt.txt,40,210,0.0007,8386993056,,1128,
Oteglobe.txt,151,809,0.1889,58932142778298816678592512000,,147565,
Palmetto.txt,69,285,0.0009,873985074811200,,1468,
Pern.txt,64,392,0.0031,768839913291780,,4863,
PionierL3.txt,65,279,0.0039,11411355795840,,6341,
RedBestel.txt,150,839,0.0644,1619510434492756271902713446400,,58337,
Renater2010.txt,69,306,0.0008,54096125107736880,,1389,
RoedunetFibre.txt,69,250,0.0008,621254814919200,,1473,
Sinet.txt,66,1545,0.0484,15071837050368,,5479,
Surfnet.txt,88,611,0.1203,3342855333091997118,,110995,
Switch.txt,120,634,0.0579,2279438093318474291882336,,60325,
SwitchL3.txt,54,226,0.0004,2814573775104,,718,
Syringa.txt,126,683,0.4057,10089788438219191257523968000,,245364,
TataNld.txt,247,1196,2.5859,116699270316984507028179654846752222085120000,,1292977,
Telcove.txt,113,1655,0.2474,74165451814712814103255500,,167259,
Tinet.txt,94,548,0.0104,13027376900512716134400,,14557,
Tw.txt,126,868,0.0237,3790029909358778736510720000,,24357,
Ulaknet.txt,84,2437,0.1894,756492510715200,,24032,
Uninett2010.txt,138,1439,1.6996,120545239248463249868042304,,820201,
Uninett2011.txt,,,TO,,,,
UsCarrier.txt,272,2973,7.7840,132299646414148921973967297061663323763487466000,,3087742,
UsSignal.txt,102,631,0.1432,3542621686896383831250,,153875,
Uunet.txt,64,267,0.0021,1505816007051840,,2954,
VtlWavenet2008.txt,160,721,0.3628,124108206211482212912333137920,,266842,
VtlWavenet2011.txt,167,804,0.3157,2067181203168727884189854085729600,,210759,
bell-06.ec,6,63,0.0001,203,,153,
bell-07.ec,7,127,0.0002,877,,423,
bell-08.ec,8,255,0.0007,4140,,1221,
bell-09.ec,9,511,0.0033,21147,,3536,
bell-10.ec,10,1023,0.0181,115975,,10353,
bell-11.ec,11,2047,0.1020,678570,,30548,
bell-12.ec,12,4095,0.5455,4213597,,90621,
delta.txt,126,1194,0.4164,78,,331,
dominoes_10x10.txt,100,180,0.1855,258500842280,,13547,
