Instance,#cols,#rows,DynDXD_T1,Solutions,Max Blocks,|ZDD|,|DNNF|
AsnetAm.txt,102,928,0.2608,20064184773096211440000,7,,26954
AttMpls.txt,34,124,0.0254,138690000,6,,2064
Bellcanada.txt,85,934,0.1949,1366309453307994000,7,,37311
Bellsouth.txt,84,678,44.8329,991776867396686280,10,,8652
BeyondTheNetwork.txt,75,928,3.5362,7960497608448,9,,11470
BtNorthAmerica.txt,55,250,0.0485,17798747645952,8,,1498
Cernet.txt,56,237,0.0517,13037563816704,6,,1028
Cesnet200706.txt,42,283,0.1112,14399767872,5,,14392
Cesnet201006.txt,41,188,0.0393,61223500800,5,,768
Chinanet.txt,34,135,0.0228,9709128,4,,289
Cogentco.txt,349,22725,,,,,
Colt.txt,,,TO,,,,
Columbus.txt,125,715,0.3925,7165051704986651567,6,,27946
Cudi.txt,71,468,0.0631,9995373489286260,5,,10351
Deltacom.txt,193,955,0.1443,3951934041188949052559872439407542961305600,13,,50955
DeutscheTelekom.txt,68,283,0.0323,1569482805945600,7,,1395
Dfn.txt,93,394,0.1192,168220106949232800,6,,4944
DialtelecomCz.txt,246,1810,23.9434,20631404115811925258683046579736751590000,12,,397908
Esnet.txt,,,TO,,,,
Forthnet.txt,84,414,0.0926,29464511615072976,6,,28854
Garr200902.txt,70,305,0.1668,7824905716064400,7,,2089
Garr200908.txt,67,312,0.1096,463471976167200,8,,1937
Garr200909.txt,73,272,0.0940,622464874416000,8,,1109
Garr200912.txt,69,374,0.1046,2122763494916064,6,,2957
Garr201001.txt,82,333,0.0343,4162117365182599680,8,,1585
Garr201003.txt,72,313,0.0762,39991147739136,6,,3812
Garr201004.txt,92,2459,111.3230,2825001498839593800,7,,91725
Garr201005.txt,81,319,0.0853,7087148919474624,6,,3416
Garr201007.txt,85,643,1.5858,5336270947998010944,6,,20051
Garr201008.txt,69,352,0.4956,388166930756280,5,,3226
Garr201010.txt,93,1682,1.1001,148027474414443820,6,,59940
Garr201012.txt,83,376,0.3275,97131756402639000,6,,5887
Garr201101.txt,,,TO,,,,
Garr201102.txt,74,389,0.1318,289823452468285680,6,,4625
Garr201103.txt,93,607,2.5922,188664499520640000,10,,5494
Garr201104.txt,91,583,0.1344,16136087602223714400,6,,10036
Garr201105.txt,78,464,0.2069,1513246451090613120,6,,8371
Garr201107.txt,91,499,2.1525,936844463116800,9,,8162
Garr201108.txt,84,404,0.5032,12012866735768260800,7,,4293
Garr201109.txt,89,561,2.1065,132270243712681500,7,,7507
Garr201110.txt,78,413,2.1436,14056537029740766,9,,2874
Garr201111.txt,86,463,0.1721,5792755250563929648,7,,8928
Garr201112.txt,89,1483,24.1413,374638307489310900,7,,71720
Garr201201.txt,78,489,0.5834,503920288213159104,8,,4342
Geant2009.txt,55,322,0.0523,405899646567480,5,,12520
Geant2010.txt,68,378,0.0921,49350233892960,5,,6362
Geant2012.txt,62,312,0.0996,8453062741836,7,,3061
Globenet.txt,127,1176,0.6530,3760637060191819530240,8,,24710
GtsCe.txt,,,TO,,,,
HiberniaGlobal.txt,105,851,1.3378,2074561928035084800000,7,,50046
Highwinds.txt,29,123,0.1051,2620625,7,,545
Iij.txt,48,352,0.1997,74717787200,5,,42836
Intellifiber.txt,,,TO,,,,
Internode.txt,66,473,0.2234,656798976200400,5,,10985
Interoute.txt,152,766,0.0638,92298128982085591042551065289360000,12,,9212
Intranetwork.txt,73,337,0.0294,33747703235280000,7,,1924
Ion.txt,219,84322,,,,,
Iris.txt,82,278,0.0192,71342977305600000,8,,1057
Kdl.txt,339,187759,,,,,
Latnet.txt,106,501,0.0865,304291353642490026193920,8,,6423
Missouri.txt,109,430,0.0234,57105820983404196432000,8,,4419
Ntelos.txt,78,370,0.0528,12713112965856441600,8,,1735
Ntt.txt,40,210,0.0912,8386993056,5,,1091
Oteglobe.txt,151,809,0.2954,58932142778298816678592512000,8,,25841
Palmetto.txt,69,285,0.0324,913711669120800,7,,1047
Pern.txt,64,392,0.1062,768839913291780,6,,3059
PionierL3.txt,65,279,0.0479,11411355795840,4,,5493
RedBestel.txt,150,839,0.2233,1619510434492756271902713446400,8,,30114
Renater2010.txt,69,306,0.0491,54096125107736880,7,,1383
RoedunetFibre.txt,69,250,0.0294,621254814919200,7,,1071
Sinet.txt,66,1545,0.1982,15123236284800,4,,5480
Surfnet.txt,88,611,1.4894,3609619292733656052,6,,24186
Switch.txt,120,634,0.1206,2279438093318474291882336,7,,15107
SwitchL3.txt,54,226,0.0422,2814573775104,6,,695
Syringa.txt,126,683,0.1675,10089788438219191257523968000,8,,68845
TataNld.txt,247,1196,0.1899,116699270316984507028179654846752222085120000,12,,40446
Telcove.txt,113,1655,7.8489,74165451814712814103255500,6,,37800
Tinet.txt,94,548,0.1649,13027376900512716134400,7,,14518
Tw.txt,126,868,1.0961,3790029909358778736510720000,8,,16327
Ulaknet.txt,84,2437,117.7205,756492510715200,7,,23960
Uninett2010.txt,138,1439,3.1939,120545239248463249868042304,6,,76829
Uninett2011.txt,136,48537,,,,,
UsCarrier.txt,272,2973,1.0531,132299646414148921973967297061663323763487466000,12,,47705
UsSignal.txt,102,631,0.0905,3542621686896383831250,6,,17384
Uunet.txt,64,267,0.0298,1505816007051840,6,,1907
VtlWavenet2008.txt,160,721,0.2088,124108206211482212912333137920,6,,87055
VtlWavenet2011.txt,167,804,0.4185,2067181203168727884189854085729600,7,,203735
bell-06.ec,6,63,0.0008,203,1,,153
bell-07.ec,7,127,0.0053,877,1,,423
bell-08.ec,8,255,0.0455,4140,1,,1221
bell-09.ec,9,511,0.4484,21147,1,,3536
bell-10.ec,10,1023,8.4732,115975,1,,10353
bell-11.ec,11,2047,100.8371,678570,1,,30548
bell-12.ec,,,TO,,,,
delta.txt,126,1194,4.9495,78,1,,331
dominoes_10x10.txt,100,180,0.0189,258500842280,1,,13547
dominoes_10x12.txt,120,218,0.0265,65727306209773,1,,17596
dominoes_12x12.txt,144,264,0.1401,53060477521960000,1,,73857
dominoes_8x10.txt,80,142,0.0043,1031151241,1,,3209
dominoes_8x8.txt,64,112,0.0030,12988816,1,,2316
doublefact-09.ec,10,45,0.0006,945,1,,332
doublefact-11.ec,12,66,0.0018,10395,1,,1076
doublefact-13.ec,14,91,0.0058,135135,1,,3361
doublefact-15.ec,16,120,0.0167,2027025,1,,10226
doublefact-17.ec,18,153,0.0502,34459425,1,,30510
doublefact-19.ec,20,190,0.1561,654729075,1,,89665
doublefact-21.ec,22,231,0.5164,13749310575,1,,260376
doublefact-23.ec,24,276,1.9334,316234143225,1,,748776
doublefact-25.ec,26,325,5.9256,7905853580625,1,,2135980
doublefact-27.ec,28,378,19.5883,213458046676875,1,,6052004
doublefact-29.ec,30,435,57.9330,6190283353629375,1,,17048550
exotic_fives.txt,72,2440,769.3598,31533,1,,184086
grafo10006.98.txt,158,985,0.7236,272471817868228000342011539250,8,,96371
grafo10017.96.txt,,,TO,,,,
grafo10072.97.txt,158,798,3.4717,13882564183497261340443390,6,,413935
grafo10084.97.txt,164,1260,0.2031,2215710702367944079837593600,7,,22169
grafo10093.98.txt,160,653,0.0526,12011373629043051434493001680,8,,11919
grafo10099.94.txt,153,885,0.7677,39349088628024795597276038431211520,8,,285228
grafo10100.99.txt,169,735,0.7789,7977811134928620432600,8,,110921
grafo10105.93.txt,163,2363,29.7161,1676553521883156572140836000,6,,171315
grafo10112.98.txt,170,1324,0.8071,12692278449485651553820752512837640,7,,233398
grafo10113.94.txt,149,719,0.3722,13552406625123665520153488091360,7,,124889
