Instance,#cols,#rows,MDLX,Solutions,Max Blocks,|ZDD|,|DNNF|
AsnetAm.txt,102,928,5.1880,20064184773096211440000,9,,
AttMpls.txt,34,124,0.0976,138690000,6,,
Bellcanada.txt,85,934,11.5931,1366309453307994000,11,,
Bellsouth.txt,84,678,0.3759,794988832250372760,12,,
BeyondTheNetwork.txt,75,928,0.7974,7960497608448,12,,
BtNorthAmerica.txt,55,250,0.0199,17798747645952,8,,
Cernet.txt,56,237,0.0116,13037563816704,6,,
Cesnet200706.txt,42,283,1.4327,14399767872,7,,
Cesnet201006.txt,41,188,0.0106,61223500800,5,,
Chinanet.txt,34,135,0.0033,7691190,5,,
Cogentco.txt,,,TO,,,,
Colt.txt,,,TO,,,,
Columbus.txt,125,715,14.9695,7165051704986651567,13,,
Cudi.txt,71,468,0.2700,9995373489286260,6,,
Deltacom.txt,193,955,24.6851,3951934041188949052559872439407542961305600,13,,
DeutscheTelekom.txt,68,283,0.0183,1569482805945600,7,,
Dfn.txt,93,394,0.1283,164585098635804000,10,,
DialtelecomCz.txt,246,1810,193.0759,20368774221577457181929824667570199495600,14,,
Esnet.txt,,,TO,,,,
Forthnet.txt,84,414,39.6097,29464511615072976,13,,
Garr200902.txt,70,305,0.0557,7824905716064400,7,,
Garr200908.txt,67,312,0.0299,463471976167200,8,,
Garr200909.txt,73,272,0.0205,622464874416000,8,,
Garr200912.txt,69,374,0.0594,2122763494916064,6,,
Garr201001.txt,82,333,0.0292,4162117365182599680,8,,
Garr201003.txt,72,313,0.1684,39991147739136,6,,
Garr201004.txt,92,2459,39.9529,2825001498839593800,13,,
Garr201005.txt,81,319,0.1511,7087148919474624,8,,
Garr201007.txt,85,643,2.7126,5336270947998010944,9,,
Garr201008.txt,69,352,0.0777,388166930756280,6,,
Garr201010.txt,93,1682,17.6139,148027474414443820,13,,
Garr201012.txt,83,376,0.2280,97131756402639000,6,,
Garr201101.txt,83,4082,79.3165,2733651895783360,15,,
Garr201102.txt,74,389,0.1541,289496337962113800,6,,
Garr201103.txt,93,607,0.3024,188664499520640000,10,,
Garr201104.txt,91,583,0.4990,16136087602223714400,8,,
Garr201105.txt,78,464,0.6170,1513246451090613120,6,,
Garr201107.txt,91,499,1.4370,936844463116800,11,,
Garr201108.txt,84,404,0.1169,12012866735768260800,8,,
Garr201109.txt,89,561,0.3560,132270243712681500,11,,
Garr201110.txt,78,413,0.1511,14056537029740766,9,,
Garr201111.txt,86,463,0.6084,5792755250563929648,8,,
Garr201112.txt,89,1483,19.7614,374638307489310900,14,,
Garr201201.txt,78,489,0.1000,503920288213159104,10,,
Geant2009.txt,55,322,1.8392,405899646567480,7,,
Geant2010.txt,68,378,0.2831,49350233892960,7,,
Geant2012.txt,62,312,0.0891,8453062741836,7,,
Globenet.txt,127,1176,3.7433,3614360512588884541440,14,,
GtsCe.txt,,,TO,,,,
HiberniaGlobal.txt,105,851,20.4138,2074561928035084800000,10,,
Highwinds.txt,29,123,0.0173,2620625,7,,
Iij.txt,48,352,11.0289,74717787200,8,,
Intellifiber.txt,,,TO,,,,
Internode.txt,66,473,0.8799,656798976200400,9,,
Interoute.txt,152,766,0.2161,92298128982085591042551065289360000,12,,
Intranetwork.txt,73,337,0.0221,33747703235280000,7,,
Ion.txt,,,TO,,,,
Iris.txt,82,278,0.0057,71342977305600000,8,,
Kdl.txt,,,TO,,,,
Latnet.txt,106,501,0.4552,304291353642490026193920,9,,
Missouri.txt,109,430,0.1425,57105820983404196432000,8,,
Ntelos.txt,78,370,0.0265,12204588447222183936,8,,
Ntt.txt,40,210,0.0245,8386993056,5,,
Oteglobe.txt,151,809,2.2461,58932142778298816678592512000,9,,
Palmetto.txt,69,285,0.0120,873985074811200,7,,
Pern.txt,64,392,0.0748,768839913291780,6,,
PionierL3.txt,65,279,0.7065,11411355795840,6,,
RedBestel.txt,150,839,7.0713,1619510434492756271902713446400,9,,
Renater2010.txt,69,306,0.0098,54096125107736880,7,,
RoedunetFibre.txt,69,250,0.0093,621254814919200,7,,
Sinet.txt,66,1545,0.6740,15071837050368,14,,
Surfnet.txt,88,611,4.4808,3342855333091997118,7,,
Switch.txt,120,634,1.2777,2279438093318474291882336,8,,
