instance,Dyn_time,Dyn_cc_cpu_time,DXD_time,DXD_cc_cpu_time
AsnetAm,0.162088,0.013934,0.193733,0.040131
AttMpls,0.005426,0.001150,0.007035,0.002169
Bellcanada,0.210242,0.021565,0.250664,0.062402
Bellsouth,0.040303,0.004839,0.050166,0.010644
BeyondTheNetwork,0.066671,0.006544,0.077254,0.016834
BtNorthAmerica,0.004166,0.000807,0.004961,0.001282
Cernet,0.002705,0.000512,0.003244,0.000735
Cesnet200706,0.041238,0.007685,0.055627,0.016098
Cesnet201006,0.001968,0.000376,0.002782,0.000568
Chinanet,0.000878,0.000133,0.001093,0.000254
Columbus,0.088652,0.016513,0.120564,0.048396
Cudi,0.030325,0.005785,0.038128,0.011151
Deltacom,0.132488,0.029871,0.174741,0.075461
DeutscheTelekom,0.003792,0.000793,0.004576,0.001034
Dfn,0.016230,0.002900,0.018858,0.005749
DialtelecomCz,1.431119,0.239730,1.854728,0.807877
Forthnet,0.084069,0.016685,0.129812,0.059827
Garr200902,0.006078,0.001149,0.007286,0.001864
Garr200908,0.005732,0.001162,0.006824,0.001625
Garr200909,0.003360,0.000683,0.003739,0.000954
Garr200912,0.009074,0.001626,0.011291,0.002685
Garr201001,0.003979,0.000859,0.004846,0.001323
Garr201003,0.011154,0.002111,0.014001,0.003591
Garr201004,1.140484,0.052841,1.259138,0.180089
Garr201005,0.009093,0.001873,0.011499,0.003337
Garr201007,0.077408,0.011008,0.093742,0.024874
Garr201008,0.009717,0.001783,0.011489,0.003017
Garr201010,0.362394,0.032672,0.457998,0.092899
Garr201012,0.016331,0.003355,0.020444,0.005865
Garr201101,3.340316,0.079305,3.638219,0.332853
Garr201102,0.012693,0.002491,0.016095,0.003978
Garr201103,0.025614,0.003150,0.029560,0.006823
Garr201104,0.035985,0.005607,0.043693,0.011177
Garr201105,0.026805,0.004507,0.033616,0.009538
Garr201107,0.029131,0.004616,0.035409,0.009307
Garr201108,0.012940,0.002433,0.015693,0.004376
Garr201109,0.034835,0.004456,0.038103,0.009044
Garr201110,0.011997,0.001733,0.013463,0.003138
Garr201111,0.028930,0.004859,0.035721,0.010420
Garr201112,0.665382,0.041218,0.757938,0.133416
Garr201201,0.015812,0.002411,0.018550,0.004374
Geant2009,0.036304,0.006981,0.048470,0.014757
Geant2010,0.019151,0.003488,0.024078,0.007310
Geant2012,0.008961,0.001675,0.010836,0.003091
Globenet,0.168368,0.014442,0.201238,0.043813
HiberniaGlobal,0.188799,0.027760,0.250769,0.076550
Highwinds,0.002065,0.000363,0.002161,0.000569
Iij,0.130558,0.023817,0.176866,0.059935
Internode,0.036010,0.006083,0.045950,0.013085
Interoute,0.026964,0.005118,0.033625,0.009167
Intranetwork,0.005301,0.000968,0.006361,0.001541
Iris,0.002744,0.000617,0.003284,0.000816
Latnet,0.017618,0.003604,0.021736,0.007274
Missouri,0.011526,0.002444,0.014570,0.004141
Ntelos,0.004789,0.000872,0.005926,0.001317
Ntt,0.003183,0.000626,0.003838,0.000844
Oteglobe,0.084545,0.014843,0.109529,0.035713
Palmetto,0.002969,0.000550,0.003518,0.000843
Pern,0.009887,0.001704,0.011428,0.002742
PionierL3,0.014407,0.002949,0.018924,0.005469
RedBestel,0.083006,0.017205,0.115096,0.043608
Renater2010,0.003579,0.000681,0.004358,0.000969
RoedunetFibre,0.002714,0.000577,0.003374,0.000800
Sinet,0.129770,0.003267,0.141969,0.009797
Surfnet,0.071859,0.013365,0.098961,0.030973
Switch,0.044428,0.008279,0.058784,0.018541
SwitchL3,0.001963,0.000377,0.002408,0.000550
Syringa,0.186161,0.039402,0.248649,0.097463
TataNld,0.116848,0.022651,0.157369,0.055716
Telcove,0.254610,0.020481,0.292588,0.049213
Tinet,0.040744,0.008206,0.053209,0.017785
Tw,0.063147,0.009322,0.075295,0.020122
Ulaknet,0.573725,0.013581,0.595344,0.038589
Uninett2010,0.328161,0.042839,0.434164,0.123164
UsCarrier,1.083180,0.029853,1.249803,0.155946
UsSignal,0.053472,0.009234,0.069525,0.018952
Uunet,0.004956,0.001097,0.006037,0.001628
VtlWavenet2008,0.256595,0.051473,0.338469,0.164969
VtlWavenet2011,0.596544,0.117194,0.819247,0.341510
grafo10006.98,0.296990,0.055262,0.395891,0.152382
grafo10072.97,1.292751,0.250289,1.491490,0.762253
grafo10084.97,0.138192,0.012792,0.175908,0.047243
grafo10093.98,0.032378,0.006712,0.041696,0.013692
