instance,Dyn_time,Dyn_cc_cpu_time,DXD_time,DXD_cc_cpu_time
delta,2.789427,1.439345,28.199091,15.795472
meteor,157.893040,153.874363,32.636658,11.291517
sppnw08,0.262811,0.175866,0.103902,0.014297
sppnw09,163.648796,14.444154,164.840792,13.466149
sppnw10,3.031827,2.663540,0.394520,0.029229
sppnw12,0.127969,0.002148,0.136284,0.008377
sppnw15,0.018988,0.000921,0.029162,0.006304
sppnw19,429.566416,406.091095,26.142719,2.553919
sppnw20,0.964231,0.759212,0.232268,0.017688
sppnw21,1.150818,1.049939,0.122806,0.014775
sppnw22,3.294671,3.134023,0.198878,0.023232
sppnw23,0.093041,0.002471,0.096493,0.004766
sppnw24,40.274617,39.736601,0.563542,0.018542
sppnw25,53.769107,53.035582,0.780650,0.028773
sppnw26,3.762874,3.691078,0.080264,0.007183
sppnw27,4.040332,3.607606,0.463798,0.023326
sppnw28,2.867179,2.808961,0.061776,0.002762
sppnw29,886.814663,879.012520,8.048608,0.176903
sppnw30,427.137507,423.771504,3.451362,0.107344
sppnw31,354.803749,352.839975,2.021289,0.082797
sppnw32,0.020603,0.001749,0.023726,0.002696
sppnw33,1229.739473,1224.629939,5.188538,0.137156
sppnw34,12.684799,12.455150,0.248864,0.019890
sppnw35,21.764243,20.430950,1.444316,0.078012
sppnw36,230.909240,230.259514,0.602466,0.020428
sppnw37,2.078456,1.773998,0.340344,0.022849
sppnw38,0.223224,0.002616,0.242021,0.009716
sppnw39,2.811018,2.585723,0.266766,0.026311
sppnw40,0.448997,0.382888,0.079234,0.008570
sppnw41,0.043756,0.025561,0.023895,0.003149
sppnw42,0.511608,0.288319,0.239261,0.012396
sppnw43,2.244913,0.062362,2.327305,0.097492
