dataset,instance,input,ett_max_calls,status,time_s,error,Status,Init_Graph_E,Query,Splits,ETT_cc_times,ETT_dec_calls,ETT_DXD_V,ETT_DXD_E,ETT_Vd,ETT_Ed,ETT_Er
dominoes_set,dominoes_10x10,data/batch_2/dominoes_set/dominoes_10x10.txt,,success,0.019094,,1,484,4,0,3,4,708,1907,8,23,9
dominoes_set,dominoes_10x12,data/batch_2/dominoes_set/dominoes_10x12.txt,,success,0.026772,,1,592,4,0,3,4,860,2339,8,23,7
dominoes_set,dominoes_12x12,data/batch_2/dominoes_set/dominoes_12x12.txt,,success,0.138686,,1,724,4,0,3,4,1044,2867,8,23,7
dominoes_set,dominoes_8x10,data/batch_2/dominoes_set/dominoes_8x10.txt,,success,0.004765,,1,376,4,0,3,4,556,1475,8,23,7
dominoes_set,dominoes_8x8,data/batch_2/dominoes_set/dominoes_8x8.txt,,success,0.003368,,1,292,4,0,3,4,436,1139,8,23,9
dominoes_set,tetrominoes_4x5,data/batch_2/dominoes_set/tetrominoes_4x5.txt,,success,0.114701,,1,7667,4,0,3,4,522,22717,96,5908,158
dominoes_set,tetrominoes_4x7,data/batch_2/dominoes_set/tetrominoes_4x7.txt,,success,0.314343,,1,14109,4,0,3,4,906,48249,96,6442,230
dominoes_set,tetrominoes_6x6,data/batch_2/dominoes_set/tetrominoes_6x6.txt,,success,1.121242,,1,25016,4,0,3,4,1366,86771,130,10779,312
dominoes_set,tetrominoes_6x8,data/batch_2/dominoes_set/tetrominoes_6x8.txt,,success,4.175776,,1,39264,4,0,3,4,2054,143753,131,11251,324
exact_cover_benchmarks,bell-06,data/batch_2/exact_cover_benchmarks/bell-06.ec,,success,0.029601,,1,1652,2,0,2,153,1805,16160,1374,14785,171
exact_cover_benchmarks,bell-07,data/batch_2/exact_cover_benchmarks/bell-07.ec,,success,0.012770,,1,7035,4,0,3,2,190,8689,96,6660,121
exact_cover_benchmarks,bell-08,data/batch_2/exact_cover_benchmarks/bell-08.ec,,success,0.117888,,1,29360,4,0,3,2,382,36397,192,27708,207
exact_cover_benchmarks,bell-09,data/batch_2/exact_cover_benchmarks/bell-09.ec,,success,1.712635,,1,120975,4,0,3,2,766,150337,384,113940,394
exact_cover_benchmarks,bell-10,data/batch_2/exact_cover_benchmarks/bell-10.ec,,success,25.420431,,1,494252,4,0,3,2,1534,615229,768,464892,545
exact_cover_benchmarks,bell-11,data/batch_2/exact_cover_benchmarks/bell-11.ec,,success,208.328362,,1,2007555,4,0,3,2,3070,2501809,1536,1886580,1535
exact_cover_benchmarks,bell-12,data/batch_2/exact_cover_benchmarks/bell-12.ec,2,time_out,,process timeout,,,,,,,,,,,
exact_cover_benchmarks,doublefact-09,data/batch_2/exact_cover_benchmarks/doublefact-09.ec,,success,0.004667,,1,360,4,0,3,123,982,3675,394,1764,195
exact_cover_benchmarks,doublefact-11,data/batch_2/exact_cover_benchmarks/doublefact-11.ec,,success,0.003637,,1,660,4,0,3,4,202,1771,38,492,67
exact_cover_benchmarks,doublefact-13,data/batch_2/exact_cover_benchmarks/doublefact-13.ec,,success,0.010826,,1,1092,4,0,3,4,290,3109,46,732,132
exact_cover_benchmarks,doublefact-15,data/batch_2/exact_cover_benchmarks/doublefact-15.ec,,success,0.025408,,1,1680,4,0,3,4,394,4999,54,1020,149
exact_cover_benchmarks,doublefact-17,data/batch_2/exact_cover_benchmarks/doublefact-17.ec,,success,0.066076,,1,2448,4,0,3,4,514,7537,62,1356,163
