dataset,instance,input,status,validation_errors,time_s,stats_complete,ett_row_threshold,cc_calls,dec_cc_calls,inc_cc_calls,merges,tree_edge_cuts,non_tree_edge_cuts,splits,decompose,cc_computations,vertex_sum,edge_sum,updated_vertex_sum,updated_edge_sum,ett_vertex_sum,ett_edge_sum,ett_updated_vertex_sum,ett_updated_edge_sum,non_ett_vertex_sum,non_ett_edge_sum,non_ett_updated_vertex_sum,non_ett_updated_edge_sum,ett_cc_times,non_ett_cc_times,ett_full_edge_sum,ett_replacement_scan_sum,dynamic_scanned_edge_sum,replacement_searches,replacement_scan_steps
exact_cover_benchmarks,bell-06,data/batch_2/exact_cover_benchmarks/bell-06.ec,success,,0.012009,1,30,306,153,153,4094,5096,8659,1002,0,27,269,867756,2748,29570,94,867186,2008,27510,175,570,740,2060,2,25,730598,222546,223116,5096,222546
exact_cover_benchmarks,bell-07,data/batch_2/exact_cover_benchmarks/bell-07.ec,success,,0.197997,1,50,856,428,428,25310,29552,88459,4242,0,58,786,13480121,12672,258838,190,13476341,8488,236022,596,3780,4184,22816,2,56,12118909,4613672,4617452,29552,4613672
exact_cover_benchmarks,bell-08,data/batch_2/exact_cover_benchmarks/bell-08.ec,success,,4.618143,1,50,2442,1221,1221,327908,351346,733621,23438,0,121,2307,604412489,58976,2242594,823,604401247,46894,2169934,1484,11242,12082,72660,9,112,572864099,243697078,243708320,351346,243697078
exact_cover_benchmarks,bell-09,data/batch_2/exact_cover_benchmarks/bell-09.ec,success,,98.074450,1,50,7072,3536,3536,2428727,2552457,6979618,123730,0,248,6808,14595151782,276644,19248726,3546,14595124286,247536,19064150,3262,27496,29108,184576,38,210,14127039454,5598866139,5598893635,2552457,5598866139
exact_cover_benchmarks,bell-10,data/batch_2/exact_cover_benchmarks/bell-10.ec,sampled,,309.359267,0,100,6830,3415,3415,2152048,2244848,6288557,92800,0,232,7676,18154036573,259326,17937534,2805,18153963631,185618,17066810,4871,72942,73708,870724,11,221,17717404575,8688154577,8688227519,2244848,8688154577
exact_cover_benchmarks,bell-11,data/batch_2/exact_cover_benchmarks/bell-11.ec,sampled,,437.483592,0,200,2,1,1,80309,81333,1431970,1024,0,1,2047,73779540864,2048,3026606,2047,73779540864,2048,3026606,0,0,0,0,1,0,73640223273,51553435212,51553435212,81333,51553435212
exact_cover_benchmarks,bell-12,data/batch_2/exact_cover_benchmarks/bell-12.ec,timeout,process safety timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exact_cover_benchmarks,doublefact-09,data/batch_2/exact_cover_benchmarks/doublefact-09.ec,success,,0.002660,1,30,810,405,405,218,299,565,81,0,73,927,66291,3104,16512,45,62679,162,1728,882,3612,2942,14784,1,72,51992,21566,25178,299,21566
exact_cover_benchmarks,doublefact-11,data/batch_2/exact_cover_benchmarks/doublefact-11.ec,success,,0.015011,1,30,2574,1287,1287,2925,3937,7217,1012,0,211,3501,929279,11936,79008,561,915839,2024,22308,2940,13440,9912,56700,12,199,766811,377550,390990,3937,377550
exact_cover_benchmarks,doublefact-13,data/batch_2/exact_cover_benchmarks/doublefact-13.ec,success,,0.081875,1,30,7884,3942,3942,19919,27007,54275,7088,0,581,12445,7234595,43170,342240,3919,7192763,14176,162564,8526,41832,28994,179676,80,501,6094799,3036426,3078258,27007,3036426
exact_cover_benchmarks,doublefact-15,data/batch_2/exact_cover_benchmarks/doublefact-15.ec,success,,0.311631,1,50,23572,11786,11786,38353,52124,144556,13771,0,1560,42411,26452514,149336,1380228,7491,26236154,27542,393360,34920,216360,121794,986868,107,1453,23094149,11513482,11729842,52124,11513482
exact_cover_benchmarks,doublefact-17,data/batch_2/exact_cover_benchmarks/doublefact-17.ec,success,,1.592942,1,50,69290,34645,34645,223758,303207,866001,79449,0,4135,140064,169786412,499416,5274756,43143,169150436,158898,2338416,96921,635976,340518,2936340,593,3542,149780591,73922793,74558769,303207,73922793
exact_cover_benchmarks,doublefact-19,data/batch_2/exact_cover_benchmarks/doublefact-19.ec,success,,7.692426,1,50,201110,100555,100555,1091313,1466730,4253706,375417,0,10890,451386,924073801,1626434,19329984,203457,922379317,750834,11440872,247929,1694484,875600,7889112,2673,8217,822129427,408152178,409846662,1466730,408152178
exact_cover_benchmarks,doublefact-21,data/batch_2/exact_cover_benchmarks/doublefact-21.ec,success,,34.846681,1,50,577932,288966,288966,4619484,6166329,18356475,1546845,0,28590,1426314,4445310453,5184768,68494752,836439,4441157733,3093690,49045608,589875,4152720,2091078,19449144,10429,18161,3985682188,1958195935,1962348655,6166329,1958195935
exact_cover_benchmarks,doublefact-23,data/batch_2/exact_cover_benchmarks/doublefact-23.ec,success,,161.638693,1,50,1647444,823722,823722,17876583,23656517,72113749,5779934,0,74946,4434342,19761105207,16240128,236113632,3117741,19751629455,11559868,191540532,1316601,9475752,4680260,44573100,36622,38324,17846601540,8793685876,8803161628,23656517,8793685876
