dataset,instance,input,ett_max_calls,status,time_s,error,Status,Init_Graph_E,Query,Splits,ETT_cc_times,ETT_dec_calls,ETT_DXD_V,ETT_DXD_E,ETT_Vd,ETT_Ed,ETT_Er
graphs_set,AsnetAm,data/batch_2/graphs_set/AsnetAm.txt,,success,0.387336,,1,163911,29,1,22,94,2510,324828,549,13192,825
graphs_set,AttMpls,data/batch_2/graphs_set/AttMpls.txt,,success,0.004930,,1,1518,6,1,5,74,480,3261,254,1286,102
graphs_set,Bellcanada,data/batch_2/graphs_set/Bellcanada.txt,,success,10.479411,,1,239239,19,1,17,372,5249,561551,2380,245868,502
graphs_set,Bellsouth,data/batch_2/graphs_set/Bellsouth.txt,,success,1.169554,,1,79941,20,2,16,13,1541,139749,469,77960,445
graphs_set,BeyondTheNetwork,data/batch_2/graphs_set/BeyondTheNetwork.txt,,success,0.688641,,1,140433,13,1,10,35,2214,283761,395,51880,925
graphs_set,BtNorthAmerica,data/batch_2/graphs_set/BtNorthAmerica.txt,,success,0.014527,,1,4336,14,1,11,109,1066,8581,515,4962,208
graphs_set,Cernet,data/batch_2/graphs_set/Cernet.txt,,success,0.026301,,1,3176,17,1,14,328,2812,14671,1540,10896,448
graphs_set,Cesnet200706,data/batch_2/graphs_set/Cesnet200706.txt,,success,0.152297,,1,14288,13,1,10,52,961,25503,361,13296,325
graphs_set,Cesnet201006,data/batch_2/graphs_set/Cesnet201006.txt,,success,0.019699,,1,2629,12,1,10,234,2154,12386,1224,9245,287
graphs_set,Chinanet,data/batch_2/graphs_set/Chinanet.txt,,success,0.025353,,1,1749,9,1,8,263,2590,14325,1521,11457,384
graphs_set,Columbus,data/batch_2/graphs_set/Columbus.txt,,success,0.096208,,1,51655,17,1,13,9,1513,103294,78,5376,672
graphs_set,Cudi,data/batch_2/graphs_set/Cudi.txt,,success,0.066805,,1,20277,17,1,13,10,959,36699,182,12554,390
graphs_set,Deltacom,data/batch_2/graphs_set/Deltacom.txt,,success,0.166474,,1,24905,50,2,39,292,4413,53397,1827,27315,750
graphs_set,DeutscheTelekom,data/batch_2/graphs_set/DeutscheTelekom.txt,,success,0.015528,,1,4032,20,1,16,228,2025,11216,1029,7090,408
graphs_set,Dfn,data/batch_2/graphs_set/Dfn.txt,,success,0.152525,,1,14857,21,3,17,40,1071,26496,295,13909,178
graphs_set,DialtelecomCz,data/batch_2/graphs_set/DialtelecomCz.txt,,success,18.259227,,1,352435,29,1,22,16,4518,998039,880,310060,870
graphs_set,Forthnet,data/batch_2/graphs_set/Forthnet.txt,,success,0.066307,,1,11657,19,1,15,144,1744,24881,651,5940,503
graphs_set,Garr200902,data/batch_2/graphs_set/Garr200902.txt,,success,0.037838,,1,6293,19,1,16,171,1577,13359,865,8483,247
graphs_set,Garr200908,data/batch_2/graphs_set/Garr200908.txt,,success,0.040412,,1,6082,19,1,15,255,2831,23692,1540,16074,497
graphs_set,Garr200909,data/batch_2/graphs_set/Garr200909.txt,,success,0.020938,,1,4127,17,1,14,299,2562,14075,1300,8733,358
graphs_set,Garr200912,data/batch_2/graphs_set/Garr200912.txt,,success,0.086620,,1,12274,17,2,14,110,1430,22990,559,12215,281
graphs_set,Garr201001,data/batch_2/graphs_set/Garr201001.txt,,success,0.028346,,1,4264,26,2,22,272,2694,17011,1542,12360,456
graphs_set,Garr201003,data/batch_2/graphs_set/Garr201003.txt,,success,0.062194,,1,8954,18,1,16,145,1619,17591,787,10591,272
graphs_set,Garr201004,data/batch_2/graphs_set/Garr201004.txt,,success,1374.931720,,1,2239647,17,2,13,10,4997,3542183,1676,2077966,293
graphs_set,Garr201005,data/batch_2/graphs_set/Garr201005.txt,,success,0.017133,,1,5351,25,1,19,14,635,8717,124,3770,207
graphs_set,Garr201007,data/batch_2/graphs_set/Garr201007.txt,,success,2.115233,,1,70297,21,1,16,11,1278,114161,327,62104,250
graphs_set,Garr201008,data/batch_2/graphs_set/Garr201008.txt,,success,0.081934,,1,11322,21,1,16,13,774,19435,195,10117,138
graphs_set,Garr201010,data/batch_2/graphs_set/Garr201010.txt,,success,9.002021,,1,603171,17,2,13,9,3369,1147218,409,129434,1061
graphs_set,Garr201012,data/batch_2/graphs_set/Garr201012.txt,,success,0.074101,,1,10638,21,2,18,111,1526,19511,484,9426,215
graphs_set,Garr201101,data/batch_2/graphs_set/Garr201101.txt,2,timeout,3.492500,,1,7139996,2,1,2,0,0,0,0,0,0
graphs_set,Garr201102,data/batch_2/graphs_set/Garr201102.txt,,success,0.042662,,1,9378,24,1,19,84,1337,17732,491,8783,305
graphs_set,Garr201103,data/batch_2/graphs_set/Garr201103.txt,,success,0.858242,,1,46934,23,3,18,13,1123,72358,305,40015,353
graphs_set,Garr201104,data/batch_2/graphs_set/Garr201104.txt,,success,0.289255,,1,34218,23,1,18,208,2918,75567,1021,32584,518
graphs_set,Garr201105,data/batch_2/graphs_set/Garr201105.txt,,success,0.305762,,1,23862,24,2,19,14,949,38743,247,20993,316
graphs_set,Garr201107,data/batch_2/graphs_set/Garr201107.txt,,success,0.281819,,1,28967,17,2,14,86,1632,56272,419,23172,403
graphs_set,Garr201108,data/batch_2/graphs_set/Garr201108.txt,,success,0.100164,,1,12417,23,1,18,115,1528,22961,604,12607,303
graphs_set,Garr201109,data/batch_2/graphs_set/Garr201109.txt,,success,1.132297,,1,51278,21,1,16,12,1189,83009,322,48211,158
graphs_set,Garr201110,data/batch_2/graphs_set/Garr201110.txt,,success,0.232289,,1,19590,22,2,18,106,1526,33387,610,19095,276
graphs_set,Garr201111,data/batch_2/graphs_set/Garr201111.txt,,success,0.340639,,1,23960,24,1,20,139,1741,40426,640,22822,308
graphs_set,Garr201112,data/batch_2/graphs_set/Garr201112.txt,,success,183.422683,,1,783555,16,2,13,10,3793,1551886,1290,782131,969
graphs_set,Garr201201,data/batch_2/graphs_set/Garr201201.txt,,success,0.244935,,1,24214,20,2,17,174,2276,42863,961,25885,386
graphs_set,Geant2009,data/batch_2/graphs_set/Geant2009.txt,,success,0.055348,,1,9231,15,1,13,325,3526,31485,2000,16824,591
graphs_set,Geant2010,data/batch_2/graphs_set/Geant2010.txt,,success,0.066201,,1,15448,17,1,13,11,910,31069,216,13779,175
graphs_set,Geant2012,data/batch_2/graphs_set/Geant2012.txt,,success,0.034698,,1,8308,14,3,12,9,640,15224,155,6824,215
graphs_set,Globenet,data/batch_2/graphs_set/Globenet.txt,,success,25.780640,,1,275901,20,2,16,12,2987,724969,573,230357,1440
graphs_set,HiberniaGlobal,data/batch_2/graphs_set/HiberniaGlobal.txt,,success,0.670069,,1,78609,21,1,16,14,2201,194542,271,33718,578
graphs_set,Highwinds,data/batch_2/graphs_set/Highwinds.txt,,success,0.007977,,1,2454,6,1,5,67,511,5612,256,2564,41
graphs_set,Iij,data/batch_2/graphs_set/Iij.txt,,success,0.583795,,1,29880,13,1,10,7,727,48466,200,27299,230
graphs_set,Internode,data/batch_2/graphs_set/Internode.txt,,success,0.415780,,1,30691,17,1,13,10,1050,54766,271,26478,186
graphs_set,Interoute,data/batch_2/graphs_set/Interoute.txt,,success,0.051188,,1,21650,44,1,34,238,2996,40692,963,16292,530
graphs_set,Intranetwork,data/batch_2/graphs_set/Intranetwork.txt,,success,0.040083,,1,6026,23,1,19,301,3019,19638,1593,13237,488
graphs_set,Iris,data/batch_2/graphs_set/Iris.txt,,success,0.009344,,1,2766,23,1,19,194,1891,8762,852,4839,458
graphs_set,Latnet,data/batch_2/graphs_set/Latnet.txt,,success,0.032301,,1,10749,28,1,22,181,2257,22908,937,9904,444
graphs_set,Missouri,data/batch_2/graphs_set/Missouri.txt,,success,0.023228,,1,6758,33,1,25,129,1908,16655,679,6911,404
graphs_set,Ntelos,data/batch_2/graphs_set/Ntelos.txt,,success,0.016708,,1,6064,25,1,21,126,1408,11953,640,6352,304
graphs_set,Ntt,data/batch_2/graphs_set/Ntt.txt,,success,0.028824,,1,4369,12,1,10,219,2048,14252,1121,10201,349
graphs_set,Oteglobe,data/batch_2/graphs_set/Oteglobe.txt,,success,0.094461,,1,42947,29,2,22,50,1891,83289,233,9157,715
graphs_set,Palmetto,data/batch_2/graphs_set/Palmetto.txt,,success,0.030701,,1,3936,20,1,17,460,4200,20481,2251,14296,741
graphs_set,Pern,data/batch_2/graphs_set/Pern.txt,,success,0.017217,,1,11828,20,1,16,10,698,18612,149,7450,309
graphs_set,PionierL3,data/batch_2/graphs_set/PionierL3.txt,,success,0.013881,,1,5878,17,1,13,9,569,10922,83,3083,241
graphs_set,RedBestel,data/batch_2/graphs_set/RedBestel.txt,,success,0.159258,,1,30954,31,4,25,22,1915,61168,378,21238,956
graphs_set,Renater2010,data/batch_2/graphs_set/Renater2010.txt,,success,0.019507,,1,4139,23,1,18,241,2366,13900,1257,9133,397
