dataset,instance,input,status,validation_errors,time_s,stats_complete,ett_row_threshold,cc_calls,dec_cc_calls,inc_cc_calls,merges,tree_edge_cuts,non_tree_edge_cuts,splits,decompose,cc_computations,vertex_sum,edge_sum,updated_vertex_sum,updated_edge_sum,ett_vertex_sum,ett_edge_sum,ett_updated_vertex_sum,ett_updated_edge_sum,non_ett_vertex_sum,non_ett_edge_sum,non_ett_updated_vertex_sum,non_ett_updated_edge_sum,ett_cc_times,non_ett_cc_times,ett_full_edge_sum,ett_replacement_scan_sum,dynamic_scanned_edge_sum,replacement_searches,replacement_scan_steps
set_partition_benchmarks,delta,data/batch_2/set_partition_benchmarks/delta.txt,sampled,,802.691271,0,100,101912,50956,50956,4922592,5621458,61302760,698866,15059,33989,1704691,62671995271,2532764,164931242,797394,62653897131,1397732,133848436,907297,18098140,1135032,31082806,4587,29402,61351360829,13138752767,13156850907,5621458,13138752767
set_partition_benchmarks,meteor,data/batch_2/set_partition_benchmarks/meteor.txt,sampled,,843.987827,0,200,3260,1630,1630,582084,628072,13281583,45988,307,680,61780,72703955360,200688,33852712,40850,72703118872,91976,27819310,20930,836488,108712,6033402,83,597,72274937690,11497441597,11498278085,628072,11497441597
set_partition_benchmarks,sppnw08,data/batch_2/set_partition_benchmarks/sppnw08.txt,success,,142.896791,1,50,18978,9489,9489,5084644,5406285,17440423,321641,1683,3062,86885,34432088958,784872,47419578,40551,34431710691,632266,45693416,46334,378267,152606,1726162,434,2628,33454218935,12574328203,12574706470,5406285,12574328203
set_partition_benchmarks,sppnw09,data/batch_2/set_partition_benchmarks/sppnw09.txt,timeout,process safety timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
set_partition_benchmarks,sppnw10,data/batch_2/set_partition_benchmarks/sppnw10.txt,sampled,,183.017499,0,50,2076,1038,1038,1495994,1568875,5484130,72881,430,525,14453,42386655167,147164,14232320,10832,42386642999,137846,14106010,3621,12168,9318,126310,80,445,41786748450,16991702335,16991714503,1568875,16991702335
set_partition_benchmarks,sppnw12,data/batch_2/set_partition_benchmarks/sppnw12.txt,sampled,,182.162077,0,50,5090,2545,2545,4614696,4798162,10853427,183466,124,338,13180,40758822345,379594,31457414,9560,40758795380,363908,31303178,3620,26965,15686,154236,54,284,39646516212,17033316636,17033343601,4798162,17033316636
set_partition_benchmarks,sppnw15,data/batch_2/set_partition_benchmarks/sppnw15.txt,success,,57.967585,1,50,6146,3073,3073,931116,997386,4805782,66270,324,932,27012,8692306381,186424,12208468,15521,8692191926,132700,11606336,11491,114455,53724,602132,128,804,8506676823,2619107294,2619221749,997386,2619107294
set_partition_benchmarks,sppnw19,data/batch_2/set_partition_benchmarks/sppnw19.txt,timeout,process safety timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
set_partition_benchmarks,sppnw20,data/batch_2/set_partition_benchmarks/sppnw20.txt,sampled,,181.347919,0,50,13280,6640,6640,1747649,1892416,8116188,144767,239,1278,34987,27373758178,381916,21109564,17342,27373598714,289188,20017208,17645,159464,92728,1092356,175,1103,26933490309,10956998132,10957157596,1892416,10956998132
set_partition_benchmarks,sppnw21,data/batch_2/set_partition_benchmarks/sppnw21.txt,sampled,,181.936282,0,50,22746,11373,11373,2814866,3037400,13950820,222534,281,2173,59259,31890344806,603832,35956156,26966,31890059120,444544,33976440,32293,285686,159288,1979716,279,1894,31253297853,9610753955,9611039641,3037400,9610753955
set_partition_benchmarks,sppnw22,data/batch_2/set_partition_benchmarks/sppnw22.txt,sampled,,182.067354,0,50,38622,19311,19311,2854725,3159012,15582824,304287,361,3380,81218,28849679490,904954,41054840,32824,28849231673,608282,37483672,48394,447817,296672,3571168,375,3005,28258137067,7822970452,7823418269,3159012,7822970452
set_partition_benchmarks,sppnw23,data/batch_2/set_partition_benchmarks/sppnw23.txt,sampled,,186.858988,0,50,2342,1171,1171,1433266,1483891,4201609,50625,166,305,10794,66537952570,113100,11500036,8039,66537932217,100686,11371000,2755,20353,12414,129036,44,261,65827293168,23502443668,23502464021,1483891,23502443668
set_partition_benchmarks,sppnw25,data/batch_2/set_partition_benchmarks/sppnw25.txt,sampled,,202.101774,0,100,6028,3014,3014,641125,684945,4490704,43820,4,360,9288,19780244840,174032,12150098,2663,19780142450,87640,10351298,6625,102390,86392,1798800,9,351,19551811051,7107957292,7108059682,684945,7107957292
