SharpSAT-TD求解器实验结果
文件名,运行时间(秒),模型计数
att48,TIMEOUT,N/A
bell-03,1.00592689,5
bell-04,1.005469676,15
bell-05,1.008097403,52
bell-06,1.017543391,203
bell-07,1.093131144,877
bell-08,2.243217284,4140
bell-09,11.37707124,21147
bell-10,25.179505192,115975
bell-11,181.705273834,678570
bell-12,TIMEOUT,N/A
burma14,TIMEOUT,N/A
Darkstrand,TIMEOUT,N/A
delta,163.750101814,78
Deltacom,TIMEOUT,N/A
doublefact-01,ERROR,1
doublefact-03,1.005151327,3
doublefact-05,1.005538177,15
doublefact-07,1.007661898,105
doublefact-09,1.01528571,945
doublefact-11,1.107253576,10395
doublefact-13,4.621081477,135135
doublefact-15,114.17921785,2027025
doublefact-17,TIMEOUT,N/A
doublefact-19,TIMEOUT,N/A
doublefact-21,TIMEOUT,N/A
doublefact-23,TIMEOUT,N/A
doublefact-25,TIMEOUT,N/A
doublefact-27,TIMEOUT,N/A
doublefact-29,TIMEOUT,N/A
eil51,TIMEOUT,N/A
exotic_fives,TIMEOUT,N/A
Funet,TIMEOUT,N/A
grafo117.20,415.633776933,2412
grafo121.20,TIMEOUT,N/A
grafo190.20,TIMEOUT,N/A
grafo215.20,431.714908522,8728
grafo244.20,TIMEOUT,N/A
grafo251.20,TIMEOUT,N/A
grafo7785.100,TIMEOUT,N/A
grafo8224.100,TIMEOUT,N/A
grafo8373.100,TIMEOUT,N/A
grafo8513.100,TIMEOUT,N/A
grafo8564.100,TIMEOUT,N/A
grafo8674.100,TIMEOUT,N/A
grid33,TIMEOUT,N/A
heart,ERROR,N/A
Interoute,TIMEOUT,N/A
Ion,ERROR,0
kts15-ptpt-0001,ERROR,0
kts15-ptpt-0002,ERROR,0
kts15-ptpt-0003,1.460671814,8
kts15-ptpt-0004,ERROR,1
kts15-ptpt-0005,ERROR,0
kts15-ptpt-0006,3.259491224,8
kts15-ptpt-0007,2.025400295,12
kts15-ptpt-0008,ERROR,0
kts15-ptpt-0009,1.688950033,6
kts15-ptpt-0010,ERROR,0
kts15-ptpt-0011,1.425190612,4
kts15-ptpt-0012,1.347046042,4
kts15-ptpt-0013,14.140940278,24
kts15-ptpt-0014,2.686778132,8
kts15-ptpt-0020,2.782633719,8
kts15-ptpt-0021,137.914401798,72
latin6-blk-00001,1.011825067,48
latin6-blk-00002,1.012479027,56
latin6-blk-00003,1.016371797,80
latin6-blk-00004,1.017413004,72
latin6-blk-00005,1.019390803,80
latin6-blk-00006,1.034879004,88
latin6-blk-00007,1.017516875,80
latin7-blk-00001,1.59580685,10752
latin7-blk-00002,1.651657386,14976
latin7-blk-00003,1.512811704,17280
latin7-blk-00004,1.741028109,19840
latin7-blk-00005,1.726417934,20480
latin7-blk-00006,2.327995651,29056
latin7-blk-00007,1.873871784,23616
latin7-blk-00008,1.860239247,27072
latin7-blk-00009,1.906038347,27776
latin8-blk-00001,TIMEOUT,N/A
latin8-blk-00002,TIMEOUT,N/A
latin8-blk-00003,TIMEOUT,N/A
latin8-blk-00004,797.925445326,81497088
latin8-blk-00005,TIMEOUT,N/A
latin8-blk-00006,TIMEOUT,N/A
latin8-blk-00007,TIMEOUT,N/A
latin8-blk-00008,TIMEOUT,N/A
latin8-blk-00009,TIMEOUT,N/A
latin8-blk-00010,TIMEOUT,N/A
meteor,794.405710549,9212
Missouri,1.409013223,32
sppnw01,TIMEOUT,N/A
sppnw02,TIMEOUT,N/A
sppnw03,TIMEOUT,N/A
sppnw04,TIMEOUT,N/A
sppnw06,TIMEOUT,N/A
sppnw07,TIMEOUT,N/A
sppnw08,121.342653044,285701
sppnw09,TIMEOUT,N/A
sppnw10,161.595532411,318168
sppnw12,155.937757328,496333530
sppnw13,TIMEOUT,N/A
sppnw14,TIMEOUT,N/A
sppnw15,1.717411951,46
sppnw16,ERROR,0
sppnw17,TIMEOUT,N/A
sppnw18,TIMEOUT,N/A
sppnw19,TIMEOUT,N/A
sppnw20,131.366584758,538696
sppnw21,122.776021587,291047
sppnw22,164.222239771,286758
sppnw23,163.525861115,80524
sppnw24,189.190098675,725183
sppnw25,166.374763654,2225105
sppnw26,36.091055032,805896
sppnw27,155.36618344,1046161
sppnw28,116.771624631,20117
sppnw29,526.777839004,16937938
sppnw30,TIMEOUT,N/A
sts15-blk-00005,ERROR,0
sts15-blk-00006,1.062660856,40
sts15-blk-00007,1.016309318,8
sts15-blk-00008,1.030518214,40
sts15-blk-00009,1.017042679,8
ulysses16,TIMEOUT,N/A
UsCarrier,ERROR,0
UsSignal,ERROR,0
VisionNet,267.500586891,4150
