SharpSAT-TD求解器实验结果
文件名,运行时间(秒),模型计数
Darkstrand,1.021983825,146795092770816000
Dataxchange,1.022805856,10408830566400000
Deltacom,1.019023003,21931886777794560
DeutscheTelekom,1.02339792,37299620413440000
Dfn,1.025050367,18572674498560000
DialtelecomCz,1.021496842,10801677680640000
Digex,1.027606259,49519080898560000
Easynet,1.039931551,37314643517319168000
Eenet,1.016752471,43268112108748800
EliBackbone,1.03051771,265611362560008192000
Epoch,1.021237157,3334571177615032320
Ernet,1.032032772,1925835836671918080
Esnet,1.035695626,803900082585600
Eunetworks,1.017845249,163661783040
Evolink,1.018821639,5221224736358400
Fatman,1.028257348,1035064933613568000
Fccn,1.017123973,8851949568000
Forthnet,1.031992288,6157815502325760000000
Funet,1.020213514,54103375872000
Gambia,1.064106213,1562576323891691520
Garr199901,1.025709555,21202436093714104320000
Garr199904,1.029291737,2259899338604544000000
Garr199905,1.023999094,47068938177085440
Garr200109,1.032827405,240300143935488000
Garr200112,1.028769164,75203798630400000
Garr200212,1.029372005,101842583040000000
Garr200404,1.017359474,251353912320000
Garr200902,1.038603864,99003273442356841567027200
Garr200908,1.023816764,152984680611840000
Garr200909,1.042563155,3268058816022419865600
