SharpSAT-TD求解器实验结果
文件名,运行时间(秒),模型计数
grafo8039.65,1.018454614,23133600000
grafo8186.90,1.007399439,62400
grafo8187.70,1.016236883,20065812480
grafo8188.62,1.013440487,48683980800
grafo8189.85,1.007890824,2592
grafo8190.73,1.01690531,167118336000
grafo8222.84,1.02324663,1407279329280
grafo8223.99,1.008075452,61440
grafo8224.100,1.022134154,516272962299494400
grafo8225.88,1.014957467,172748094750720
grafo8226.90,1.019144134,3079544832000
grid_3x3,1.023012954,930886000611840
grid_4x4,1.014337035,2220244992
Pacificwave,1.012642536,33111244800
Packetexchange,1.007770194,22400
Padi,1.007298048,44928
Palmetto,1.008378336,52416
Peer1,1.017156198,150593126400
Pern,1.025042417,87582798471168
PionierL1,1.016550704,6885964800
PionierL3,1.020372175,46649917440
Psinet,1.022593604,72886903971840
